"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Nick Chubb","RB","HOU","@NE","2.7","2.6","2.7","2.5","2.6","2.6","6.9","6.7","Other"
"Eric Saubert","TE","SEA","SF","2.7","2.1","3.2","1.6","2.1","2.7","7.4","6.2","Saturday"
"Kyle Williams","WR","NE","HOU","2.6","2.2","2.6","1.8","2.2","2.6","7.7","6.8","Other"
"Ty Johnson","RB","BUF","@DEN","2.4","1.9","2.4","1.5","1.9","2.4","6.6","5.6","Saturday"
"Adam Trautman","TE","DEN","BUF","2.3","1.8","2.8","1.3","1.8","2.3","6.5","5.4","Saturday"
"Curtis Samuel","WR","BUF","@DEN","2.1","1.7","2.1","1.2","1.7","2.1","6.2","5.1","Saturday"
"Tyler Badie","RB","DEN","BUF","2.1","1.6","2.1","1.1","1.6","2.1","6.0","4.8","Saturday"
"Xavier Smith","WR","LA","@CHI","2.0","1.6","1.9","1.3","1.6","1.9","6.2","5.3","Other"
"Ray Davis","RB","BUF","@DEN","1.9","1.6","1.9","1.3","1.6","1.9","5.9","5.1","Saturday"
"Kendrick Bourne","WR","SF","@SEA","1.9","1.5","1.9","1.2","1.5","1.9","5.8","4.9","Saturday"
"Terrance Ferguson","TE","LA","@CHI","1.7","1.4","2.0","1.1","1.4","1.7","5.6","4.8","Other"
"Davis Allen","TE","LA","@CHI","1.7","1.4","2.1","1.0","1.4","1.7","5.2","4.2","Other"
"Brian Robinson","RB","SF","@SEA","1.7","1.6","1.7","1.4","1.6","1.7","5.4","4.9","Saturday"
"Luke Farrell","TE","SF","@SEA","1.7","1.3","2.0","0.9","1.3","1.7","5.0","4.0","Saturday"
"Jackson Hawes","TE","BUF","@DEN","1.5","1.2","1.8","0.9","1.2","1.5","4.7","3.9","Saturday"
"Lil'Jordan Humphrey","WR","DEN","BUF","1.4","1.1","1.4","0.8","1.1","1.4","4.7","3.9","Saturday"
"Efton Chism","WR","NE","HOU","1.3","1.1","1.3","0.8","1.1","1.3","4.5","3.8","Other"
"Olamide Zaccheaus","WR","CHI","LA","1.2","1.0","1.2","0.7","1.0","1.2","4.2","3.5","Other"
"Jawhar Jordan","RB","HOU","@NE","1.2","1.1","1.2","1.1","1.1","1.2","4.0","3.8","Other"
"Tutu Atwell","WR","LA","@CHI","1.2","1.0","1.2","0.9","1.0","1.2","4.7","4.0","Other"
"Adam Prentice","RB","DEN","BUF","0.9","0.8","0.9","0.7","0.8","0.9","3.6","3.1","Saturday"
"Nate Adkins","TE","DEN","BUF","0.6","0.4","0.7","0.3","0.4","0.6","2.2","1.8","Saturday"
"Konata Mumpfield","WR","LA","@CHI","0.6","0.5","0.6","0.4","0.5","0.6","2.5","2.1","Other"
"Durham Smythe","TE","CHI","LA","0.5","0.4","0.6","0.3","0.4","0.5","2.1","1.6","Other"
"Jack Westover","TE","NE","HOU","0.4","0.3","0.5","0.2","0.3","0.4","1.6","1.3","Other"
"Skyy Moore","WR","SF","@SEA","0.3","0.2","0.3","0.2","0.2","0.3","1.1","1.0","Saturday"
"Mecole Hardman","WR","BUF","@DEN","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Saturday"
"Dare Ogunbowale","RB","HOU","@NE","0.2","0.2","0.2","0.2","0.2","0.2","1.1","1.0","Other"
"Braxton Berrios","WR","HOU","@NE","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Other"
"Jordan Whittington","WR","LA","@CHI","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Other"
"Reggie Gilliam","TE","BUF","@DEN","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Saturday"
"Devin Duvernay","WR","CHI","LA","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Other"
"Elijah Moore","WR","DEN","BUF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Saturday"
"Caleb Lohner","TE","DEN","BUF","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Saturday"
"British Brooks","RB","HOU","@NE","0.1","0.1","0.1","0.1","0.1","0.1","0.7","0.6","Other"
"Harrison Bryant","TE","HOU","@NE","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.4","Other"
"Ronnie Rivers","RB","LA","@CHI","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Other"
"Terrell Jennings","RB","NE","HOU","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","Other"
"Brayden Willis","TE","SF","@SEA","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Saturday"
"Brady Russell","RB","SEA","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Saturday"
"Cam Akers","RB","SEA","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Saturday"
"Robbie Ouzts","RB","SEA","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Saturday"
"Jake Bobo","WR","SEA","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Saturday"
"Dareke Young","WR","SEA","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Saturday"
"Nick Kallerup","TE","SEA","SF","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Saturday"
"Travis Homer","RB","CHI","LA","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.3","Other"
