"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Scott Matlock","RB","LAC","@NE","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Sunday"
"Nick Vannett","TE","LA","@CAR","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Saturday"
"Skyy Moore","WR","SF","@PHI","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Other"
"Reggie Gilliam","TE","BUF","@JAX","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Trevor Etienne","RB","CAR","LA","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.4","Saturday"
"Travis Homer","RB","CHI","GB","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","Saturday"
"Devin Duvernay","WR","CHI","GB","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Saturday"
"Nikola Kalinic","TE","CHI","GB","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Saturday"
"Justin Watson","WR","HOU","@PIT","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Monday"
"Harrison Bryant","TE","HOU","@PIT","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Monday"
"Tim Jones","WR","JAX","BUF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Dalevon Campbell","WR","LAC","@NE","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Sunday"
"Ronnie Rivers","RB","LA","@CAR","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Saturday"
"D'Ernest Johnson","RB","NE","LAC","0.1","0.1","0.1","0.1","0.1","0.1","0.7","0.7","Sunday"
"Jeremiah Webb","WR","NE","LAC","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Sunday"
"CJ Dippre","TE","NE","LAC","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Sunday"
"Jack Westover","TE","NE","LAC","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Sunday"
"Britain Covey","WR","PHI","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Other"
"Cameron Latu","TE","PHI","SF","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Other"
"Ben Skowronek","WR","PIT","HOU","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Monday"
"Malik Turner","WR","SF","@PHI","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.3","Other"
"Jake Tonges","TE","SF","@PHI","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Other"
