"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","23.7","23.5","22.6","22.6","22.6","Sunday","36.8","36.8"
"Jayden Daniels","WAS","QB","23.5","23.2","22.4","22.4","22.4","Main","36.1","36.1"
"Jalen Hurts","PHI","QB","22.6","22.4","21.9","21.9","21.9","Thursday","34.8","34.8"
"Joe Burrow","CIN","QB","22.3","22.1","20.8","20.8","20.8","Main","33.5","33.5"
"Josh Allen","BUF","QB","21.8","21.6","20.9","20.9","20.9","Sunday","33.3","33.3"
"Saquon Barkley","PHI","RB","21.8","20.6","18.0","19.0","20.0","Thursday","38.7","36.8"
"Ja'Marr Chase","CIN","WR","21.7","18.1","13.4","16.9","20.4","Main","37.5","32.5"
"Patrick Mahomes","KC","QB","20.6","20.4","19.5","19.5","19.5","Friday","31.0","31.0"
"Bijan Robinson","ATL","RB","20.5","18.5","15.8","17.7","19.6","Main","34.6","32.1"
"Baker Mayfield","TB","QB","20.1","19.8","18.9","18.9","18.9","Main","30.7","30.7"
"Christian McCaffrey","SF","RB","20.0","17.6","14.8","17.0","19.3","Main","33.4","30.4"
"Kyler Murray","ARI","QB","19.7","19.5","18.9","18.9","18.9","Main","31.1","31.1"
"Bo Nix","DEN","QB","19.7","19.5","18.9","18.9","18.9","Main","30.4","30.4"
"De'Von Achane","MIA","RB","19.3","16.7","13.8","16.3","18.8","Main","32.8","29.5"
"Jahmyr Gibbs","DET","RB","19.2","17.2","14.6","16.5","18.4","Main","32.9","30.4"
"Drake Maye","NE","QB","19.0","18.7","18.2","18.2","18.2","Main","29.7","29.7"
"Jonathan Taylor","IND","RB","18.9","17.7","15.6","16.7","17.7","Main","32.2","30.9"
"Puka Nacua","LA","WR","18.9","15.6","11.3","14.6","17.9","Main","33.4","28.7"
"Drake London","ATL","WR","18.7","15.4","11.2","14.4","17.6","Main","32.7","28.1"
"Trevor Lawrence","JAX","QB","18.6","18.4","17.7","17.7","17.7","Main","29.3","29.3"
"Josh Jacobs","GB","RB","18.5","17.3","15.3","16.4","17.5","Main","31.7","30.2"
"Brock Purdy","SF","QB","18.5","18.3","17.5","17.5","17.5","Main","28.9","28.9"
"Daniel Jones","IND","QB","18.4","18.2","17.7","17.7","17.7","Main","29.7","29.7"
"Justin Fields","NYJ","QB","18.1","17.8","17.4","17.4","17.4","Main","28.7","28.5"
"Jordan Love","GB","QB","18.0","17.8","17.0","17.0","17.0","Main","28.0","28.0"
"Alvin Kamara","NO","RB","17.9","15.6","13.0","15.1","17.3","Main","29.8","27.0"
"Caleb Williams","CHI","QB","17.8","17.4","17.0","17.0","17.0","Monday","28.2","28.2"
"Tua Tagovailoa","MIA","QB","17.8","17.6","16.6","16.6","16.6","Main","28.0","28.0"
"James Conner","ARI","RB","17.7","16.3","14.2","15.5","16.8","Main","30.8","29.1"
"CeeDee Lamb","DAL","WR","17.7","14.3","10.3","13.7","17.0","Thursday","31.2","26.5"
"Brian Thomas","JAX","WR","17.7","14.7","11.0","13.9","16.9","Main","32.0","27.7"
"Justin Jefferson","MIN","WR","17.7","14.7","10.9","13.9","16.8","Monday","31.7","27.3"
"Mike Evans","TB","WR","17.7","14.9","11.2","14.0","16.8","Main","31.9","27.8"
"Tee Higgins","CIN","WR","17.6","14.7","11.1","14.0","16.8","Main","31.9","27.7"
"Justin Herbert","LAC","QB","17.6","17.4","16.8","16.8","16.8","Friday","27.1","27.1"
"JJ McCarthy","MIN","QB","17.6","17.4","16.8","16.8","16.8","Monday","28.0","28.0"
"Malik Nabers","NYG","WR","17.6","14.4","10.4","13.6","16.8","Main","30.8","26.3"
"Nico Collins","HOU","WR","17.4","14.3","10.4","13.4","16.5","Main","30.8","26.3"
"Tyreek Hill","MIA","WR","17.4","14.4","10.8","13.7","16.6","Main","31.0","26.8"
"Amon-Ra St Brown","DET","WR","17.3","14.0","10.0","13.3","16.5","Main","31.0","26.4"
"Chase Brown","CIN","RB","17.2","15.7","13.6","15.0","16.5","Main","29.9","28.0"
"Jared Goff","DET","QB","17.1","16.9","15.9","15.9","15.9","Main","27.0","27.0"
"Kyren Williams","LA","RB","17.0","15.8","14.0","15.0","16.0","Main","29.2","27.7"
"Derrick Henry","BAL","RB","16.8","16.1","14.5","15.1","15.6","Sunday","30.1","29.4"
"Dak Prescott","DAL","QB","16.7","16.5","15.8","15.8","15.8","Thursday","26.2","26.2"
"Bucky Irving","TB","RB","16.7","15.1","13.0","14.5","16.0","Main","29.3","27.4"
"Xavier Worthy","KC","WR","16.6","13.7","10.3","13.1","16.0","Friday","30.3","26.1"
"Geno Smith","LV","QB","16.4","16.1","15.5","15.5","15.5","Main","26.2","26.2"
"Bryce Young","CAR","QB","16.3","16.0","15.6","15.6","15.6","Main","26.0","26.0"
"Joe Flacco","CLE","QB","16.3","16.1","15.3","15.3","15.3","Main","26.2","26.2"
"Ashton Jeanty","LV","RB","16.3","14.8","12.8","14.2","15.6","Main","28.1","26.4"
