"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Bijan Robinson","RB","ATL","NO","25.1","22.6","23.8","19.0","21.3","23.7","40.6","37.5","Main"
"Christian McCaffrey","RB","SF","SEA","24.4","21.2","23.5","17.3","20.4","23.4","39.5","35.4","Saturday"
"Puka Nacua","WR","LA","ARI","24.1","20.1","22.7","14.8","18.7","22.6","40.0","34.5","Main"
"Trevor Lawrence","QB","JAX","TEN","24.0","23.8","25.1","22.3","22.3","22.3","35.8","35.7","Main"
"Drake Maye","QB","NE","MIA","22.6","22.3","23.7","21.0","21.0","21.0","33.6","33.6","Main"
"Jaxon Smith-Njigba","WR","SEA","@SF","22.6","19.0","21.3","14.1","17.7","21.3","37.7","32.6","Saturday"
"Matthew Stafford","QB","LA","ARI","21.7","21.5","22.8","19.9","19.9","19.9","32.5","32.5","Main"
"Ja'Marr Chase","WR","CIN","CLE","21.4","17.7","20.4","13.1","16.7","20.3","36.6","31.5","Main"
"Jahmyr Gibbs","RB","DET","@CHI","21.1","18.7","20.3","15.7","17.9","20.2","35.2","32.2","Main"
"Caleb Williams","QB","CHI","DET","20.4","20.2","21.6","19.0","19.0","19.0","31.4","31.4","Main"
"Bo Nix","QB","DEN","LAC","20.0","19.8","21.0","18.5","18.5","18.5","30.5","30.5","Main"
"Joe Burrow","QB","CIN","CLE","19.9","19.6","21.0","18.3","18.3","18.3","30.6","30.5","Main"
"Brock Purdy","QB","SF","SEA","19.3","19.2","20.3","17.5","17.5","17.5","29.7","29.7","Saturday"
"Jaxson Dart","QB","NYG","DAL","18.8","18.5","19.9","17.4","17.4","17.4","29.2","29.1","Main"
"Trey McBride","TE","ARI","@LA","18.4","14.6","21.5","10.1","13.8","17.6","30.8","25.3","Main"
"Mitchell Trubisky","QB","BUF","NYJ","18.0","17.8","19.2","17.0","17.0","17.0","28.5","28.5","Main"
"Chase Brown","RB","CIN","CLE","17.8","16.1","17.3","14.0","15.6","17.2","31.1","28.9","Main"
"CJ Stroud","QB","HOU","IND","17.6","17.4","18.8","16.3","16.3","16.3","27.5","27.4","Main"
"Amon-Ra St Brown","WR","DET","@CHI","17.5","14.2","16.8","10.2","13.5","16.7","30.7","25.9","Main"
"CeeDee Lamb","WR","DAL","@NYG","17.4","14.5","16.6","10.7","13.6","16.5","31.2","26.8","Main"
"Sam Darnold","QB","SEA","@SF","17.3","17.2","18.4","15.7","15.7","15.7","27.7","27.7","Saturday"
"Kyren Williams","RB","LA","ARI","17.2","16.1","16.6","14.4","15.4","16.5","30.7","29.3","Main"
"Lamar Jackson","QB","BAL","@PIT","17.0","16.7","18.2","15.9","15.9","15.9","26.7","26.6","Sunday"
"Jared Goff","QB","DET","@CHI","17.0","16.8","18.2","15.4","15.4","15.4","26.9","26.9","Main"
"Baker Mayfield","QB","TB","CAR","17.0","16.8","18.1","15.7","15.7","15.7","26.6","26.5","Saturday"
"Michael Wilson","WR","ARI","@LA","16.8","13.6","16.0","9.6","12.8","16.0","29.7","25.1","Main"
"Tyler Shough","QB","NO","@ATL","16.8","16.5","17.7","15.2","15.2","15.2","27.2","27.1","Main"
"George Kittle","TE","SF","SEA","16.7","13.7","18.9","10.1","13.0","16.0","29.5","25.0","Saturday"
"Dak Prescott","QB","DAL","@NYG","16.6","16.4","17.2","14.9","14.9","14.9","31.0","30.9","Main"
"Derrick Henry","RB","BAL","@PIT","16.5","16.0","15.4","14.4","14.8","15.3","29.5","28.8","Sunday"
"George Pickens","WR","DAL","@NYG","16.5","13.8","15.7","10.5","13.1","15.7","30.1","26.1","Main"
"RJ Harvey","RB","DEN","LAC","16.3","14.7","15.9","12.6","14.2","15.8","29.0","26.9","Main"
"Bryce Young","QB","CAR","@TB","16.1","15.8","17.1","14.8","14.8","14.8","25.2","25.2","Saturday"
"Ashton Jeanty","RB","LV","KC","16.1","14.4","15.4","12.3","13.8","15.3","27.2","25.1","Main"
"Jacoby Brissett","QB","ARI","@LA","15.9","15.6","16.8","14.1","14.1","14.1","25.4","25.4","Main"
"Courtland Sutton","WR","DEN","LAC","15.9","13.3","15.2","10.1","12.6","15.2","29.1","25.2","Main"
"Travis Etienne","RB","JAX","TEN","15.9","14.7","15.4","13.0","14.2","15.3","29.0","27.3","Main"
"Justin Jefferson","WR","MIN","GB","15.9","13.2","15.4","9.9","12.6","15.4","28.8","24.7","Main"
"Tanner McKee","QB","PHI","WAS","15.9","15.6","17.0","14.5","14.5","14.5","25.3","25.2","Main"
"JJ McCarthy","QB","MIN","GB","15.6","15.3","16.4","14.1","14.1","14.1","25.1","25.1","Main"
"Jakobi Meyers","WR","JAX","TEN","15.5","12.9","15.0","9.9","12.4","14.9","28.7","24.9","Main"
"Drake London","WR","ATL","NO","15.3","12.7","14.7","9.5","12.1","14.7","28.1","24.2","Main"
"Zay Flowers","WR","BAL","@PIT","15.3","12.6","14.6","9.3","12.0","14.6","27.7","23.7","Sunday"
"Tyrone Tracy","RB","NYG","DAL","15.2","13.8","14.7","12.0","13.3","14.6","27.2","25.4","Main"
"Bucky Irving","RB","TB","CAR","15.2","13.9","14.5","12.1","13.3","14.4","27.2","25.6","Saturday"
"Shedeur Sanders","QB","CLE","@CIN","15.0","14.8","15.9","13.4","13.4","13.4","24.2","24.2","Main"
"TreVeyon Henderson","RB","NE","MIA","15.0","13.9","14.5","12.4","13.4","14.4","27.8","26.4","Main"
"D'Andre Swift","RB","CHI","DET","14.8","13.8","14.4","12.4","13.3","14.3","27.6","26.2","Main"
"James Cook","RB","BUF","NYJ","14.6","13.5","14.1","11.8","12.9","14.0","26.7","25.1","Main"
"Stefon Diggs","WR","NE","MIA","14.5","11.9","14.0","8.8","11.4","14.0","26.6","22.7","Main"
"Mike Evans","WR","TB","CAR","14.5","12.2","14.0","9.4","11.7","14.0","27.0","23.5","Saturday"
"Kirk Cousins","QB","ATL","NO","14.3","14.2","15.5","13.2","13.2","13.2","23.4","23.3","Main"
"Tetairoa McMillan","WR","CAR","@TB","14.3","12.0","13.8","9.2","11.5","13.8","26.6","23.1","Saturday"
"Luther Burden","WR","CHI","DET","14.3","11.9","13.8","9.0","11.4","13.8","27.1","23.4","Main"
"Jordan Mason","RB","MIN","GB","14.2","13.3","13.6","11.9","12.7","13.5","26.1","25.0","Main"
"Jonathan Taylor","RB","IND","@HOU","14.1","12.8","13.4","11.1","12.2","13.3","25.1","23.6","Main"
"Trey Lance","QB","LAC","@DEN","13.8","13.4","14.6","12.5","12.5","12.5","21.9","21.8","Main"
"Rico Dowdle","RB","CAR","@TB","13.7","12.1","13.4","10.3","11.8","13.3","24.4","22.3","Saturday"
"Woody Marks","RB","HOU","IND","13.7","12.7","13.2","11.3","12.2","13.1","25.6","24.3","Main"
"Aaron Rodgers","QB","PIT","BAL","13.7","13.6","14.8","12.4","12.4","12.4","22.5","22.5","Sunday"
"Jaylen Wright","RB","MIA","@NE","13.6","12.2","13.1","10.5","11.7","12.9","24.1","22.4","Main"
"Juwan Johnson","TE","NO","@ATL","13.5","10.7","15.9","7.6","10.3","13.1","24.0","19.9","Main"
"Cameron Ward","QB","TEN","@JAX","13.5","13.2","14.4","12.1","12.1","12.1","21.7","21.7","Main"
"Dylan Sampson","RB","CLE","@CIN","13.3","11.4","13.1","9.4","11.2","13.0","23.5","20.9","Main"
"Darius Slayton","WR","NYG","DAL","13.2","11.1","12.7","8.4","10.5","12.7","25.0","21.7","Main"
"Kenneth Gainwell","RB","PIT","BAL","13.2","10.9","13.1","8.5","10.8","13.0","23.7","20.4","Sunday"
"Jameson Williams","WR","DET","@CHI","13.1","11.0","12.5","8.5","10.5","12.5","25.4","22.3","Main"
"Chris Oladokun","QB","KC","@LV","13.1","12.9","14.0","12.1","12.1","12.1","21.3","21.2","Main"
"Tank Bigsby","RB","PHI","WAS","13.0","12.2","12.4","11.0","11.6","12.3","24.2","23.2","Main"
"Jaydon Blue","RB","DAL","@NYG","12.9","12.0","12.4","10.8","11.5","12.3","24.4","23.3","Main"
