"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Puka Nacua","WR","LA","@BAL","24.1","19.8","22.6","14.1","18.4","22.6","39.5","33.6","Main"
"Patrick Mahomes","QB","KC","DET","23.5","23.3","25","22.1","22.1","22.1","34.7","34.7","Sunday"
"Jonathan Taylor","RB","IND","ARI","23.1","21.4","21.9","18.6","20.1","21.6","38","36","Main"
"Christian McCaffrey","RB","SF","@TB","23.1","19.8","22.1","16.1","19.2","22.4","37.3","33.1","Main"
"Jayden Daniels","QB","WAS","CHI","23","22.7","24.7","22","22","22","35.2","35.1","Monday"
"Josh Allen","QB","BUF","@ATL","22.8","22.6","24.4","21.8","21.8","21.8","34.2","34.1","Monday"
"Bijan Robinson","RB","ATL","BUF","22.6","20","21.5","16.7","19.1","21.6","36.8","33.5","Monday"
"Jaxon Smith-Njigba","WR","SEA","@JAX","20.9","17.4","19.7","12.7","16.2","19.7","35.8","30.8","Main"
"Drake Maye","QB","NE","@NO","20.6","20.3","22.4","19.7","19.7","19.7","31.5","31.4","Main"
"Josh Jacobs","RB","GB","CIN","20.5","19.2","19.1","17","18.2","19.3","34.2","32.6","Main"
"De'Von Achane","RB","MIA","LAC","20.5","17.7","19.8","14.5","17.1","19.8","33.5","30","Main"
"Baker Mayfield","QB","TB","SF","20.5","20.3","22.2","19.5","19.5","19.5","31.2","31.2","Main"
"Jalen Hurts","QB","PHI","@NYG","20.2","20","21.7","19.6","19.6","19.6","30.8","30.8","Thursday"
"Justin Herbert","QB","LAC","@MIA","19.9","19.6","21.7","18.9","18.9","18.9","30.7","30.6","Main"
"Caleb Williams","QB","CHI","@WAS","19.6","19.3","21.3","18.8","18.8","18.8","30.2","30.1","Monday"
"Javonte Williams","RB","DAL","@CAR","19.6","17.9","18.6","15.4","16.9","18.5","33.1","31","Main"
"Bo Nix","QB","DEN","NYJ","19.5","19.3","21.3","18.8","18.8","18.8","30","29.9","Other"
"Jordan Love","QB","GB","CIN","19.5","19.3","21.9","18.5","18.5","18.5","30.7","30.7","Main"
"Amon-Ra St Brown","WR","DET","@KC","19.4","15.9","18.5","11.5","15","18.5","33.9","28.9","Sunday"
"Daniel Jones","QB","IND","ARI","19","18.8","21","18.1","18.1","18.1","29.9","29.8","Main"
"Saquon Barkley","RB","PHI","@NYG","19","17.6","18.2","15.1","16.4","17.8","32.8","31","Thursday"
"Rachaad White","RB","TB","SF","18.9","16.8","18.4","14.2","16.2","18.3","32.1","29.4","Main"
"Jahmyr Gibbs","RB","DET","@KC","18.8","16.6","18.1","14","16.1","18.1","31.9","29.2","Sunday"
"Trevor Lawrence","QB","JAX","SEA","18.8","18.6","20.4","17.9","17.9","17.9","29.3","29.2","Main"
"Emeka Egbuka","WR","TB","SF","18.8","15.9","17.8","12.1","15","17.8","33.5","29.3","Main"
"James Cook","RB","BUF","@ATL","18.6","17.3","17.9","15.2","16.4","17.7","32.4","30.6","Monday"
"Dak Prescott","QB","DAL","@CAR","18.5","18.3","20.4","17.6","17.6","17.6","28.9","28.8","Main"
"Ashton Jeanty","RB","LV","TEN","18.5","16.8","17.7","14.5","16.1","17.6","31.4","29.2","Main"
"Sam Darnold","QB","SEA","@JAX","18.4","18.2","20.3","17.4","17.4","17.4","28.8","28.8","Main"
"Breece Hall","RB","NYJ","DEN","18.1","16.3","17.1","13.9","15.5","17.2","30.6","28.3","Other"
"Matthew Stafford","QB","LA","@BAL","18","17.9","19.7","17","17","17","28","28","Main"
"Rico Dowdle","RB","CAR","DAL","17.9","16.3","17","14","15.5","16.9","30.6","28.6","Main"
"Justin Fields","QB","NYJ","DEN","17.7","17.3","19.1","17","17","17","27.9","27.8","Other"
"Mac Jones","QB","SF","@TB","17.7","17.5","19.4","16.6","16.6","16.6","27.6","27.6","Main"
"Kyren Williams","RB","LA","@BAL","17.5","16","16.9","14","15.3","16.7","30.5","28.7","Main"
"Jared Goff","QB","DET","@KC","17.4","17.2","19.2","16.4","16.4","16.4","27.5","27.4","Sunday"
"Xavier Worthy","WR","KC","DET","17.3","14.4","16.6","10.8","13.7","16.6","31.3","27.1","Sunday"
"George Pickens","WR","DAL","@CAR","17","14.4","16.2","11.1","13.6","16.2","31.1","27.3","Main"
"Ja'Marr Chase","WR","CIN","@GB","16.8","13.5","15.8","9.5","12.8","16","29.2","24.5","Main"
"Drake London","WR","ATL","BUF","16.4","13.5","15.5","9.9","12.8","15.7","29.4","25.1","Monday"
"Davante Adams","WR","LA","@BAL","16.4","13.8","15.6","10.6","13.2","15.8","30.1","26.2","Main"
"Spencer Rattler","QB","NO","NE","16.4","16.2","18.4","15.9","15.9","15.9","26.2","26.1","Main"
"Bryce Young","QB","CAR","DAL","16.1","15.9","17.9","15.6","15.6","15.6","25.6","25.5","Main"
"Rome Odunze","WR","CHI","@WAS","16.1","13.6","15.2","10.4","12.9","15.4","29.7","25.9","Monday"
"Ladd McConkey","WR","LAC","@MIA","16","13.1","15.3","9.5","12.4","15.4","29.1","24.8","Main"
"Jaxson Dart","QB","NYG","PHI","16","15.7","17.4","15.4","15.4","15.4","25.3","25.2","Thursday"
"Geno Smith","QB","LV","TEN","15.8","15.5","17.7","15.1","15.1","15.1","25.3","25.2","Main"
"Tetairoa McMillan","WR","CAR","DAL","15.7","13.1","14.7","9.7","12.4","15","28.7","24.8","Main"
"Quinshon Judkins","RB","CLE","@PIT","15.7","14.6","14.5","12.7","13.7","14.6","27","25.6","Main"
"Stefon Diggs","WR","NE","@NO","15.7","12.8","14.9","9.3","12.2","15.1","28.6","24.4","Main"
"Michael Penix","QB","ATL","BUF","15.5","15.3","17.1","14.8","14.8","14.8","24.5","24.4","Monday"
"Jaylen Waddle","WR","MIA","LAC","15.5","12.6","14.8","9.1","12","14.8","28.2","23.9","Main"
"Jacory Croskey-Merritt","RB","WAS","CHI","15.4","14.3","14.7","12.8","13.8","14.7","27.9","26.5","Monday"
"Keenan Allen","WR","LAC","@MIA","15.1","12.2","14.6","8.8","11.7","14.6","27.6","23.3","Main"
"Tua Tagovailoa","QB","MIA","LAC","15.1","14.9","16.8","14.4","14.4","14.4","24","24","Main"
"Deebo Samuel","WR","WAS","CHI","15","12.4","14.7","9.4","12","14.5","28","24.2","Monday"
"Travis Etienne","RB","JAX","SEA","14.9","13.5","14.6","11.8","13.1","14.4","26.9","25","Main"
"Brian Thomas","WR","JAX","SEA","14.9","12.5","14.1","9.6","11.9","14.3","27.8","24.2","Main"
"D'Andre Swift","RB","CHI","@WAS","14.8","13.1","14.4","11.3","12.8","14.3","26.1","23.9","Monday"
"AJ Brown","WR","PHI","@NYG","14.8","12.1","14.3","8.9","11.5","14.1","27.7","23.7","Thursday"
"Aaron Rodgers","QB","PIT","CLE","14.8","14.6","16.4","14.3","14.3","14.3","23.2","23.2","Main"
"Jacoby Brissett","QB","ARI","@IND","14.7","14.5","16.5","14.1","14.1","14.1","23.5","23.4","Main"
"Trey McBride","TE","ARI","@IND","14.7","11.4","17.2","7.8","11","14.2","25.4","20.7","Main"
"Chris Olave","WR","NO","NE","14.6","11.6","14","8.2","11.2","14.1","26.3","22.1","Main"
"Jaylen Warren","RB","PIT","CLE","14.4","13.1","14","11.4","12.7","14","25.9","24.2","Main"
"DK Metcalf","WR","PIT","CLE","14.1","11.8","13.1","9","11.3","13.6","25.9","22.5","Main"
"Courtland Sutton","WR","DEN","NYJ","14","11.7","13.4","9","11.2","13.5","26.6","23.1","Other"
"Derrick Henry","RB","BAL","LA","13.9","13.3","13.1","12","12.6","13.1","25.3","24.5","Main"
"Chase Brown","RB","CIN","@GB","13.8","11.8","13.1","9.7","11.6","13.5","23.3","20.6","Main"
"Michael Pittman","WR","IND","ARI","13.8","11.2","13.3","8.1","10.7","13.3","25.7","21.9","Main"
"Garrett Wilson","WR","NYJ","DEN","13.8","11.2","13.1","8.2","10.8","13.3","25.3","21.5","Other"
"Tyler Warren","TE","IND","ARI","13.6","11.1","15.7","8.2","10.8","13.3","24.6","20.8","Main"
"Jake Ferguson","TE","DAL","@CAR","13.5","10.3","16.2","7","10.1","13.3","23.3","18.7","Main"
"JK Dobbins","RB","DEN","NYJ","13.5","12.5","13.1","11.2","12.1","12.9","25","23.8","Other"
"Joe Flacco","QB","CIN","@GB","13.3","13","15.1","12.6","12.6","12.6","21.8","21.7","Main"
"Jakobi Meyers","WR","LV","TEN","13.3","10.8","12.9","7.9","10.4","12.9","24.8","21.1","Main"
"Cameron Ward","QB","TEN","@LV","13.2","12.9","15","12.7","12.7","12.7","21.6","21.5","Main"
"Tony Pollard","RB","TEN","@LV","13.2","12.1","12.7","10.7","11.7","12.7","23.9","22.5","Main"
"Dillon Gabriel","QB","CLE","@PIT","12.9","12.6","14.5","12.4","12.4","12.4","20.8","20.7","Main"
"Tucker Kraft","TE","GB","CIN","12.9","10.7","14.7","8.2","10.4","12.6","24.4","20.9","Main"
"Jauan Jennings","WR","SF","@TB","12.7","10.4","12.1","7.6","10","12.3","24.2","20.7","Main"
"Cooper Rush","QB","BAL","LA","12.5","12.3","14.2","12","12","12","20.3","20.2","Main"
"Zay Flowers","WR","BAL","LA","12.3","9.9","11.8","7.2","9.6","11.9","22.6","19","Main"
"Kenneth Walker","RB","SEA","@JAX","12.3","11.3","12","10","10.9","11.8","23.1","21.8","Main"
"Cooper Kupp","WR","SEA","@JAX","12.3","9.8","12","7.1","9.5","12","23.2","19.6","Main"
"Khalil Shakir","WR","BUF","@ATL","12.1","9.7","11.8","7","9.4","11.8","22.9","19.2","Monday"
"Rhamondre Stevenson","RB","NE","@NO","12.1","10.8","12","9.4","10.6","11.8","22.5","20.7","Main"
"Cam Skattebo","RB","NYG","PHI","12.1","10.6","11.7","9","10.4","11.8","21.4","19.4","Thursday"
"Wan'Dale Robinson","WR","NYG","PHI","12","9.5","11.5","6.8","9.3","11.8","21.9","18.2","Thursday"
"DeVonta Smith","WR","PHI","@NYG","11.9","9.6","11.8","7","9.3","11.6","23","19.5","Thursday"
"Matthew Golden","WR","GB","CIN","11.7","9.9","11.6","7.9","9.7","11.4","23.6","20.9","Main"
"Marvin Harrison","WR","ARI","@IND","11.4","9.5","10.9","7.3","9.2","11.1","22.2","19.2","Main"
"TreVeyon Henderson","RB","NE","@NO","11.4","10","11.3","8.5","9.8","11.2","21.4","19.5","Main"
"Alvin Kamara","RB","NO","NE","11.4","9.7","11.3","8","9.6","11.2","21.1","18.7","Main"
"Sam LaPorta","TE","DET","@KC","11.3","9","13.2","6.6","8.8","11.1","21.3","17.8","Sunday"
"Kendrick Bourne","WR","SF","@TB","11.3","9.1","10.9","6.6","8.8","10.9","21.7","18.3","Main"
"Kyle Pitts","TE","ATL","BUF","11.2","9","13","6.6","8.8","11","20.8","17.4","Monday"
"Jameson Williams","WR","DET","@KC","11.2","9.5","10.8","7.5","9.1","10.8","22.8","20.1","Sunday"
"Romeo Doubs","WR","GB","CIN","11.2","9.4","11","7.4","9.1","10.9","22.8","20","Main"
"Travis Kelce","TE","KC","DET","11.2","8.9","13.1","6.5","8.7","11","21.2","17.7","Sunday"
"Keon Coleman","WR","BUF","@ATL","11","9.3","10.6","7.2","9","10.7","22.2","19.4","Monday"
"Tre Tucker","WR","LV","TEN","11","9.2","10.7","7.2","9","10.7","21.6","18.8","Main"
"Rashid Shaheed","WR","NO","NE","10.9","9","10.5","6.9","8.8","10.6","21.2","18.3","Main"
"Calvin Ridley","WR","TEN","@LV","10.9","9.1","10.6","6.9","8.7","10.6","21.7","18.8","Main"
"Tee Higgins","WR","CIN","@GB","10.5","8.5","10","6.4","8.3","10.2","20.4","17.4","Main"
"Marquise Brown","WR","KC","DET","10.5","8.6","10.1","6.5","8.4","10.3","20.6","17.7","Sunday"
"Josh Downs","WR","IND","ARI","10.4","8.3","10.3","6","8.1","10.2","20.3","17","Main"
"Hassan Haskins","RB","LAC","@MIA","10.4","9.4","10.4","8.3","9.2","10.1","20.2","18.8","Main"
"Hunter Henry","TE","NE","@NO","10.4","8.6","12","6.6","8.4","10.3","20.3","17.4","Main"
"Kenneth Gainwell","RB","PIT","CLE","10.4","8.8","10.2","7.2","8.7","10.3","19.5","17.2","Main"
"Zach Charbonnet","RB","SEA","@JAX","10.4","9.4","10.2","8.4","9.3","10.2","20","18.6","Main"
"DJ Moore","WR","CHI","@WAS","10.3","8.4","10.1","6.3","8.2","10.1","20","17.1","Monday"
"Troy Franklin","WR","DEN","NYJ","10.1","8.2","9.9","6.2","8.1","9.9","19.9","17","Other"
"Darren Waller","TE","MIA","LAC","10.1","8.2","11.8","6.1","8","10","19.3","16.2","Main"
"David Montgomery","RB","DET","@KC","10","9.2","9.9","8.3","9","9.8","19.8","18.7","Sunday"
"Bam Knight","RB","ARI","@IND","9.8","8.8","9.6","7.9","8.7","9.6","18.8","17.5","Main"
"Wil Lutz","K","DEN","NYJ","9.7","9.7","10.4","9.7","9.7","9.7","16.4","16.4","Other"
"Lucas Havrisik","K","GB","CIN","9.6","9.6","10.3","9.6","9.6","9.6","16.1","16.1","Main"
"GB DST","DST","GB","CIN","9.6","9.6","10.5","9.6","9.6","9.6","17.4","17.4","Main"
"Dontayvion Wicks","WR","GB","CIN","9.5","7.9","9.4","6.1","7.7","9.3","20.1","17.5","Main"
"Jake Elliott","K","PHI","@NYG","9.5","9.5","10.2","9.5","9.5","9.5","16.2","16.2","Thursday"
"Sterling Shepard","WR","TB","SF","9.4","7.7","9.2","5.9","7.5","9.2","19","16.3","Main"
"Zach Ertz","TE","WAS","CHI","9.4","7.7","11","6","7.6","9.3","18.8","16.1","Monday"
"Jake Tonges","TE","SF","@TB","9.3","7.3","11.1","5.2","7.2","9.2","17.6","14.4","Main"
"Matt Prater","K","BUF","@ATL","9.3","9.3","10","9.3","9.3","9.3","15.7","15.7","Monday"
"Brandon Aubrey","K","DAL","@CAR","9.3","9.3","10","9.3","9.3","9.3","15.8","15.8","Main"
"PHI DST","DST","PHI","@NYG","9.3","9.3","10.2","9.3","9.3","9.3","17","17","Thursday"
"Jerry Jeudy","WR","CLE","@PIT","9.2","7.6","8.9","5.7","7.4","9","18.5","15.8","Main"
"David Njoku","TE","CLE","@PIT","9.2","7.1","11.1","4.9","7","9.1","17","13.7","Main"
"Ryan Flournoy","WR","DAL","@CAR","9.2","7.6","9.2","5.8","7.4","9","19.1","16.5","Main"
"Michael Badgley","K","IND","ARI","9.2","9.2","9.9","9.2","9.2","9.2","15.7","15.7","Main"
"Jason Myers","K","SEA","@JAX","9.2","9.2","9.9","9.2","9.2","9.2","15.6","15.6","Main"
"Chase McLaughlin","K","TB","SF","9.2","9.2","9.9","9.2","9.2","9.2","15.8","15.8","Main"
"Isiah Pacheco","RB","KC","DET","9.1","8.1","9.2","7.1","8","9","18.6","17","Sunday"
"Michael Mayer","TE","LV","TEN","9.1","7.2","10.8","5.2","7.1","9","17.5","14.4","Main"
"Cameron Dicker","K","LAC","@MIA","9.1","9.1","9.8","9.1","9.1","9.1","15.6","15.6","Main"
"Matt Gay","K","WAS","CHI","9.1","9.1","9.7","9.1","9.1","9.1","15.4","15.4","Monday"
"Travis Hunter","WR","JAX","SEA","9","7.2","8.7","5.3","7.1","8.8","17.8","15","Main"
