"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","CHI","26.5","23.5","25.4","19.6","22.4","25.2","42.5","38.8","Sunday"
"Puka Nacua","WR","LA","@ATL","26.4","22.1","24.8","16.1","20.4","24.7","42.1","36.1","Monday"
"Ja'Marr Chase","WR","CIN","ARI","23.7","19.8","22.5","14.7","18.6","22.5","39.6","34.2","Main"
"Jahmyr Gibbs","RB","DET","@MIN","23.7","21.1","22.8","17.6","20.1","22.7","39.3","35.9","Thursday"
"Joe Burrow","QB","CIN","ARI","22.7","22.5","23.7","20.7","20.7","20.7","33.9","33.8","Main"
"Dak Prescott","QB","DAL","@WAS","22.7","22.5","23.6","20.6","20.6","20.6","33.8","33.7","Thursday"
"Bijan Robinson","RB","ATL","LA","22.6","19.9","21.7","16.3","19.0","21.6","37.3","33.8","Monday"
"Trevor Lawrence","QB","JAX","@IND","22.0","21.8","23.0","20.2","20.2","20.2","33.2","33.2","Main"
"Drake Maye","QB","NE","@NYJ","22.0","21.7","23.2","20.4","20.4","20.4","33.0","33.0","Main"
"Jaxon Smith-Njigba","WR","SEA","@CAR","21.3","18.0","20.1","13.4","16.7","20.1","36.3","31.5","Main"
"Brock Purdy","QB","SF","CHI","21.2","21.0","22.2","19.4","19.4","19.4","32.1","32.0","Sunday"
"Matthew Stafford","QB","LA","@ATL","21.1","21.0","22.2","19.2","19.2","19.2","31.6","31.6","Monday"
"Ashton Jeanty","RB","LV","NYG","20.3","18.1","19.5","15.1","17.2","19.3","33.0","30.3","Main"
"Trey McBride","TE","ARI","@CIN","20.0","16.1","22.9","11.4","15.2","19.0","33.5","28.0","Main"
"James Cook","RB","BUF","PHI","19.6","18.4","18.4","16.0","17.1","18.2","33.4","31.8","Main"
"Jacoby Brissett","QB","ARI","@CIN","19.5","19.2","20.4","17.5","17.5","17.5","30.2","30.1","Main"
"George Pickens","WR","DAL","@WAS","19.5","16.5","18.5","12.6","15.5","18.4","34.2","29.9","Thursday"
"Bo Nix","QB","DEN","@KC","19.4","19.2","20.4","17.8","17.8","17.8","29.9","29.9","Thursday"
"Jonathan Taylor","RB","IND","JAX","19.4","17.6","18.5","15.2","16.8","18.3","32.8","30.7","Main"
"CeeDee Lamb","WR","DAL","@WAS","19.1","15.9","18.0","11.7","14.9","18.0","33.4","28.9","Thursday"
"De'Von Achane","RB","MIA","TB","18.8","16.8","18.1","14.2","16.1","18.0","31.8","29.2","Main"
"Caleb Williams","QB","CHI","@SF","18.7","18.5","19.8","17.3","17.3","17.3","29.0","29.0","Sunday"
"Travis Etienne","RB","JAX","@IND","18.7","17.1","18.0","15.0","16.4","17.9","32.3","30.3","Main"
"Saquon Barkley","RB","PHI","@BUF","18.5","17.2","17.3","14.9","16.0","17.2","31.4","29.8","Main"
"Baker Mayfield","QB","TB","@MIA","18.5","18.3","19.7","17.2","17.2","17.2","28.8","28.7","Main"
"Josh Allen","QB","BUF","PHI","18.3","18.1","19.4","17.2","17.2","17.2","28.6","28.5","Main"
"Jared Goff","QB","DET","@MIN","18.0","17.8","19.2","16.4","16.4","16.4","28.3","28.2","Thursday"
"Amon-Ra St Brown","WR","DET","@MIN","18.0","14.6","17.2","10.5","13.9","17.2","31.5","26.6","Thursday"
"Chase Brown","RB","CIN","ARI","17.4","15.5","17.1","13.3","15.1","17.0","30.5","28.0","Main"
"Javonte Williams","RB","DAL","@WAS","17.4","16.3","16.6","14.5","15.5","16.5","30.8","29.4","Thursday"
"Drake London","WR","ATL","LA","16.9","13.9","16.2","10.1","13.1","16.1","29.8","25.4","Monday"
"Justin Herbert","QB","LAC","HOU","16.8","16.5","17.9","15.5","15.5","15.5","26.5","26.4","Saturday"
"Tyler Shough","QB","NO","@TEN","16.6","16.3","17.7","15.2","15.2","15.2","26.8","26.7","Main"
