"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","23.6","23.4","22.6","22.6","22.6","Main","37.0","37.0"
"Josh Allen","BUF","QB","23.1","22.9","22.1","22.1","22.1","Main","35.1","35.1"
"Christian McCaffrey","SF","RB","22.6","20.0","16.5","19.0","21.5","Main","36.8","33.5"
"Jayden Daniels","WAS","QB","22.2","21.8","21.1","21.1","21.1","Thursday","33.9","33.9"
"Joe Burrow","CIN","QB","21.7","21.5","20.2","20.2","20.2","Main","33.0","33.0"
"Ja'Marr Chase","CIN","WR","21.5","17.9","13.2","16.8","20.3","Main","37.2","32.1"
"Derrick Henry","BAL","RB","20.9","20.2","18.1","18.6","19.1","Main","34.9","34.2"
"Jalen Hurts","PHI","QB","20.8","20.5","20.0","20.0","20.0","Main","32.0","32.0"
"Justin Herbert","LAC","QB","20.7","20.5","19.5","19.5","19.5","Monday","32.1","32.1"
"Puka Nacua","LA","WR","20.6","16.9","12.2","15.8","19.4","Main","35.4","30.2"
"Patrick Mahomes","KC","QB","20.1","19.8","19.1","19.1","19.1","Main","30.8","30.8"
"Justin Fields","NYJ","QB","20.0","19.7","19.2","19.2","19.2","Main","31.4","31.4"
"Kyler Murray","ARI","QB","19.9","19.7","19.1","19.1","19.1","Main","31.5","31.5"
"CeeDee Lamb","DAL","WR","19.8","16.4","12.1","15.5","18.8","Main","34.6","29.8"
"Jahmyr Gibbs","DET","RB","19.5","17.4","14.7","16.7","18.7","Main","34.2","31.5"
"Saquon Barkley","PHI","RB","19.5","18.1","15.7","17.0","18.2","Main","33.1","31.5"
"De'Von Achane","MIA","RB","19.4","17.1","14.3","16.5","18.7","Main","32.7","29.7"
"Bo Nix","DEN","QB","19.2","19.0","18.4","18.4","18.4","Main","29.7","29.6"
"Chase Brown","CIN","RB","18.9","17.1","14.7","16.3","18.0","Main","32.4","30.3"
"Justin Jefferson","MIN","WR","18.7","15.7","11.8","14.7","17.7","Sunday","33.0","28.8"
"Malik Nabers","NYG","WR","18.7","15.4","11.2","14.5","17.8","Main","32.4","27.7"
"Bijan Robinson","ATL","RB","18.6","16.6","14.1","16.0","17.8","Sunday","31.8","29.4"
"Josh Jacobs","GB","RB","18.6","17.4","15.4","16.5","17.6","Thursday","31.3","29.9"
"Drake Maye","NE","QB","18.4","18.1","17.5","17.5","17.5","Main","28.7","28.6"
"James Conner","ARI","RB","18.3","16.7","14.6","16.0","17.4","Main","31.8","30.0"
"Dak Prescott","DAL","QB","18.3","18.1","17.3","17.3","17.3","Main","28.7","28.7"
"Jared Goff","DET","QB","18.2","18.1","17.1","17.1","17.1","Main","28.7","28.7"
"Jordan Love","GB","QB","18.2","18.0","17.2","17.2","17.2","Thursday","28.7","28.7"
"Jonathan Taylor","IND","RB","18.1","16.8","14.7","15.8","17.0","Main","30.7","29.1"
"JJ McCarthy","MIN","QB","17.9","17.7","17.2","17.2","17.2","Sunday","28.4","28.4"
"Baker Mayfield","TB","QB","17.9","17.7","17.0","17.0","17.0","Monday","28.2","28.2"
"Geno Smith","LV","QB","17.7","17.5","16.6","16.6","16.6","Monday","27.9","27.9"
"Trevor Lawrence","JAX","QB","17.5","17.2","16.5","16.5","16.5","Main","27.6","27.6"
"Jakobi Meyers","LV","WR","17.4","14.1","10.1","13.3","16.6","Monday","31.0","26.3"
"Ladd McConkey","LAC","WR","17.4","14.3","10.4","13.5","16.5","Monday","31.6","27.1"
"Bucky Irving","TB","RB","17.4","15.6","13.3","14.9","16.5","Monday","29.6","27.5"
"Caleb Williams","CHI","QB","17.3","17.0","16.6","16.6","16.6","Main","27.4","27.4"
"Tee Higgins","CIN","WR","17.3","14.3","10.7","13.6","16.5","Main","31.0","26.8"
"Daniel Jones","IND","QB","17.2","16.9","16.5","16.5","16.5","Main","27.5","27.4"
"Amon-Ra St Brown","DET","WR","17.1","14.1","10.5","13.4","16.4","Main","30.9","26.6"
"Tyreek Hill","MIA","WR","17.1","14.2","10.6","13.4","16.3","Main","30.9","26.7"
"Drake London","ATL","WR","17.0","13.8","10.0","13.1","16.2","Sunday","29.8","25.3"
"Kyren Williams","LA","RB","17.0","15.8","13.9","15.0","16.0","Main","29.6","28.2"
"CJ Stroud","HOU","QB","16.9","16.6","16.1","16.1","16.1","Monday","26.8","26.8"
"Brian Thomas","JAX","WR","16.9","14.1","10.5","13.3","16.1","Main","30.4","26.2"
"Ashton Jeanty","LV","RB","16.5","14.9","12.9","14.4","15.8","Monday","28.5","26.5"
"Mike Evans","TB","WR","16.5","13.7","10.2","13.0","15.7","Monday","29.9","25.8"
"Jaxon Smith-Njigba","SEA","WR","16.4","13.4","9.6","12.6","15.6","Main","29.1","24.7"
"AJ Brown","PHI","WR","16.3","13.5","9.8","12.7","15.5","Main","30.2","26.0"
"Matthew Stafford","LA","QB","16.2","16.0","15.3","15.3","15.3","Main","25.8","25.7"
"Tua Tagovailoa","MIA","QB","16.2","16.0","15.3","15.3","15.3","Main","26.0","26.0"
"Trey McBride","ARI","TE","16.1","12.7","8.8","12.2","15.5","Main","28.4","23.5"
"Nico Collins","HOU","WR","16.1","13.2","9.6","12.5","15.3","Monday","29.1","24.9"
"Russell Wilson","NYG","QB","16.0","15.7","15.3","15.3","15.3","Main","25.7","25.7"
"Garrett Wilson","NYJ","WR","16.0","13.1","9.6","12.4","15.3","Main","28.9","24.7"
"Aaron Rodgers","PIT","QB","16.0","15.8","15.2","15.2","15.2","Main","25.5","25.5"
"Courtland Sutton","DEN","WR","15.8","13.2","10.0","12.6","15.1","Main","28.7","24.9"
"Breece Hall","NYJ","RB","15.7","14.0","11.9","13.5","15.1","Main","27.5","25.4"
"James Cook","BUF","RB","15.6","14.3","12.6","13.8","15.0","Main","27.6","26.0"
"Michael Penix","ATL","QB","15.3","15.1","14.5","14.5","14.5","Sunday","24.4","24.4"
"Travis Etienne","JAX","RB","15.3","13.8","12.1","13.4","14.8","Main","26.8","25.0"
"Alvin Kamara","NO","RB","15.3","13.3","11.1","13.0","14.9","Main","26.7","24.0"
"Javonte Williams","DAL","RB","15.2","13.7","12.0","13.3","14.6","Main","26.5","24.7"
"Marquise Brown","KC","WR","15.2","12.4","9.1","11.9","14.7","Main","27.8","23.7"
"Davante Adams","LA","WR","15.2","12.5","9.3","12.0","14.6","Main","28.0","24.1"
"Bryce Young","CAR","QB","15.1","14.9","14.6","14.6","14.6","Main","24.4","24.4"
"Omarion Hampton","LAC","RB","15.1","13.8","12.2","13.3","14.5","Monday","26.9","25.3"
"Spencer Rattler","NO","QB","15.1","14.8","14.5","14.5","14.5","Main","24.1","24.1"
"Tony Pollard","TEN","RB","15.1","13.6","11.7","13.0","14.4","Main","26.1","24.3"
"Zay Flowers","BAL","WR","15.0","12.6","9.6","12.0","14.3","Main","29.4","25.7"
"Keenan Allen","LAC","WR","14.8","12.1","8.9","11.6","14.3","Monday","27.3","23.4"
"Mac Jones","SF","QB","14.8","14.6","14.2","14.2","14.2","Main","24.0","24.0"
"DeVonta Smith","PHI","WR","14.7","11.8","8.5","11.3","14.2","Main","27.2","23.1"
"DK Metcalf","PIT","WR","14.7","12.3","9.3","11.7","14.0","Main","27.6","23.9"
"Joe Flacco","CLE","QB","14.6","14.3","13.7","13.7","13.7","Main","23.7","23.7"
