"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Jahmyr Gibbs","RB","DET","PIT","26.4","23.6","25.3","19.8","22.5","25.1","42.7","39.3","Main"
"Bijan Robinson","RB","ATL","@ARI","24.8","22.3","23.6","18.7","21.1","23.4","40.1","37.0","Main"
"Christian McCaffrey","RB","SF","@IND","23.9","21.1","23.0","17.7","20.3","22.9","39.1","35.6","Monday"
"Amon-Ra St Brown","WR","DET","PIT","23.7","19.6","22.4","14.3","18.3","22.4","39.2","33.6","Main"
"Jonathan Taylor","RB","IND","SF","22.6","20.9","21.0","17.8","19.3","20.9","36.4","34.4","Monday"
"Josh Allen","QB","BUF","@CLE","21.7","21.5","22.9","20.5","20.5","20.5","33.2","33.1","Main"
"Ja'Marr Chase","WR","CIN","@MIA","21.3","17.7","20.2","13.0","16.6","20.2","36.6","31.4","Main"
"Jalen Hurts","QB","PHI","@WAS","21.2","21.0","22.4","19.9","19.9","19.9","32.3","32.2","Saturday"
"Puka Nacua","WR","LA","@SEA","20.9","17.1","19.7","12.2","15.9","19.7","34.7","29.4","Thursday"
"De'Von Achane","RB","MIA","CIN","20.9","18.6","20.0","15.7","17.7","19.8","35.0","32.2","Main"
"Bo Nix","QB","DEN","JAX","20.6","20.5","21.6","19.0","19.0","19.0","31.6","31.6","Main"
"James Cook","RB","BUF","@CLE","20.2","19.1","18.9","16.8","17.8","18.8","34.1","32.8","Main"
"Jared Goff","QB","DET","PIT","20.2","20.1","21.3","18.4","18.4","18.4","31.0","31.0","Main"
"Dak Prescott","QB","DAL","LAC","20.1","19.9","21.0","18.1","18.1","18.1","30.8","30.7","Main"
"Joe Burrow","QB","CIN","@MIA","19.9","19.7","21.0","18.1","18.1","18.1","30.5","30.5","Main"
"Brock Purdy","QB","SF","@IND","19.9","19.7","20.9","18.2","18.2","18.2","30.5","30.5","Monday"
"Jacoby Brissett","QB","ARI","ATL","19.8","19.5","20.6","17.6","17.6","17.6","30.6","30.5","Main"
"Justin Herbert","QB","LAC","@DAL","19.5","19.2","20.6","17.9","17.9","17.9","30.1","30.0","Main"
"Drake Maye","QB","NE","@BAL","19.5","19.2","20.5","17.8","17.8","17.8","30.0","30.0","Sunday"
"Jaxon Smith-Njigba","WR","SEA","LA","19.5","16.2","18.5","12.0","15.2","18.4","33.6","28.9","Thursday"
"Saquon Barkley","RB","PHI","@WAS","19.4","18.0","18.3","15.7","16.9","18.1","32.8","31.1","Saturday"
"Tyler Shough","QB","NO","NYJ","19.1","18.9","20.1","17.6","17.6","17.6","30.3","30.3","Main"
"Lamar Jackson","QB","BAL","NE","18.7","18.4","19.9","17.6","17.6","17.6","29.1","29.0","Sunday"
