"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Patrick Mahomes","QB","KC","@DAL","24.1","23.9","25.1","22.0","22.0","22.0","35.6","35.6","Thursday"
"Jaxon Smith-Njigba","WR","SEA","MIN","23.1","19.7","21.8","15.0","18.4","21.7","38.7","33.9","Main"
"Jahmyr Gibbs","RB","DET","GB","22.9","20.1","22.1","16.6","19.3","22.0","37.8","34.2","Thursday"
"De'Von Achane","RB","MIA","NO","22.9","20.3","21.9","16.8","19.3","21.8","37.7","34.4","Main"
"Ja'Marr Chase","WR","CIN","@BAL","22.3","18.3","21.1","13.1","17.1","21.1","37.5","31.9","Thursday"
"Lamar Jackson","QB","BAL","CIN","22.2","21.9","23.4","20.7","20.7","20.7","33.9","33.8","Thursday"
"Amon-Ra St Brown","WR","DET","GB","22.2","18.2","21.0","13.0","17.0","21.0","37.3","31.7","Thursday"
"Puka Nacua","WR","LA","@CAR","22.2","18.3","21.0","13.1","17.0","20.9","37.2","31.7","Main"
"Jonathan Taylor","RB","IND","HOU","21.9","20.4","20.6","17.8","19.2","20.5","36.3","34.6","Main"
"Drake Maye","QB","NE","NYG","21.5","21.2","22.6","19.9","19.9","19.9","32.2","32.2","Monday"
"Jalen Hurts","QB","PHI","CHI","21.5","21.3","22.8","20.3","20.3","20.3","32.7","32.6","Friday"
"Josh Allen","QB","BUF","@PIT","21.3","21.1","22.4","19.7","19.7","19.7","32.6","32.5","Main"
"Derrick Henry","RB","BAL","CIN","21.0","20.1","19.8","18.0","18.9","19.7","35.4","34.3","Thursday"
"Dak Prescott","QB","DAL","KC","20.2","20.0","21.1","18.2","18.2","18.2","30.7","30.6","Thursday"
"Bijan Robinson","RB","ATL","@NYJ","20.0","17.9","19.2","15.1","17.1","19.0","32.9","30.2","Main"
"Justin Herbert","QB","LAC","LV","20.0","19.7","21.1","18.4","18.4","18.4","30.6","30.6","Main"
"CeeDee Lamb","WR","DAL","KC","19.9","16.4","18.8","11.8","15.3","18.8","34.4","29.4","Thursday"
"Rashee Rice","WR","KC","@DAL","19.9","16.3","19.1","11.7","15.4","19.0","34.2","29.1","Thursday"
"Christian McCaffrey","RB","SF","@CLE","19.9","17.4","19.3","14.5","16.9","19.2","32.7","29.5","Main"
"Bo Nix","QB","DEN","@WAS","19.7","19.5","20.8","18.3","18.3","18.3","30.2","30.1","Sunday"
"Matthew Stafford","QB","LA","@CAR","19.6","19.4","20.8","17.9","17.9","17.9","30.0","29.9","Main"
"George Pickens","WR","DAL","KC","19.2","16.2","18.2","12.1","15.2","18.2","33.9","29.5","Thursday"
"Saquon Barkley","RB","PHI","CHI","19.0","17.4","18.0","15.0","16.4","17.8","32.2","30.3","Friday"
"Jacoby Brissett","QB","ARI","@TB","18.8","18.5","19.8","16.8","16.8","16.8","29.1","29.1","Main"
"Joe Burrow","QB","CIN","@BAL","18.7","18.4","19.7","16.8","16.8","16.8","29.1","29.1","Thursday"
"Trey McBride","TE","ARI","@TB","18.4","14.7","21.4","10.3","14.0","17.7","30.7","25.3","Main"
"James Cook","RB","BUF","@PIT","18.0","16.9","17.0","14.9","15.9","16.9","31.0","29.6","Main"
"Jaxson Dart","QB","NYG","@NE","18.0","17.7","19.0","16.6","16.6","16.6","28.0","27.9","Monday"
"Trevor Lawrence","QB","JAX","@TEN","17.8","17.6","19.0","16.5","16.5","16.5","28.0","27.9","Main"
"Baker Mayfield","QB","TB","ARI","17.8","17.6","18.9","16.4","16.4","16.4","27.6","27.6","Main"
"CJ Stroud","QB","HOU","@IND","17.7","17.4","18.7","16.0","16.0","16.0","27.7","27.6","Main"
"TreVeyon Henderson","RB","NE","NYG","17.7","16.2","16.9","14.0","15.4","16.8","31.1","29.2","Monday"
"Daniel Jones","QB","IND","HOU","17.6","17.4","18.7","16.0","16.0","16.0","28.1","28.0","Main"
"Sam Darnold","QB","SEA","MIN","17.5","17.4","18.7","16.3","16.3","16.3","27.7","27.7","Main"
"Jared Goff","QB","DET","GB","17.4","17.2","18.5","15.8","15.8","15.8","27.3","27.3","Thursday"
"Jordan Love","QB","GB","@DET","17.3","17.1","18.4","15.9","15.9","15.9","27.3","27.2","Thursday"
"Ashton Jeanty","RB","LV","@LAC","16.7","14.5","16.2","12.0","14.0","16.1","27.9","25.1","Main"
"Davante Adams","WR","LA","@CAR","16.7","14.2","16.1","11.0","13.5","16.0","30.7","26.9","Main"
"Josh Jacobs","RB","GB","@DET","16.4","15.1","15.7","13.4","14.5","15.6","28.8","27.3","Thursday"
"Jaylen Waddle","WR","MIA","NO","16.4","13.7","15.6","10.4","13.0","15.6","29.9","26.0","Main"
"Chase Brown","RB","CIN","@BAL","16.3","14.3","15.9","12.0","13.9","15.8","28.0","25.4","Thursday"
"Kyren Williams","RB","LA","@CAR","16.3","15.1","15.8","13.3","14.5","15.7","29.0","27.3","Main"
"Breece Hall","RB","NYJ","ATL","16.2","14.7","15.5","12.8","14.1","15.4","27.6","25.7","Main"
"Nico Collins","WR","HOU","@IND","16.1","13.4","15.4","10.0","12.7","15.4","29.4","25.4","Main"
"Emeka Egbuka","WR","TB","ARI","15.9","13.3","15.3","10.2","12.7","15.3","29.1","25.3","Main"
"Caleb Williams","QB","CHI","@PHI","15.8","15.5","16.9","14.5","14.5","14.5","25.1","25.0","Friday"
"Zay Flowers","WR","BAL","CIN","15.7","13.2","15.0","10.1","12.5","15.0","29.0","25.3","Thursday"
"Marcus Mariota","QB","WAS","DEN","15.7","15.4","16.7","14.4","14.4","14.4","24.8","24.7","Sunday"
"Rico Dowdle","RB","CAR","LA","15.6","13.8","15.0","11.7","13.3","14.9","27.0","24.8","Main"
