"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Puka Nacua","WR","LA","DET","25.2","20.9","23.6","15.0","19.3","23.5","40.7","34.7","Main"
"Christian McCaffrey","RB","SF","TEN","25.0","22.3","24.1","18.9","21.4","23.9","40.4","37.0","Main"
"Jahmyr Gibbs","RB","DET","@LA","23.6","20.7","22.8","17.1","19.9","22.6","39.0","35.4","Main"
"Jaxon Smith-Njigba","WR","SEA","IND","22.8","19.4","21.5","14.7","18.0","21.4","38.3","33.4","Main"
"Ja'Marr Chase","WR","CIN","BAL","22.4","18.6","21.2","13.5","17.4","21.2","37.4","32.0","Main"
"Matthew Stafford","QB","LA","DET","22.4","22.3","23.5","20.4","20.4","20.4","33.4","33.4","Main"
"Josh Allen","QB","BUF","@NE","22.1","21.9","23.2","20.7","20.7","20.7","33.5","33.4","Main"
"Amon-Ra St Brown","WR","DET","@LA","21.4","17.5","20.2","12.5","16.4","20.2","35.8","30.4","Main"
"De'Von Achane","RB","MIA","@PIT","21.4","19.0","20.3","15.8","18.0","20.2","35.4","32.5","Monday"
"Lamar Jackson","QB","BAL","@CIN","20.7","20.5","22.0","19.4","19.4","19.4","31.5","31.5","Main"
"Dak Prescott","QB","DAL","MIN","20.6","20.4","21.7","18.8","18.8","18.8","31.3","31.3","Sunday"
"Brock Purdy","QB","SF","TEN","20.6","20.4","21.8","19.1","19.1","19.1","31.5","31.5","Main"
"Bijan Robinson","RB","ATL","@TB","20.3","18.0","19.5","14.9","17.2","19.4","33.7","30.7","Thursday"
"James Cook","RB","BUF","@NE","20.1","18.8","18.8","16.5","17.6","18.7","34.1","32.5","Main"
"Joe Burrow","QB","CIN","BAL","19.6","19.4","20.5","17.7","17.7","17.7","30.3","30.3","Main"
"CJ Stroud","QB","HOU","ARI","19.5","19.2","20.6","18.0","18.0","18.0","30.2","30.2","Main"
"Jalen Hurts","QB","PHI","LV","19.4","19.2","20.7","18.4","18.4","18.4","30.1","30.1","Main"
"Patrick Mahomes","QB","KC","LAC","19.3","19.1","20.4","17.7","17.7","17.7","29.9","29.8","Main"
"Drake Maye","QB","NE","BUF","19.3","19.0","20.3","17.7","17.7","17.7","29.7","29.6","Main"
"Derrick Henry","RB","BAL","@CIN","19.2","18.5","18.0","16.6","17.3","17.9","33.5","32.6","Main"
"CeeDee Lamb","WR","DAL","MIN","19.2","15.8","18.2","11.6","14.9","18.2","33.5","28.7","Sunday"
"Trevor Lawrence","QB","JAX","NYJ","19.1","18.9","20.3","17.8","17.8","17.8","29.2","29.1","Main"
"Saquon Barkley","RB","PHI","LV","19.0","17.6","17.9","15.3","16.5","17.7","31.8","30.1","Main"
"George Pickens","WR","DAL","MIN","18.8","15.8","17.9","12.0","14.9","17.9","33.2","28.9","Sunday"
"Davante Adams","WR","LA","DET","18.8","16.1","18.0","12.7","15.4","18.0","33.7","29.8","Main"
"Baker Mayfield","QB","TB","ATL","18.5","18.3","19.7","17.2","17.2","17.2","28.7","28.6","Thursday"
"Jared Goff","QB","DET","@LA","18.1","17.9","19.2","16.3","16.3","16.3","28.2","28.1","Main"
"Sam Darnold","QB","SEA","IND","17.8","17.7","19.0","16.4","16.4","16.4","28.1","28.1","Main"
"Jonathan Taylor","RB","IND","@SEA","17.4","15.9","16.3","13.5","14.9","16.2","29.1","27.2","Main"
"Rashee Rice","WR","KC","LAC","17.3","14.0","16.7","10.0","13.3","16.7","30.3","25.6","Main"
"Jaxson Dart","QB","NYG","WAS","17.3","17.0","18.4","16.0","16.0","16.0","27.0","27.0","Main"
"Marcus Mariota","QB","WAS","@NYG","17.3","17.1","18.4","16.1","16.1","16.1","27.5","27.4","Main"
"Woody Marks","RB","HOU","ARI","17.1","16.0","16.2","14.1","15.1","16.1","29.9","28.6","Main"
"Javonte Williams","RB","DAL","MIN","17.0","15.8","16.2","14.0","15.0","16.1","29.8","28.4","Sunday"
"Trey McBride","TE","ARI","@HOU","16.9","13.4","19.7","9.2","12.7","16.2","28.6","23.4","Main"
"Jordan Love","QB","GB","@DEN","16.8","16.6","17.9","15.3","15.3","15.3","26.6","26.5","Main"
"Nico Collins","WR","HOU","ARI","16.8","14.3","16.1","11.0","13.6","16.1","30.6","26.8","Main"
"Michael Wilson","WR","ARI","@HOU","16.6","13.4","15.9","9.6","12.7","15.9","29.2","24.6","Main"
"Bo Nix","QB","DEN","GB","16.6","16.4","17.7","15.2","15.2","15.2","26.0","26.0","Main"
"Quinshon Judkins","RB","CLE","@CHI","16.4","15.3","15.3","13.3","14.2","15.2","28.3","26.9","Main"
"Bucky Irving","RB","TB","ATL","16.4","14.9","15.8","13.0","14.3","15.7","29.1","27.2","Thursday"
"Jacoby Brissett","QB","ARI","@HOU","15.9","15.5","16.8","14.0","14.0","14.0","25.0","25.0","Main"
"Caleb Williams","QB","CHI","CLE","15.9","15.6","16.9","14.8","14.8","14.8","25.3","25.2","Main"
"Jaylen Waddle","WR","MIA","@PIT","15.9","13.2","15.2","9.9","12.6","15.2","28.8","24.8","Monday"
"Travis Etienne","RB","JAX","NYJ","15.8","14.8","15.2","13.2","14.1","15.0","28.7","27.4","Main"
"Aaron Rodgers","QB","PIT","MIA","15.8","15.6","17.0","14.5","14.5","14.5","25.3","25.2","Monday"
"JJ McCarthy","QB","MIN","@DAL","15.7","15.3","16.4","14.0","14.0","14.0","25.2","25.2","Sunday"
"Bryce Young","QB","CAR","@NO","15.4","15.2","16.5","14.3","14.3","14.3","24.5","24.4","Main"
