"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Jahmyr Gibbs","RB","DET","DAL","26.3","23.7","25.1","20.0","22.5","25.0","42.6","39.4","Thursday"
"Josh Allen","QB","BUF","CIN","24.3","24.1","25.4","22.9","22.9","22.9","36.5","36.4","Main"
"Puka Nacua","WR","LA","@ARI","22.7","18.6","21.4","13.3","17.3","21.3","37.6","31.9","Main"
"De'Von Achane","RB","MIA","@NYJ","22.6","20.2","21.5","16.9","19.1","21.3","37.0","34.1","Main"
"James Cook","RB","BUF","CIN","22.2","21.0","20.7","18.5","19.5","20.6","36.9","35.4","Main"
"Dak Prescott","QB","DAL","@DET","22.1","21.9","23.0","19.8","19.8","19.8","33.1","33.1","Thursday"
"Jonathan Taylor","RB","IND","@JAX","22.1","20.6","20.8","17.9","19.3","20.6","36.3","34.5","Main"
"Jaxon Smith-Njigba","WR","SEA","@ATL","21.5","18.2","20.3","13.8","17.0","20.3","36.5","31.8","Main"
"George Pickens","WR","DAL","@DET","21.3","18.1","20.1","13.6","16.8","20.0","36.5","31.9","Thursday"
"Bijan Robinson","RB","ATL","SEA","21.1","18.4","20.4","15.1","17.7","20.3","34.9","31.4","Main"
"CeeDee Lamb","WR","DAL","@DET","21.1","17.5","19.9","12.8","16.3","19.8","36.0","31.0","Thursday"
"Matthew Stafford","QB","LA","@ARI","20.9","20.7","22.0","19.0","19.0","19.0","31.4","31.4","Main"
"Ja'Marr Chase","WR","CIN","@BUF","20.5","16.9","19.5","12.4","15.9","19.5","35.1","30.1","Main"
"Trey McBride","TE","ARI","LA","20.1","16.0","23.1","11.0","15.0","19.1","33.3","27.5","Main"
"Jalen Hurts","QB","PHI","@LAC","19.5","19.2","20.7","18.3","18.3","18.3","30.1","30.0","Monday"
"Jayden Daniels","QB","WAS","@MIN","19.2","18.9","20.3","17.9","17.9","17.9","30.0","29.9","Main"
"Bo Nix","QB","DEN","@LV","19.0","18.8","20.1","17.7","17.7","17.7","29.3","29.3","Main"
"Jared Goff","QB","DET","DAL","19.0","18.8","20.2","17.5","17.5","17.5","29.4","29.3","Thursday"
"Lamar Jackson","QB","BAL","PIT","18.9","18.6","20.1","17.6","17.6","17.6","29.4","29.4","Main"
"Joe Burrow","QB","CIN","@BUF","18.9","18.6","19.9","17.1","17.1","17.1","29.5","29.4","Main"
"Patrick Mahomes","QB","KC","HOU","18.7","18.5","19.9","17.3","17.3","17.3","28.9","28.8","Sunday"
"Josh Jacobs","RB","GB","CHI","18.6","17.4","17.6","15.3","16.4","17.5","31.9","30.3","Main"
"Jacoby Brissett","QB","ARI","LA","17.9","17.6","18.9","16.0","16.0","16.0","28.0","28.0","Main"
"Michael Wilson","WR","ARI","LA","17.7","14.4","16.9","10.4","13.6","16.8","31.2","26.5","Main"
"Amon-Ra St Brown","WR","DET","DAL","17.7","14.6","17.0","10.8","13.9","16.9","31.2","26.8","Thursday"
"Jordan Love","QB","GB","CHI","17.7","17.6","18.9","16.5","16.5","16.5","27.6","27.6","Main"
"Saquon Barkley","RB","PHI","@LAC","17.7","16.2","16.7","13.8","15.2","16.6","30.5","28.6","Monday"
"Bucky Irving","RB","TB","NO","17.6","16.3","16.7","14.2","15.4","16.6","30.5","28.9","Main"
"Davante Adams","WR","LA","@ARI","17.5","15.0","16.9","11.8","14.3","16.8","31.8","28.1","Main"
"Derrick Henry","RB","BAL","PIT","17.4","16.6","16.4","14.9","15.6","16.2","30.6","29.6","Main"
"Rashee Rice","WR","KC","HOU","17.4","14.0","16.8","10.1","13.4","16.8","30.3","25.5","Sunday"
"Breece Hall","RB","NYJ","MIA","17.1","15.4","16.4","13.2","14.7","16.2","29.6","27.5","Main"
"Baker Mayfield","QB","TB","NO","17.0","16.9","18.2","15.9","15.9","15.9","26.7","26.7","Main"
"Daniel Jones","QB","IND","@JAX","16.7","16.5","17.8","15.2","15.2","15.2","26.7","26.7","Main"
"Justin Herbert","QB","LAC","PHI","16.7","16.4","17.8","15.2","15.2","15.2","26.8","26.7","Monday"
"Sam Darnold","QB","SEA","@ATL","16.5","16.4","17.7","15.3","15.3","15.3","26.4","26.3","Main"
"Trevor Lawrence","QB","JAX","IND","16.3","16.0","17.3","14.9","14.9","14.9","25.8","25.7","Main"
"Kyren Williams","RB","LA","@ARI","16.3","15.1","15.8","13.5","14.6","15.7","29.4","27.9","Main"
"Javonte Williams","RB","DAL","@DET","16.1","15.0","15.5","13.3","14.3","15.3","28.8","27.4","Thursday"
"Quinshon Judkins","RB","CLE","TEN","15.9","15.1","14.8","13.4","14.0","14.7","27.9","26.9","Main"
"Ashton Jeanty","RB","LV","DEN","15.9","13.7","15.6","11.2","13.4","15.5","26.9","24.0","Main"
"Justin Jefferson","WR","MIN","WAS","15.7","13.2","15.1","10.0","12.5","15.1","28.6","24.8","Main"
"Tyrod Taylor","QB","NYJ","MIA","15.6","15.3","16.6","14.4","14.4","14.4","24.9","24.8","Main"
"CJ Stroud","QB","HOU","@KC","15.5","15.3","16.6","14.0","14.0","14.0","25.0","24.9","Sunday"
"Jaylen Waddle","WR","MIA","@NYJ","15.5","12.9","14.8","9.7","12.3","14.8","28.2","24.3","Main"
"RJ Harvey","RB","DEN","@LV","15.4","13.9","14.9","12.1","13.4","14.8","27.5","25.6","Main"
"Nico Collins","WR","HOU","@KC","15.4","12.8","14.8","9.5","12.1","14.8","28.1","24.0","Sunday"
"Kenneth Walker","RB","SEA","@ATL","15.3","14.1","14.7","12.4","13.5","14.6","27.8","26.2","Main"
"JJ McCarthy","QB","MIN","WAS","15.2","14.9","16.0","13.7","13.7","13.7","24.6","24.5","Main"
"Emeka Egbuka","WR","TB","NO","15.2","12.8","14.7","9.9","12.3","14.7","28.3","24.7","Main"
"Brock Bowers","TE","LV","DEN","15.1","12.1","17.5","8.6","11.6","14.5","26.6","22.2","Main"
"Caleb Williams","QB","CHI","@GB","14.7","14.5","15.8","13.6","13.6","13.6","23.4","23.3","Main"
"Chris Olave","WR","NO","@TB","14.5","11.7","14.0","8.5","11.2","13.9","26.2","22.2","Main"
"AJ Brown","WR","PHI","@LAC","14.4","11.8","13.8","8.7","11.2","13.8","26.6","22.7","Monday"
"Tyler Shough","QB","NO","@TB","14.3","14.0","15.2","12.9","12.9","12.9","23.5","23.4","Main"
"Jameson Williams","WR","DET","DAL","14.2","12.1","13.6","9.4","11.5","13.6","27.1","23.9","Thursday"
"Chase Brown","RB","CIN","@BUF","14.1","12.5","13.8","10.6","12.2","13.8","25.5","23.3","Main"
"Aaron Jones","RB","MIN","WAS","14.1","12.5","13.7","10.7","12.2","13.6","25.3","23.2","Main"
"Tee Higgins","WR","CIN","@BUF","14.0","11.6","13.5","8.9","11.2","13.5","26.4","22.9","Main"
"Tyler Warren","TE","IND","@JAX","14.0","11.4","16.3","8.4","11.0","13.6","24.9","21.0","Main"
"Tua Tagovailoa","QB","MIA","@NYJ","13.9","13.8","15.1","12.8","12.8","12.8","22.4","22.3","Main"
"Aaron Rodgers","QB","PIT","@BAL","13.9","13.7","15.0","12.7","12.7","12.7","22.5","22.5","Main"
"Zay Flowers","WR","BAL","PIT","13.7","11.3","13.2","8.5","10.9","13.2","25.5","21.9","Main"
"Geno Smith","QB","LV","DEN","13.5","13.2","14.5","12.0","12.0","12.0","22.2","22.1","Main"
"DeVonta Smith","WR","PHI","@LAC","13.5","11.0","13.0","8.1","10.5","12.9","25.1","21.5","Monday"
"DK Metcalf","WR","PIT","@BAL","13.4","11.0","12.9","8.3","10.6","12.9","25.0","21.5","Main"
"Kirk Cousins","QB","ATL","SEA","13.3","13.1","14.3","11.9","11.9","11.9","21.8","21.8","Main"
"Kyle Pitts","TE","ATL","SEA","13.1","10.2","15.6","7.1","9.9","12.8","22.8","18.6","Main"
"Travis Etienne","RB","JAX","IND","12.9","11.7","12.6","10.2","11.3","12.5","23.9","22.3","Main"
"Christian Watson","WR","GB","CHI","12.8","11.0","12.3","8.7","10.5","12.3","25.2","22.3","Main"
"Ladd McConkey","WR","LAC","PHI","12.8","10.4","12.4","7.6","10.0","12.4","24.0","20.4","Monday"
"Terry McLaurin","WR","WAS","@MIN","12.5","10.5","12.1","8.0","10.1","12.1","24.1","21.0","Main"
"Jaylen Warren","RB","PIT","@BAL","12.4","11.2","12.1","9.9","10.9","12.0","22.6","21.0","Main"
"Michael Pittman","WR","IND","@JAX","12.2","9.7","11.9","7.0","9.5","11.9","22.6","18.9","Main"
"Jakobi Meyers","WR","JAX","IND","12.1","9.8","11.8","7.3","9.5","11.8","22.7","19.2","Main"
"Courtland Sutton","WR","DEN","@LV","12.0","10.0","11.6","7.6","9.6","11.6","23.3","20.3","Main"
"Adonai Mitchell","WR","NYJ","MIA","12.0","10.0","11.6","7.6","9.6","11.6","23.5","20.4","Main"
"Bam Knight","RB","ARI","LA","11.8","10.4","11.6","8.9","10.2","11.5","21.5","19.6","Main"
"Shedeur Sanders","QB","CLE","TEN","11.7","11.4","12.4","10.4","10.4","10.4","19.5","19.4","Main"
"Travis Kelce","TE","KC","HOU","11.7","9.4","13.8","6.9","9.2","11.5","21.7","18.1","Sunday"
"Devin Neal","RB","NO","@TB","11.6","9.9","11.4","8.3","9.8","11.3","20.9","18.7","Main"
"David Montgomery","RB","DET","DAL","11.5","10.5","11.3","9.4","10.3","11.2","22.2","20.9","Thursday"
