"gameweek","player","pos","team_normalized","salary","ppg","pts_floor","pts_ceiling","sortino","form","matchup_quality","est_own_pct","est_captain_pct","cash_score","cash_rating","gpp_score","gpp_rating","captain_score","captain_rating","value","picked_by","n_games","actual_pts","actual_own_pct","actual_captain_pct","opponent","home_away"
19,"David Brooks","MID","Bournemouth",5.3,1.90909090909091,0,4.1,1.37139848356989,1.90909090909091,48.5,0.5,0,43.4,"Playable",59.8,"Sneaky Good",56.9,"Live Longshot",0.36,"0.2",22,7.8,NA,NA,"Chelsea","A"
19,"Hjalmar Ekdal","DEF","Burnley",5.3,1.21818181818182,0,6,1.20492898389547,1.21818181818182,31.2,1.3,0,43.1,"Playable",48.6,"Meh",39.6,"Fade Captain",0.23,"1.9",22,0.7,NA,NA,"Newcastle United","H"
19,"Ola Aina","DEF","Nottingham Forest",8.3,0.572727272727273,0,2.3,1.02954379595609,0.572727272727273,61.1,2.7,0,43.1,"Playable",39.5,"Chalk Trap",37.6,"Fade Captain",0.07,"1.1",22,0,NA,NA,"Everton","H"
19,"Lesley Ugochukwu","MID","Burnley",6.2,2.50454545454545,0,7.5,1.55828223794781,2.50454545454545,42.7,1.1,0,43,"Playable",64.2,"Sneaky Good",70.9,"Top Captain",0.4,"0.1",22,1.7,NA,NA,"Newcastle United","H"
19,"Lutsharel Geertruida","DEF","Sunderland",4.2,1.35,0,6,1.33453476592594,1.35,25.9,0.5,0,43,"Playable",53.9,"Meh",37.4,"Fade Captain",0.32,"0",22,6,NA,NA,"Manchester City","H"
19,"Alex Iwobi","MID","Fulham",7.5,2.44545454545455,0,7.7,1.37723590596541,2.44545454545455,46.5,1.6,0,42.8,"Playable",64.8,"Sneaky Good",74.3,"Top Captain",0.33,"0.7",22,0,NA,NA,"Crystal Palace","A"
19,"Alphonse Areola","GK","West Ham",6.4,2.67727272727273,0,4.8,1.37878683423756,2.67727272727273,41.2,3.4,0,42.8,"Playable",62.3,"Sneaky Good",41.7,"Risky Captain",0.42,"2",22,3.5,NA,NA,"Brighton","H"
19,"Boubacar Kamara","MID","Aston Villa",4.3,2.76818181818182,0,6.3,1.45671837223531,2.76818181818182,41.8,0.5,0,42.6,"Playable",59.5,"Sneaky Good",61.1,"Live Longshot",0.64,"0.2",22,0,NA,NA,"Arsenal","A"
19,"Kaoru Mitoma","MID","Brighton",10.4,1.84090909090909,0,6.7,1.21854108785228,1.84090909090909,58.1,5.4,0,42.6,"Playable",52.5,"Meh",73.1,"Top Captain",0.18,"2.3",22,1.7,NA,NA,"West Ham","A"
19,"Emiliano Martinez","GK","Aston Villa",5.6,3.61818181818182,0,8.3,1.49376684051077,3.61818181818182,37.8,3.4,0,42.5,"Playable",67.5,"Sneaky Good",52.8,"Risky Captain",0.65,"3.3",22,1.2,NA,NA,"Arsenal","A"
19,"Rodrigo Bentancur","MID","Tottenham",7.4,2.17272727272727,0,6.7,1.386950994304,2.17272727272727,47.2,1.4,0,42.3,"Playable",59.4,"Sneaky Good",68.5,"Live Longshot",0.29,"0.5",22,4,NA,NA,"Brentford","A"
19,"Federico Chiesa","MID","Liverpool",13,1.28181818181818,0,5,1.31646973138277,1.28181818181818,63.4,7.3,0,42.3,"Playable",45.9,"Meh",64,"Live Longshot",0.1,"0",22,1,NA,NA,"Leeds United","H"
19,"Jaka Bijol","DEF","Leeds United",4.2,1.47727272727273,0,5.6,1.11570778605194,1.47727272727273,27.7,0.5,0,42.3,"Playable",57,"Sneaky Good",39.9,"Fade Captain",0.35,"0.1",22,5.6,NA,NA,"Liverpool","A"
19,"Antonee Robinson","DEF","Fulham",6,1.04090909090909,0,6.3,1.08044953145843,1.04090909090909,44,0.8,0,42.1,"Playable",56.9,"Sneaky Good",47.2,"Risky Captain",0.17,"0.6",22,2,NA,NA,"Crystal Palace","A"
19,"Cristian Romero","DEF","Tottenham",6.7,2.54090909090909,-1.3,9.9,1.057185956677,2.54090909090909,42.6,3.7,0,42,"Playable",70.3,"Leverage Gold",74.9,"Top Captain",0.38,"3.3",22,6,NA,NA,"Brentford","A"
19,"Jayden Bogle","DEF","Leeds United",4.4,2.13636363636364,-0.3,6.3,1.1545842367464,2.13636363636364,27.7,0.9,0,41.6,"Playable",59.2,"Sneaky Good",50.5,"Risky Captain",0.49,"0.6",22,1,NA,NA,"Liverpool","A"
19,"Ibrahim Sangare","MID","Nottingham Forest",8.5,1.94545454545455,0,5,1.24938907634288,1.94545454545455,50.4,1.8,0,41.3,"Playable",56.1,"Sneaky Good",63.6,"Live Longshot",0.23,"0.1",22,0,NA,NA,"Everton","H"
19,"Timothy Castagne","DEF","Fulham",5.9,0.709090909090909,0,1.7,1.16579368454338,0.709090909090909,44,0.8,0,41.2,"Playable",41.8,"Meh",28.4,"Fade Captain",0.12,"0",22,1.5,NA,NA,"Crystal Palace","A"
19,"Oleksandr Zinchenko","DEF","Nottingham Forest",8.4,0.331818181818182,0,1.7,1.02954379595609,0.331818181818182,61.1,2.2,0,41,"Playable",38.5,"Chalk Trap",31.5,"Fade Captain",0.04,"0.1",22,1.3,NA,NA,"Everton","H"
19,"Ian Maatsen","DEF","Aston Villa",4.7,1.03181818181818,0,2.3,1.34062013990172,1.03181818181818,27.1,0.7,0,40.9,"Playable",43.6,"Meh",29.2,"Fade Captain",0.22,"0.5",22,0,NA,NA,"Arsenal","A"
19,"Dan Ndoye","MID","Nottingham Forest",9.6,1.85909090909091,0,6.7,1.34178943565998,1.85909090909091,50.4,2.1,0,40.9,"Playable",57.3,"Sneaky Good",70.2,"Top Captain",0.19,"0.6",22,0,NA,NA,"Everton","H"
19,"Amine Adli","MID","Bournemouth",5.8,1.33181818181818,0,6.3,1.62846979464566,1.33181818181818,48.5,0.5,0,40.8,"Playable",59.3,"Sneaky Good",58.9,"Live Longshot",0.23,"0",22,1,NA,NA,"Chelsea","A"
19,"Sasa Lukic","MID","Fulham",6.9,2.20454545454545,0,7,1.35005113153996,2.20454545454545,46.5,1.1,0,40.7,"Playable",64.9,"Sneaky Good",69.8,"Live Longshot",0.32,"0.1",22,6,NA,NA,"Crystal Palace","A"
19,"Calvin Bassey","DEF","Fulham",6.3,1.57727272727273,-0.3,6.3,1.11204506981752,1.57727272727273,44,1.3,0,40.7,"Playable",59.8,"Sneaky Good",51.4,"Risky Captain",0.25,"0.3",22,0,NA,NA,"Crystal Palace","A"
19,"Ryan Sessegnon","MID","Fulham",7.4,2.58181818181818,0,7.7,1.1939020280397,2.58181818181818,46.5,1.2,0,40.7,"Playable",68.8,"Sneaky Good",75.1,"Top Captain",0.35,"0.2",22,0,NA,NA,"Crystal Palace","A"
19,"Josh Cullen","MID","Burnley",6.3,2.69090909090909,0,7.7,1.35718785139488,2.69090909090909,42.7,1.3,0,40.6,"Playable",63.8,"Sneaky Good",72.2,"Top Captain",0.43,"0.3",22,0,NA,NA,"Newcastle United","H"
