,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester United,Wolverhampton,H,69.35,18.10,43.19,2.27,0.85,3.12
Manchester City,Sunderland,A,66.33,19.54,42.08,2.14,0.88,3.02
Arsenal,Aston Villa,H,65.80,19.67,43.88,2.07,0.84,2.90
Liverpool,Leeds United,H,62.35,20.92,37.64,2.07,0.99,3.05
Chelsea,AFC Bournemouth,H,61.52,20.23,32.40,2.24,1.15,3.39
Newcastle United,Burnley,A,59.53,22.82,39.99,1.89,0.92,2.81
Nottingham Forest,Everton,H,46.46,28.35,36.77,1.40,1.01,2.41
Brighton & Hove Albion,West Ham United,A,45.75,24.73,27.38,1.79,1.30,3.09
Crystal Palace,Fulham,H,42.80,27.24,30.83,1.45,1.18,2.62
Brentford,Tottenham Hotspur,H,42.70,26.38,29.40,1.50,1.21,2.72
Tottenham Hotspur,Brentford,A,30.92,26.38,22.03,1.21,1.50,2.72
Fulham,Crystal Palace,A,29.96,27.24,23.15,1.18,1.45,2.62
West Ham United,Brighton & Hove Albion,H,29.52,24.73,16.26,1.30,1.79,3.09
Everton,Nottingham Forest,A,25.20,28.35,24.38,1.01,1.40,2.41
AFC Bournemouth,Chelsea,A,18.25,20.23,9.80,1.15,2.24,3.39
Burnley,Newcastle United,H,17.65,22.82,14.60,0.92,1.89,2.81
Leeds United,Liverpool,A,16.73,20.92,11.71,0.99,2.07,3.05
Aston Villa,Arsenal,A,14.53,19.67,11.78,0.84,2.07,2.90
Sunderland,Manchester City,H,14.13,19.54,10.92,0.88,2.14,3.02
Wolverhampton,Manchester United,A,12.55,18.10,9.31,0.85,2.27,3.12
