,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Arsenal,AFC Bournemouth,A,63.75,20.02,38.28,2.08,0.97,3.05
Brighton & Hove Albion,Burnley,H,63.53,20.84,42.08,2.02,0.88,2.91
Manchester City,Chelsea,H,57.50,20.76,30.35,2.09,1.19,3.28
Newcastle United,Crystal Palace,H,57.01,23.45,37.34,1.86,0.99,2.85
Tottenham Hotspur,Sunderland,H,52.12,26.06,39.99,1.59,0.92,2.51
Aston Villa,Nottingham Forest,H,51.33,24.97,33.76,1.73,1.10,2.83
Liverpool,Fulham,A,47.58,25.10,30.71,1.71,1.18,2.90
Everton,Brentford,H,39.45,29.27,30.35,1.35,1.19,2.54
Wolverhampton,West Ham United,H,38.48,27.40,27.49,1.35,1.29,2.64
Manchester United,Leeds United,A,36.76,26.49,23.63,1.39,1.44,2.83
Leeds United,Manchester United,H,36.76,26.49,24.90,1.44,1.39,2.83
West Ham United,Wolverhampton,A,34.12,27.40,25.92,1.29,1.35,2.64
Brentford,Everton,A,31.29,29.27,25.74,1.19,1.35,2.54
Fulham,Liverpool,H,27.32,25.10,17.52,1.18,1.71,2.90
Nottingham Forest,Aston Villa,A,23.69,24.97,17.29,1.10,1.73,2.83
Sunderland,Tottenham Hotspur,A,21.82,26.06,20.01,0.92,1.59,2.51
Chelsea,Manchester City,A,21.74,20.76,11.74,1.19,2.09,3.28
Crystal Palace,Newcastle United,A,19.54,23.45,15.17,0.99,1.86,2.85
AFC Bournemouth,Arsenal,H,16.23,20.02,11.70,0.97,2.08,3.05
Burnley,Brighton & Hove Albion,A,15.63,20.84,12.39,0.88,2.02,2.91
