,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Arsenal,Leeds United,A,62.02,22.34,44.03,1.88,0.83,2.71
Chelsea,West Ham United,H,60.36,20.66,32.00,2.18,1.16,3.34
Manchester United,Fulham,H,59.83,21.37,35.84,2.04,1.04,3.07
Manchester City,Tottenham Hotspur,A,54.15,23.21,32.00,1.89,1.16,3.05
Liverpool,Newcastle United,H,53.20,22.80,29.23,1.99,1.25,3.23
Sunderland,Burnley,H,53.05,26.75,42.25,1.58,0.87,2.45
Brighton & Hove Albion,Everton,H,50.03,25.98,35.27,1.65,1.06,2.70
Nottingham Forest,Crystal Palace,H,47.25,27.13,34.53,1.57,1.07,2.64
Aston Villa,Brentford,H,45.11,25.78,28.23,1.64,1.27,2.90
AFC Bournemouth,Wolverhampton,A,40.32,26.68,27.35,1.51,1.30,2.80
Wolverhampton,AFC Bournemouth,H,32.99,26.68,21.87,1.30,1.51,2.80
Brentford,Aston Villa,A,29.11,25.78,19.27,1.27,1.64,2.90
Crystal Palace,Nottingham Forest,A,25.62,27.13,20.33,1.07,1.57,2.64
Newcastle United,Liverpool,A,24.00,22.80,13.42,1.25,1.99,3.23
Everton,Brighton & Hove Albion,A,23.98,25.98,18.60,1.06,1.65,2.70
Tottenham Hotspur,Manchester City,H,22.64,23.21,14.60,1.16,1.89,3.05
Burnley,Sunderland,A,20.21,26.75,20.38,0.87,1.58,2.45
West Ham United,Chelsea,A,18.98,20.66,10.31,1.16,2.18,3.34
Fulham,Manchester United,A,18.80,21.37,12.56,1.04,2.04,3.07
Leeds United,Arsenal,H,15.64,22.34,14.52,0.83,1.88,2.71
