,Matchup,,Daily,,Odds,
Federico Chiesa,LIV,NEW,$6.3,M,220,31.25
Charalampos Kostoulas,BHA,EVE,$4.8,F,220,31.25
Pedro Neto,CHE,WHU,$7.1,M,220,31.25
Leandro Trossard,ARS,LEE,$6.8,M,220,31.25
Jamie Gittens,CHE,WHU,$6.0,M,230,30.30
Noni Madueke,ARS,LEE,$6.8,M,230,30.30
Dominik Szoboszlai,LIV,NEW,$6.6,M,230,30.30
Enes Unal,BOU,WOL,$5.4,F,230,30.30
Beto,EVE,BHA,$5.0,F,240,29.41
Eberechi Eze,ARS,LEE,$7.3,M,240,29.41
Raul Jimenez,FUL,MUN,$6.2,F,240,29.41
Gabriel Martinelli,ARS,LEE,$6.8,M,240,29.41
Mikel Merino,ARS,LEE,$5.5,M,240,29.41
Rio Ngumoha,LIV,NEW,$4.3,M,240,29.41
Yoane Wissa,NEW,LIV,$7.3,M,240,29.41
Brajan Gruda,BHA,EVE,$5.4,M,250,28.57
Mason Mount,MUN,FUL,$5.9,M,250,28.57
Kevin Schade,BRE,AVL,$7.2,M,250,28.57
Jarrod Bowen,WHU,CHE,$7.6,M,260,27.78
Georginio Rutter,BHA,EVE,$5.6,F,260,27.78
Chemsdine Talbi,SUN,BRN,$4.9,M,260,27.78
Tom Watson,BHA,EVE,$4.8,M,260,27.78
Callum Wilson,WHU,CHE,$5.8,F,260,27.78
Florian Wirtz,LIV,NEW,$8.3,M,260,27.78
Hwang Hee-Chan,WOL,BOU,$5.6,M,270,27.03
Will Osula,NEW,LIV,$5.4,F,270,27.03
Dominic Solanke,TOT,MCI,$7.2,F,270,27.03
Simon Adingra,SUN,BRN,$4.9,M,280,26.32
Morgan Gibbs-White,NFO,CRY,$7.3,M,280,26.32
Mateus Mane,WOL,BOU,$4.5,F,280,26.32
Jhon Arias,WOL,BOU,$4.9,M,290,25.64
Harvey Barnes,NEW,LIV,$6.1,M,290,25.64
Dominic Calvert-Lewin,LEE,ARS,$6.0,F,290,25.64
Rayan Cherki,MCI,TOT,$6.7,M,290,25.64
Dan Ndoye,NFO,CRY,$5.5,M,290,25.64
Tijjani Reijnders,MCI,TOT,$5.2,M,290,25.64
Christantus Uche,CRY,NFO,$5.5,F,290,25.64
Thierno Barry,EVE,BHA,$5.7,F,300,25.00
David Brooks,BOU,WOL,$5.0,M,300,25.00
Zian Flemming,BRN,SUN,$5.3,F,300,25.00
Kaoru Mitoma,BHA,EVE,$6.1,M,300,25.00
Emiliano Buendia,AVL,BRE,$5.3,M,310,24.39
Omari Hutchinson,NFO,CRY,$5.4,M,310,24.39
Randal Kolo Muani,TOT,MCI,$6.9,F,310,24.39
Yankuba Minteh,BHA,EVE,$5.8,M,310,24.39
Dango Ouattara,BRE,AVL,$5.8,M,310,24.39
Leon Bailey,AVL,BRE,$5.5,M,320,23.81
Jeremy Doku,MCI,TOT,$6.4,M,320,23.81
Harvey Elliott,AVL,BRE,$5.1,M,320,23.81
Savinho,MCI,TOT,$6.9,M,320,23.81
Remy Rees-Dottin,BOU,WOL,,,320,23.81
Mathys Tel,TOT,MCI,$6.2,M,320,23.81
Lyle Foster,BRN,SUN,$4.9,F,330,23.26
Diego Gomez,BHA,EVE,$4.9,M,330,23.26
Solomon March,BHA,EVE,$5.8,M,330,23.26
James McAtee,NFO,CRY,$5.0,M,330,23.26
Andrey Santos,CHE,WHU,$4.5,M,330,23.26
Iliman Ndiaye,EVE,BHA,$6.2,F,330,23.26
Eddie Nketiah,CRY,NFO,$5.4,F,330,23.26
Anthony Gordon,NEW,LIV,$7.4,M,340,22.73
Chris Rigg,SUN,BRN,$4.7,M,340,22.73
Ashley Barnes,BRN,SUN,$4.2,F,350,22.22
Maxim De Cuyper,BHA,EVE,$4.3,D,350,22.22
Callum Hudson-Odoi,NFO,CRY,$5.7,M,350,22.22
Curtis Jones,LIV,NEW,$5.4,M,360,21.74
Keane Lewis-Potter,BRE,AVL,$4.9,M,360,21.74
Sean Neave,NEW,LIV,$4.3,F,360,21.74
Ismaila Sarr,CRY,NFO,$6.3,M,360,21.74
Casemiro,MUN,FUL,$5.5,M,370,21.28
Jacob Murphy,NEW,LIV,$5.9,M,370,21.28
Harry Wilson,FUL,MUN,$6.0,M,370,21.28
Habib Diarra,SUN,BRN,$5.3,M,380,20.83
Reiss Nelson,BRE,AVL,$4.8,M,380,20.83
Lukas Nmecha,LEE,ARS,$5.0,F,380,20.83
Joel Piroe,LEE,ARS,$4.9,F,380,20.83
Amine Adli,BOU,WOL,$5.4,M,390,20.41
Armando Broja,BRN,SUN,$5.2,F,390,20.41
Enzo Le Fee,SUN,BRN,$4.9,M,390,20.41
Romaine Mundle,SUN,BRN,$4.9,M,400,20.00
Nico O'Reilly,MCI,TOT,$5.1,M,400,20.00
Jadon Sancho,AVL,BRE,$5.8,M,400,20.00
Martin Odegaard,ARS,LEE,$7.8,M,410,19.61
Xavi Simons,TOT,MCI,$6.5,M,410,19.61
Douglas Luiz,AVL,BRE,$4.9,M,410,19.61
Anthony Elanga,NEW,LIV,$6.5,M,420,19.23
Alexis Mac Allister,LIV,NEW,$6.2,M,420,19.23
Dilane Bakwa,NFO,CRY,$5.9,M,430,18.87
Alex Jimenez,BOU,WOL,$4.5,D,430,18.87
Trey Nyoni,LIV,NEW,$4.3,M,430,18.87
Luca Williams-Barnett,TOT,MCI,$4.5,M,430,18.87
Jaidon Anthony,BRN,SUN,$5.1,M,440,18.52
Jamaldeen Jimoh-Aloba,AVL,BRE,$4.5,M,440,18.52
Dominic Sadi,BOU,WOL,$4.5,F,440,18.52
Brenden Aaronson,LEE,ARS,$5.4,M,450,18.18
Brennan Johnson,CRY,NFO,$6.5,F,450,18.18
Jean-Ricner Bellegarde,WOL,BOU,$5.1,M,460,17.86
Tyler Dibling,EVE,BHA,$5.3,M,460,17.86
Nicolas Dominguez,NFO,CRY,$5.0,M,460,17.86
Jonah Kusi-Asare,FUL,MUN,$4.5,F,460,17.86
Rayan Ait-Nouri,MCI,TOT,$5.7,D,470,17.54
Rodrigo Gomes,WOL,BOU,$4.4,M,470,17.54
Pascal Gross,BHA,EVE,$5.5,M,470,17.54
Wilson Odobert,TOT,MCI,$5.3,M,470,17.54
Emile Smith Rowe,FUL,MUN,$5.6,M,470,17.54
Carlos Alcaraz,EVE,BHA,$5.2,M,480,17.24
Reece James,CHE,WHU,$5.7,D,490,16.95
Amadou Onana,AVL,BRE,$4.8,M,490,16.95
Jacob Bruun Larsen,BRN,SUN,$5.3,M,500,16.67
Marcus Edwards,BRN,SUN,$4.7,M,500,16.67
Bruno Guimaraes,NEW,LIV,$7.3,M,500,16.67
Trai Hume,SUN,BRN,$4.5,D,500,16.67
Daniel James,LEE,ARS,$5.2,M,500,16.67
Noah Okafor,LEE,ARS,$5.5,M,500,16.67
Yeremy Pino,CRY,NFO,$5.8,M,500,16.67
Declan Rice,ARS,LEE,$7.4,M,500,16.67
Kevin,FUL,MUN,$5.8,M,500,16.67
Charlie Stevens,BOU,WOL,,,500,16.67
Crysencio Summerville,WHU,CHE,$5.5,M,500,16.67
Alex Toth,BOU,WOL,$5.0,M,500,16.67
Adama Traore,WHU,CHE,$5.1,M,500,16.67
Yasin Ayari,BHA,EVE,$4.8,M,550,15.38
Daniel Ballard,SUN,BRN,$4.6,D,550,15.38
Ryan Christie,BOU,WOL,$4.9,M,550,15.38
Samuel Chukwueze,FUL,MUN,$5.3,M,550,15.38
Justin Devenny,CRY,NFO,$4.3,M,550,15.38
Kiernan Dewsbury-Hall,EVE,BHA,$4.9,M,550,15.38
Jack Fletcher,MUN,FUL,$4.3,M,550,15.38
Wilfried Gnonto,LEE,ARS,$5.2,F,550,15.38
Rodri,MCI,TOT,$6.3,M,550,15.38
Josh King,FUL,MUN,$4.4,M,550,15.38
Bernardo Silva,MCI,TOT,$6.2,M,550,15.38
Loum Tchaouna,BRN,SUN,$4.9,M,550,15.38
Tynan Thompson,TOT,MCI,,,550,15.38
Omar Alderete,SUN,BRN,$4.1,D,600,14.29
Elliot Anderson,NFO,CRY,$5.3,M,600,14.29
Harrison Armstrong,EVE,BHA,$4.5,M,600,14.29
Marc Cucurella,CHE,WHU,$6.0,D,600,14.29
Jack Hinshelwood,BHA,EVE,$5.1,M,600,14.29
Dwight McNeil,EVE,BHA,$5.5,M,600,14.29
Jacob Ramsey,NEW,LIV,$5.3,M,600,14.29
Tomas Soucek,WHU,CHE,$5.7,M,600,14.29
Facundo Buonanotte,LEE,ARS,$4.6,M,650,13.33
Moises Caicedo,CHE,WHU,$5.7,M,650,13.33
Joelinton,NEW,LIV,$5.9,M,650,13.33
Mikkel Damsgaard,BRE,AVL,$5.7,M,650,13.33
Romelle Donovan,BRE,AVL,$4.4,M,650,13.33
Gabriel,ARS,LEE,$6.9,D,650,13.33
Conor Gallagher,TOT,MCI,$5.5,M,650,13.33
Nico Gonzalez,MCI,TOT,$5.9,M,650,13.33
Ryan Gravenberch,LIV,NEW,$5.7,M,650,13.33
Archie Gray,TOT,MCI,$4.8,M,650,13.33
Marc Guehi,MCI,TOT,$5.2,D,650,13.33
Mathias Jensen,BRE,AVL,$4.9,M,650,13.33
Kobbie Mainoo,MUN,FUL,$4.6,M,650,13.33
Hannibal,BRN,SUN,$4.7,M,650,13.33
Alex Scott,BOU,WOL,$5.0,M,650,13.33
Ryan Sessegnon,FUL,MUN,$5.4,D,650,13.33
Virgil van Dijk,LIV,NEW,$5.9,D,650,13.33
Joe Willock,NEW,LIV,$5.0,M,650,13.33
Ryan Yates,NFO,CRY,$4.7,M,650,13.33
Matty Cash,AVL,BRE,$4.8,D,700,12.50
Trevoh Chalobah,CHE,WHU,$5.6,D,700,12.50
Joel Drakes-Thomas,CRY,NFO,,,700,12.50
Jeremie Frimpong,LIV,NEW,$5.8,D,700,12.50
Merlin Rohl,EVE,BHA,$5.0,M,700,12.50
Ibrahim Sangare,NFO,CRY,$4.9,M,700,12.50
Pape Sarr,TOT,MCI,$4.5,M,700,12.50
Wataru Endo,LIV,NEW,$4.9,M,750,11.76
Mateus Fernandes,WHU,CHE,$5.5,M,750,11.76
Harry Maguire,MUN,FUL,$4.3,D,750,11.76
Djed Spence,TOT,MCI,$4.3,D,750,11.76
Lesley Ugochukwu,BRN,SUN,$5.0,M,750,11.76
Martin Zubimendi,ARS,LEE,$5.2,M,750,11.76
Riccardo Calafiori,ARS,LEE,$5.6,D,800,11.11
Alex Iwobi,FUL,MUN,$6.3,M,800,11.11
Ferdi Kadioglu,BHA,EVE,$4.4,D,800,11.11
Michael Keane,EVE,BHA,$4.7,D,800,11.11
Ian Maatsen,AVL,BRE,$4.2,M,800,11.11
Nikola Milenkovic,NFO,CRY,$5.1,D,800,11.11
Manuel Ugarte,MUN,FUL,$4.7,M,800,11.11
Diogo Dalot,MUN,FUL,$4.5,D,850,10.53
Destiny Udogie,TOT,MCI,$4.3,D,850,10.53
Lutsharel Geertruida,SUN,BRN,$4.5,D,850,10.53
Malo Gusto,CHE,WHU,$4.9,D,850,10.53
Christian Norgaard,ARS,LEE,$5.1,M,850,10.53
Matheus Nunes,MCI,TOT,$5.4,M,850,10.53
Joao Palhinha,TOT,MCI,$5.5,M,850,10.53
Sandro Tonali,NEW,LIV,$5.3,M,850,10.53
Mats Wieffer,BHA,EVE,$4.9,M,850,10.53
Tom Cairney,FUL,MUN,$4.8,M,900,10.00
Mohamadou Kante,WHU,CHE,,,900,10.00
Lewis Miley,NEW,LIV,$4.5,M,900,10.00
Lamare Bogarde,AVL,BRE,$4.0,D,950,9.52
Andres Garcia,AVL,BRE,$3.9,D,950,9.52
Jorrel Hato,CHE,WHU,$4.6,D,950,9.52
Ayden Heaven,MUN,FUL,$3.9,D,950,9.52
George Hemmings,AVL,BRE,,,950,9.52
James Justin,LEE,ARS,$3.9,D,950,9.52
Ladislav Krejci,WOL,BOU,$4.5,D,950,9.52
Tyrell Malacia,MUN,FUL,$3.8,D,950,9.52
James Milner,BHA,EVE,$4.9,M,950,9.52
Daniel Munoz,CRY,NFO,$5.8,D,950,9.52
Luke Shaw,MUN,FUL,$4.5,D,950,9.52
James Ward-Prowse,BRN,SUN,$5.6,M,950,9.52
Josh Acheampong,CHE,WHU,$3.8,D,1000,9.09
Carlos Baleba,BHA,EVE,$4.5,M,1000,9.09
Rio Cardines,CRY,NFO,,,1000,9.09
Joao Gomes,WOL,BOU,$5.3,M,1000,9.09
Piero Hincapie,ARS,LEE,$5.2,D,1000,9.09
Rico Lewis,MCI,TOT,$4.6,D,1000,9.09
Myles Lewis-Skelly,ARS,LEE,$5.1,M,1000,9.09
Calvin Ramsay,LIV,NEW,$3.8,D,1000,9.09
Cristian Romero,TOT,MCI,$5.0,D,1000,9.09
Nicolo Savona,NFO,CRY,$4.5,D,1000,9.09
Anton Stach,LEE,ARS,$4.9,M,1000,9.09
Ao Tanaka,LEE,ARS,$4.8,M,1000,9.09
Jackson Tchatchoua,WOL,BOU,$4.4,D,1000,9.09
Malick Thiaw,NEW,LIV,$5.1,D,1000,9.09
Jurrien Timber,ARS,LEE,$6.3,D,1000,9.09
Jan Paul van Hecke,BHA,EVE,$4.5,D,1000,9.09
Neco Williams,NFO,CRY,$4.7,D,1000,9.09
Leny Yoro,MUN,FUL,$4.2,D,1000,9.09
Benoit Badiashile,CHE,WHU,$4.4,D,1100,8.33
Malcom Dacosta,BOU,WOL,,,1100,8.33
Vitaly Janelt,BRE,AVL,$4.9,M,1100,8.33
Josh Laurent,BRN,SUN,$4.8,M,1100,8.33
Sean Longstaff,LEE,ARS,$4.8,M,1100,8.33
Lisandro Martinez,MUN,FUL,$4.8,D,1100,8.33
David Moller Wolfe,WOL,BOU,$4.3,D,1100,8.33
Frank Onyeka,BRE,AVL,$4.8,M,1100,8.33
Oliver Scarles,WHU,CHE,$4.3,D,1100,8.33
Pau Torres,AVL,BRE,$4.3,D,1100,8.33
Micky van de Ven,TOT,MCI,$4.6,D,1100,8.33
Emmanuel Agbadou,WOL,BOU,$4.2,D,1200,7.69
Willy Boly,NFO,CRY,$3.8,D,1200,7.69
Olivier Boscagli,BHA,EVE,$4.2,D,1200,7.69
Dan Burn,NEW,LIV,$5.0,D,1200,7.69
Murillo,NFO,CRY,$5.2,D,1200,7.69
Matt Doherty,WOL,BOU,$4.4,D,1200,7.69
Lewis Dunk,BHA,EVE,$4.5,D,1200,7.69
Joe Gomez,LIV,NEW,$4.9,D,1200,7.69
Milos Kerkez,LIV,NEW,$5.6,D,1200,7.69
Abdukodir Khusanov,MCI,TOT,$5.4,D,1200,7.69
Ibrahima Konate,LIV,NEW,$5.4,D,1200,7.69
Jefferson Lerma,CRY,NFO,$4.9,M,1200,7.69
Konstantinos Mavropanos,WHU,CHE,$4.4,D,1200,7.69
Noussair Mazraoui,MUN,FUL,$4.9,D,1200,7.69
Nordi Mukiele,SUN,BRN,$4.5,D,1200,7.69
Jake O'Brien,EVE,BHA,$4.9,D,1200,7.69
Luke O'Nien,SUN,BRN,$4.0,D,1200,7.69
Sepp van den Berg,BRE,AVL,$4.5,D,1200,7.69
Yehor Yarmolyuk,BRE,AVL,$5.0,M,1200,7.69
Nathan Ake,MCI,TOT,$5.3,D,1300,7.14
Hugo Bueno,WOL,BOU,$4.3,D,1300,7.14
Lucas Digne,AVL,BRE,$4.5,D,1300,7.14
Noah Sadiki,SUN,BRN,$4.9,M,1300,7.14
William Saliba,ARS,LEE,$6.0,D,1300,7.14
Pascal Struijk,LEE,ARS,$4.3,D,1300,7.14
Jayden Bogle,LEE,ARS,$4.4,D,1400,6.67
Dennis Cirkin,SUN,BRN,$4.0,D,1400,6.67
Nathan Collins,BRE,AVL,$5.0,D,1400,6.67
Ezri Konsa,AVL,BRE,$4.4,D,1400,6.67
Maxence Lacroix,CRY,NFO,$5.1,D,1400,6.67
Tyrone Mings,AVL,BRE,$4.3,D,1400,6.67
Andrew Robertson,LIV,NEW,$5.7,D,1400,6.67
Adrien Truffert,BOU,WOL,$4.5,D,1400,6.67
Aaron Wan-Bissaka,WHU,CHE,$4.1,D,1400,6.67
Ben White,ARS,LEE,$5.1,D,1400,6.67
Yves Bissouma,TOT,MCI,$5.2,M,1500,6.25
Santi Bueno,WOL,BOU,$4.4,D,1500,6.25
Jun'ai Byfield,TOT,MCI,$4.0,D,1500,6.25
Nathaniel Clyne,CRY,NFO,$3.8,D,1500,6.25
El Hadji Malick Diouf,WHU,CHE,$4.0,D,1500,6.25
James Garner,EVE,BHA,$5.2,M,1500,6.25
Idrissa Gueye,EVE,BHA,$5.4,M,1500,6.25
Aaron Hickey,BRE,AVL,$4.0,D,1500,6.25
Will Hughes,CRY,NFO,$4.7,M,1500,6.25
Tim Iroegbunam,EVE,BHA,$4.8,M,1500,6.25
Veljko Milosavljevic,BOU,WOL,$4.4,D,1500,6.25
Yerson Mosquera,WOL,BOU,$4.3,D,1500,6.25
Harrison Reed,FUL,MUN,$4.3,M,1500,6.25
Chadi Riad,CRY,NFO,$4.0,D,1500,6.25
Zach Abbott,NFO,CRY,$3.8,D,1600,5.88
Max Alleyne,MCI,TOT,$4.4,D,1600,5.88
Sven Botman,NEW,LIV,$4.9,D,1600,5.88
Lewis Cook,BOU,WOL,$4.9,M,1600,5.88
Kevin Danso,TOT,MCI,$4.2,D,1600,5.88
Radu Dragusin,TOT,MCI,$4.5,D,1600,5.88
Wesley Fofana,CHE,WHU,$4.4,D,1600,5.88
James Hill,BOU,WOL,$3.9,D,1600,5.88
Cristhian Mosquera,ARS,LEE,$5.3,D,1600,5.88
Ethan Pinnock,BRE,AVL,$4.2,D,1600,5.88
Jorge Cuenca,FUL,MUN,$4.3,D,1700,5.56
Bafode Diakite,BOU,WOL,$4.2,D,1700,5.56
Quilindschy Hartman,BRN,SUN,$4.0,D,1700,5.56
Jordan Henderson,BRE,AVL,$5.0,M,1700,5.56
Pedro Lima,WOL,BOU,$4.0,D,1700,5.56
Soungoutou Magassa,WHU,CHE,$5.0,M,1700,5.56
Nathan Patterson,EVE,BHA,$4.4,D,1700,5.56
Chris Richards,CRY,NFO,$4.4,D,1700,5.56
Connor Roberts,BRN,SUN,$4.4,D,1700,5.56
Kaden Rodney,CRY,NFO,$4.4,M,1700,5.56
Marcos Senesi,BOU,WOL,$4.8,D,1700,5.56
Kyle Walker-Peters,WHU,CHE,$4.2,D,1700,5.56
Kristoffer Ajer,BRE,AVL,$4.4,D,1800,5.26
Sander Berge,FUL,MUN,$4.9,M,1800,5.26
Rico Henry,BRE,AVL,$4.3,D,1800,5.26
Wellity Lucky,LIV,NEW,$4.0,D,1800,5.26
Reinildo,SUN,BRN,$3.8,D,1800,5.26
Lucas Pires,BRN,SUN,$3.8,D,1800,5.26
Joe Rodon,LEE,ARS,$3.9,D,1800,5.26
Borna Sosa,CRY,NFO,$4.8,D,1800,5.26
James Tarkowski,EVE,BHA,$5.8,D,1800,5.26
Adam Aznou,EVE,BHA,$4.2,D,1900,5.00
Michael Kayode,BRE,AVL,$4.5,D,1900,5.00
Leo Shahar,NEW,LIV,$4.0,D,1900,5.00
Joel Veltman,BHA,EVE,$4.3,D,1900,5.00
Samuel Amissah,FUL,MUN,$3.8,D,2000,4.76
Calvin Bassey,FUL,MUN,$4.4,D,2000,4.76
Jaydee Canvot,CRY,NFO,$4.5,D,2000,4.76
Maxime Esteve,BRN,SUN,$3.9,D,2000,4.76
Gabriel Gudmundsson,LEE,ARS,$3.8,D,2000,4.76
Lewis Hall,NEW,LIV,$5.3,M,2000,4.76
Bashir Humphreys,BRN,SUN,$3.9,D,2000,4.76
Max Kilman,WHU,CHE,$4.2,D,2000,4.76
Florentino Luis,BRN,SUN,$5.0,M,2000,4.76
Freddie Potts,WHU,CHE,$4.4,M,2000,4.76
Andre,WOL,BOU,$5.3,M,2000,4.76
Kyle Walker,BRN,SUN,$4.4,D,2000,4.76
Ola Aina,NFO,CRY,$4.7,D,2200,4.35
Benjamin Arthur,BRE,AVL,$3.9,D,2200,4.35
Jarrad Branthwaite,EVE,BHA,$5.3,D,2200,4.35
Timothy Castagne,FUL,MUN,$4.3,D,2200,4.35
Seamus Coleman,EVE,BHA,$4.2,D,2200,4.35
Issa Diop,FUL,MUN,$4.3,D,2200,4.35
Hjalmar Ekdal,BRN,SUN,$3.9,D,2200,4.35
Ilia Gruev,LEE,ARS,$4.7,M,2200,4.35
Leo Hjelde,SUN,BRN,$4.0,D,2200,4.35
Alex Murphy,NEW,LIV,$3.8,D,2200,4.35
Vitaliy Mykolenko,EVE,BHA,$4.9,D,2200,4.35
Morato,NFO,CRY,$4.3,D,2200,4.35
Joachim Andersen,FUL,MUN,$4.6,D,2500,3.85
Sebastiaan Bornauw,LEE,ARS,$3.8,D,2500,3.85
Souza,TOT,MCI,,,2500,3.85
Emil Krafth,NEW,LIV,$4.3,D,2500,3.85
Marli Salmon,ARS,LEE,,,2500,3.85
Adam Smith,BOU,WOL,$4.4,D,2500,3.85
Kieran Trippier,NEW,LIV,$4.9,D,2500,3.85
Ethan Ampadu,LEE,ARS,$4.9,D,2700,3.57
Sam Byram,LEE,ARS,$3.8,D,2700,3.57
Victor Lindelof,AVL,BRE,$4.5,D,2700,3.57
Ezra Mayers,WHU,CHE,,,2700,3.57
Tyrick Mitchell,CRY,NFO,$5.0,D,2700,3.57
Antonee Robinson,FUL,MUN,$4.9,D,2700,3.57
James Rowswell,TOT,MCI,$4.0,D,2700,3.57
Kenny Tete,FUL,MUN,$4.5,D,2700,3.57
Axel Tuanzebe,BRN,SUN,$3.9,D,2700,3.57
Jean-Clair Todibo,WHU,CHE,$4.3,D,3000,3.23
Joe Worrall,BRN,SUN,$3.8,D,3000,3.23
