,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Arsenal,Sunderland,H,74.61,16.73,54.81,2.17,0.62,2.80
Manchester United,Tottenham Hotspur,H,59.15,20.42,31.44,2.11,1.17,3.28
Chelsea,Wolverhampton,A,57.31,23.28,35.73,1.94,1.05,2.98
Newcastle United,Brentford,H,47.08,24.19,25.92,1.74,1.35,3.09
Fulham,Everton,H,44.57,28.55,34.68,1.43,1.07,2.49
West Ham United,Burnley,A,42.35,26.78,28.40,1.52,1.26,2.78
Aston Villa,AFC Bournemouth,A,37.73,25.33,23.05,1.54,1.46,3.01
AFC Bournemouth,Aston Villa,H,36.94,25.33,21.15,1.46,1.54,3.01
Burnley,West Ham United,H,30.87,26.78,21.77,1.26,1.52,2.78
Brentford,Newcastle United,A,28.73,24.19,16.92,1.35,1.74,3.09
Everton,Fulham,A,26.87,28.55,23.80,1.07,1.43,2.49
Tottenham Hotspur,Manchester United,A,20.42,20.42,10.94,1.17,2.11,3.28
Wolverhampton,Chelsea,H,19.40,23.28,13.47,1.05,1.94,2.98
Sunderland,Arsenal,A,8.67,16.73,10.33,0.62,2.17,2.80
Brighton & Hove Albion,Crystal Palace,H,46.59,25.18,29.82,1.65,1.20,2.84
Liverpool,Manchester City,H,42.34,23.95,21.49,1.70,1.53,3.23
Manchester City,Liverpool,A,33.71,23.95,17.99,1.53,1.70,3.23
Crystal Palace,Brighton & Hove Albion,A,28.23,25.18,19.04,1.20,1.65,2.84
