,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Liverpool,Burnley,H,77.69,14.47,51.72,2.46,0.68,3.14
Arsenal,Nottingham Forest,A,61.81,22.46,43.03,1.88,0.86,2.74
Aston Villa,Everton,H,55.88,24.85,40.12,1.76,0.92,2.68
Tottenham Hotspur,West Ham United,H,54.40,23.91,34.53,1.84,1.07,2.92
Newcastle United,Wolverhampton,A,54.15,23.21,32.56,1.86,1.13,2.99
Chelsea,Brentford,H,52.10,24.26,30.35,1.89,1.19,3.08
Brighton & Hove Albion,AFC Bournemouth,H,48.65,23.47,25.75,1.91,1.36,3.27
Manchester City,Manchester United,A,47.50,23.25,24.37,1.94,1.41,3.36
Leeds United,Fulham,H,44.82,27.16,33.04,1.45,1.12,2.56
Sunderland,Crystal Palace,H,39.30,28.86,31.37,1.30,1.16,2.46
Crystal Palace,Sunderland,A,31.84,28.86,27.35,1.16,1.30,2.46
Manchester United,Manchester City,H,29.25,23.25,13.59,1.41,1.94,3.36
Fulham,Leeds United,A,28.01,27.16,23.15,1.12,1.45,2.56
AFC Bournemouth,Brighton & Hove Albion,A,27.87,23.47,14.56,1.36,1.91,3.27
Brentford,Chelsea,A,23.64,24.26,14.60,1.19,1.89,3.08
Wolverhampton,Newcastle United,H,22.64,23.21,14.70,1.13,1.86,2.99
West Ham United,Tottenham Hotspur,A,21.69,23.91,15.06,1.07,1.84,2.92
Everton,Aston Villa,A,19.27,24.85,16.57,0.92,1.76,2.68
Nottingham Forest,Arsenal,H,15.72,22.46,14.60,0.86,1.88,2.74
Burnley,Liverpool,A,7.84,14.47,7.88,0.68,2.46,3.14
