,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Fulham,H,70.52,17.14,43.10,2.34,0.86,3.20
Chelsea,Leeds United,H,61.65,21.69,37.55,2.06,0.99,3.06
Crystal Palace,Burnley,H,60.27,23.00,44.06,1.85,0.83,2.67
Arsenal,Brentford,A,57.03,23.48,38.42,1.80,0.97,2.76
Nottingham Forest,Wolverhampton,H,55.63,25.06,40.79,1.72,0.91,2.63
Liverpool,Sunderland,A,55.42,23.38,35.27,1.81,1.06,2.87
Manchester United,West Ham United,A,53.68,21.73,28.23,1.97,1.27,3.24
Aston Villa,Brighton & Hove Albion,H,49.54,25.23,31.52,1.71,1.16,2.87
Newcastle United,Tottenham Hotspur,A,40.93,25.73,25.75,1.54,1.36,2.90
Everton,AFC Bournemouth,H,40.00,27.27,25.75,1.46,1.36,2.82
Tottenham Hotspur,Newcastle United,H,33.35,25.73,20.95,1.36,1.54,2.90
AFC Bournemouth,Everton,A,32.73,27.27,23.22,1.36,1.46,2.82
Brighton & Hove Albion,Aston Villa,A,25.23,25.23,17.65,1.16,1.71,2.87
West Ham United,Manchester United,H,24.59,21.73,13.41,1.27,1.97,3.24
Sunderland,Liverpool,H,21.20,23.38,15.44,1.06,1.81,2.87
Brentford,Arsenal,H,19.49,23.48,15.77,0.97,1.80,2.76
Wolverhampton,Nottingham Forest,A,19.32,25.06,17.19,0.91,1.72,2.63
Burnley,Crystal Palace,A,16.73,23.00,14.93,0.83,1.85,2.67
Leeds United,Chelsea,A,16.66,21.69,11.64,0.99,2.06,3.06
Fulham,Manchester City,A,12.34,17.14,8.35,0.86,2.34,3.20
