,,,,,,Implied Goals,,
Team,Opponent,H/A,Win %,Draw %,Clean Sheet %,Scored,Allowed,Total
Manchester City,Brighton & Hove Albion,H,62.62,19.26,29.85,2.37,1.22,3.58
Manchester United,Burnley,A,56.35,24.08,39.07,1.81,0.96,2.76
Newcastle United,Leeds United,H,55.77,24.46,37.55,1.84,0.99,2.83
Brentford,Sunderland,H,51.59,27.31,42.23,1.54,0.87,2.41
Everton,Wolverhampton,H,51.47,26.47,38.06,1.65,0.99,2.63
Chelsea,Fulham,A,47.19,24.90,29.20,1.73,1.24,2.97
AFC Bournemouth,Tottenham Hotspur,H,44.07,25.81,26.62,1.65,1.32,2.97
Aston Villa,Crystal Palace,A,42.44,27.85,29.27,1.53,1.23,2.76
Tottenham Hotspur,AFC Bournemouth,A,30.12,25.81,19.04,1.32,1.65,2.97
Crystal Palace,Aston Villa,H,29.71,27.85,21.35,1.23,1.53,2.76
Fulham,Chelsea,H,27.92,24.90,17.34,1.24,1.73,2.97
Wolverhampton,Everton,A,22.06,26.47,19.04,0.99,1.65,2.63
Sunderland,Brentford,A,21.10,27.31,20.95,0.87,1.54,2.41
Leeds United,Newcastle United,A,19.78,24.46,14.98,0.99,1.84,2.83
Burnley,Manchester United,H,19.57,24.08,15.81,0.96,1.81,2.76
Brighton & Hove Albion,Manchester City,A,18.12,19.26,8.36,1.22,2.37,3.58
