,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Thierno Barry,EVE,NFO,F,95.0,0.35,0.13,3.02,1.25,1.04,15.70,21.78,0.69,0.17,3.43,0.85,1.77,0.15,0.53,0.37,0.08,1.18,0.24,1.43,0.00,1.63,1.47,0.19,0.00
Yeremy Pino,CRY,FUL,F/M,95.0,0.32,0.23,2.17,0.93,1.85,28.54,36.18,2.97,0.80,0.87,1.26,1.82,0.58,2.06,1.09,0.22,1.22,0.31,1.18,0.00,1.80,1.38,0.25,0.02
Georginio Rutter,BHA,WHU,F,95.0,0.31,0.15,2.33,0.89,1.40,20.28,26.37,1.57,0.38,0.97,1.11,1.80,0.53,1.88,0.89,0.13,0.57,0.27,1.31,0.00,1.59,1.39,0.15,0.00
Mikkel Damsgaard,BRE,TOT,F/M,95.0,0.30,0.43,2.31,0.90,2.89,35.93,45.03,4.68,1.26,0.66,1.64,1.97,0.70,2.88,1.64,0.10,1.15,0.29,1.21,0.00,1.49,1.53,0.27,0.00
Kaoru Mitoma,BHA,WHU,F/M,95.0,0.30,0.09,1.88,0.76,1.38,24.20,30.17,2.28,0.40,0.64,1.60,1.29,0.46,1.66,0.95,0.09,0.42,0.27,1.31,0.00,0.85,1.04,0.06,0.01
Rayan Cherki,MCI,SUN,F/M,95.0,0.28,0.37,2.74,0.94,3.06,54.11,63.52,5.39,1.26,0.73,1.91,2.16,0.53,0.96,0.57,0.11,0.52,0.42,0.88,0.00,1.39,1.56,0.46,0.00
Jean-Philippe Mateta,CRY,FUL,F,95.0,0.28,0.11,2.24,0.87,0.85,12.46,17.28,0.78,0.20,2.58,0.61,1.76,0.27,0.88,0.60,0.05,1.04,0.31,1.18,0.00,1.37,1.03,0.08,0.00
Phil Foden,MCI,SUN,F/M,95.0,0.28,0.11,2.20,0.67,1.72,51.16,58.45,3.24,0.91,0.57,0.87,1.21,0.55,2.08,1.10,0.19,1.07,0.42,0.88,0.00,1.18,1.02,0.11,0.00
Trevoh Chalobah,CHE,BOU,D,95.0,0.28,0.06,1.07,0.34,0.44,62.70,72.36,0.47,0.04,2.96,0.22,0.36,1.16,1.83,1.15,1.06,5.58,0.32,1.17,0.00,0.99,1.03,0.20,0.01
Anthony Gordon,NEW,BRN,F/M,95.0,0.27,0.13,1.94,0.67,1.26,20.19,25.30,2.72,0.61,0.28,1.66,1.37,0.41,1.10,0.81,0.04,0.52,0.40,0.92,0.00,1.51,0.83,0.11,0.04
Jacob Bruun Larsen,BRN,NEW,F/M,95.0,0.25,0.23,2.44,1.03,1.71,22.16,27.56,3.78,1.05,0.54,1.50,1.39,0.25,1.13,0.62,0.07,0.78,0.15,1.89,0.00,0.99,0.76,0.12,0.00
Justin Kluivert,BOU,CHE,F/M,95.0,0.25,0.22,2.11,0.87,1.43,20.43,25.23,2.82,0.65,0.42,1.03,1.16,0.37,1.17,0.65,0.11,0.74,0.10,2.23,0.00,1.30,1.57,0.27,0.00
Estevao,CHE,BOU,F/M,95.0,0.25,0.17,1.84,0.72,1.44,18.49,22.83,2.59,0.67,0.55,1.34,1.32,0.34,1.20,0.73,0.04,0.83,0.32,1.17,0.00,1.25,0.91,0.11,0.00
