"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"6","Badredine Bouanani","Stuttgart","0.08","0.00","Off Target","10","Right Foot","","Josha Vagnoman","Pass (Live)","Josha Vagnoman","Take-On","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"12","Nikolas Nartey","Stuttgart","0.01","0.00","Off Target","25","Left Foot","","Chema","Pass (Live)","Chris Führich","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"17","Robert Glatzel","Hamburger SV","0.23","0.67","Goal","15","Right Foot","","Alexander Røssing-Lelesiit","Pass (Live)","Alexander Røssing-Lelesiit","Take-On","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"20","Bilal El Khannouss","Stuttgart","0.04","0.00","Blocked","18","Right Foot","","Chris Führich","Pass (Live)","Nikolas Nartey","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"25","Rayan Philippe","Hamburger SV","0.04","0.00","Off Target","20","Left Foot","","Luka Vušković","Pass (Live)","Nicolai Remberg","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"34","Ransford Königsdörffer","Hamburger SV","0.07","0.00","Off Target","13","Left Foot","","Alexander Røssing-Lelesiit","Pass (Live)","Jordan Torunarigha","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"44","Chema","Stuttgart","0.05","0.00","Blocked","18","Right Foot","","Badredine Bouanani","Pass (Live)","Ameen Al-Dakhil","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"45+3","Pascal Stenzel","Stuttgart","0.02","0.00","Blocked","23","Right Foot","Volley","Bilal El Khannouss","Pass (Dead)","Pascal Stenzel","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"45+3","Badredine Bouanani","Stuttgart","0.02","0.00","Off Target","24","Left Foot","","Nikolas Nartey","Pass (Live)","Pascal Stenzel","Shot","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"","","","","","","","","","","","","","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"46","Miro Muheim","Hamburger SV","0.03","0.00","Blocked","29","Right Foot","","Miro Muheim","Take-On","Nicolai Remberg","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"49","Ramon Hendriks","Stuttgart","0.11","0.00","Off Target","7","Head","","Bilal El Khannouss","Pass (Dead)","Julian Chabot","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"54","Jamie Leweling","Stuttgart","0.02","0.02","Saved","30","Right Foot","","Bilal El Khannouss","Pass (Live)","Deniz Undav","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"54","Deniz Undav","Stuttgart","0.17","0.71","Goal","9","Right Foot","","Jamie Leweling","Shot","","","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"57","Deniz Undav","Stuttgart","0.06","0.00","Off Target","22","Right Foot","Volley","Bilal El Khannouss","Pass (Live)","Chema","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"62","Bilal El Khannouss","Stuttgart","0.03","0.00","Off Target","22","Right Foot","Volley","Chema","Pass (Live)","Ramon Hendriks","Pass (Dead)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"69","Giorgi Gocholeishvili","Hamburger SV","0.04","0.00","Blocked","8","Head","","Miro Muheim","Pass (Live)","Fabio Baldé","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"69","Ransford Königsdörffer","Hamburger SV","0.11","0.00","Off Target","10","Right Foot","Volley","Giorgi Gocholeishvili","Shot","","","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"73","Luka Vušković","Hamburger SV","0.13","0.00","Blocked","7","Head","","Miro Muheim","Pass (Dead)","Nicolai Remberg","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"77","Luka Vušković","Hamburger SV","0.04","0.00","Off Target","12","Head","","Miro Muheim","Pass (Dead)","Giorgi Gocholeishvili","Fouled","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"80","Deniz Undav","Stuttgart","0.05","0.00","Off Target","9","Right Foot","","Badredine Bouanani","Pass (Live)","Ameen Al-Dakhil","Tackle","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"88","Chema","Stuttgart","0.05","0.05","Saved","12","Head","","Maximilian Mittelstädt","Pass (Live)","Angelo Stiller","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"90+1","Jamie Leweling","Stuttgart","0.03","0.00","Off Target","22","Right Foot","","Lazar Jovanović","Pass (Live)","Chema","Pass (Live)","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
