"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"10","Ryan Gravenberch","Liverpool","0.13","0.68","Goal","13","Right Foot","Volley","Mohamed Salah","Pass (Live)","Dominik Szoboszlai","Pass (Live)","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"16","Mohamed Salah","Liverpool","0.03","0.00","Off Target","18","Left Foot","","","","","","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"19","Alexis Mac Allister","Liverpool","0.10","0.00","Blocked","17","Left Foot","","Cody Gakpo","Pass (Live)","Ryan Gravenberch","Pass (Live)","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"19","Conor Bradley","Liverpool","0.04","0.00","Blocked","17","Right Foot","","Alexis Mac Allister","Shot","","","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"24","Idrissa Gana Gueye","Everton","0.01","0.00","Blocked","24","Right Foot","","Jack Grealish","Pass (Live)","Idrissa Gana Gueye","Pass (Live)","Everton","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"24","Cody Gakpo","Liverpool","0.08","0.00","Off Target","16","Right Foot","Volley","Dominik Szoboszlai","Pass (Live)","","","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"27","Kiernan Dewsbury-Hall","Everton","0.14","0.00","Off Target","12","Left Foot","","Jack Grealish","Pass (Live)","James Garner","Pass (Live)","Everton","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"29","Hugo Ekitike","Liverpool","0.30","0.35","Goal","11","Right Foot","","Ryan Gravenberch","Pass (Live)","Alexis Mac Allister","Pass (Live)","Liverpool","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"37","Beto","Everton","0.20","0.00","Off Target","10","Right Foot","Volley","Iliman Ndiaye","Pass (Live)","","","Everton","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
"43","James Garner","Everton","0.01","0.00","Blocked","24","Right Foot","","Jack Grealish","Pass (Live)","James Garner","Pass (Dead)","Everton","Premier-League","2025-2026","Saturday September 20, 2025, 12:30 (venue time)","Liverpool","Everton","https://fbref.com/en/matches/5da72d0e/Merseyside-Derby-Liverpool-Everton-September-20-2025-Premier-League","5"
