"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"6","Armand Lauriente","Sassuolo","0.05","0.00","Blocked","23","Right Foot","","Jay Idzes","Pass (Live)","Ismaël Koné","Pass (Live)","Sassuolo","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"8","Alberto Moreno","Como","0.37","0.00","Off Target","22","Left Foot","","Máximo Perrone","Pass (Live)","Nicolás Paz","Pass (Live)","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"10","Jesus Rodríguez","Como","0.02","0.02","Saved","18","Right Foot","","Máximo Perrone","Pass (Live)","Maxence Caqueret","Pass (Live)","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"10","Jayden Addai","Como","0.09","0.00","Blocked","18","Left Foot","","Jesus Rodríguez","Shot","","","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"10","Nicolás Paz","Como","0.02","0.01","Saved","27","Left Foot","","Mërgim Vojvoda","Pass (Live)","Jayden Addai","Shot","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"10","Domenico Berardi","Sassuolo","0.03","0.06","Saved","18","Right Foot","","Armand Lauriente","Pass (Live)","Arijanet Muric","Pass (Live)","Sassuolo","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"13","Armand Lauriente","Sassuolo","0.04","0.00","Blocked","16","Right Foot","","Andrea Pinamonti","Pass (Live)","Domenico Berardi","Pass (Live)","Sassuolo","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"14","Alberto Moreno","Como","0.01","0.00","Blocked","19","Left Foot","","Maxence Caqueret","Pass (Live)","Mërgim Vojvoda","Pass (Dead)","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"14","Anastasios Douvikas","Como","0.19","0.74","Goal","8","Left Foot","","Alberto Moreno","Shot","","","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"18","Andrea Pinamonti","Sassuolo","0.04","0.00","Blocked","21","Right Foot","","","","","","Sassuolo","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"19","Nemanja Matić","Sassuolo","0.09","0.18","Saved","4","Head","","Domenico Berardi","Pass (Live)","Ismaël Koné","Pass (Live)","Sassuolo","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"20","Nicolás Paz","Como","0.02","0.00","Off Target","25","Right Foot","","Máximo Perrone","Pass (Live)","Jacobo Ramón","Pass (Live)","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"26","Jesus Rodríguez","Como","0.02","0.05","Saved","20","Right Foot","Deflected","Alberto Moreno","Pass (Live)","Máximo Perrone","Pass (Live)","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
"29","Jayden Addai","Como","0.08","0.06","Saved","18","Left Foot","","Maxence Caqueret","Pass (Live)","","","Como","Serie-A","2025-2026","Friday November 28, 2025, 20:45 (venue time) 19:45 (local time)","Como","Sassuolo","https://fbref.com/en/matches/d845e989/Como-Sassuolo-November-28-2025-Serie-A","13"
