"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Kyogo Furuhashi","9","jp JPN","FW","30-200","76","0","0","0","0","2","0","0","0","12","0","0","0","0.2","0.2","0.0","2","1","1","7","14.3","0","8","1","0","0","/en/players/fd4d5f81/Kyogo-Furuhashi","Birmingham City","0","0","3","9","4","12","","0","","29","17","0","0","2","0","11","3","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Tommy Doyle","7","eng ENG","FW","23-295","14","0","0","0","0","0","0","0","0","4","1","0","0","0.0","0.0","0.0","0","0","2","3","66.7","0","1","0","1","1","/en/players/5526deb1/Tommy-Doyle","Birmingham City","0","0","3","1","0","4","100.0","0","0.0","4","0","0","0","0","0","0","0","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Keshi Anderson","14","eng ENG","LW,CM","30-124","88","0","0","0","0","1","1","0","0","52","6","1","2","0.0","0.0","0.0","1","0","25","36","69.4","0","28","4","1","0","/en/players/864a3eba/Keshi-Anderson","Birmingham City","1","10","24","20","1","52","0.0","0","0.0","154","82","0","1","3","1","29","8","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Taylor Gardner-Hickman","19","eng ENG","CM","23-221","2","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/f05ee68d/Taylor-Gardner-Hickman","Birmingham City","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Demarai Gray","10","jm JAM","RW","29-041","82","0","0","0","0","1","1","0","0","20","2","0","0","0.0","0.0","0.0","1","0","10","14","71.4","0","15","3","1","0","/en/players/4468ec10/Demarai-Gray","Birmingham City","1","2","7","12","1","20","0.0","1","100.0","110","78","2","0","0","0","12","1","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Ethan Laird","2","eng ENG","RB","24-092","8","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","0","0","0","0","/en/players/8267f8d4/Ethan-Laird","Birmingham City","1","1","2","0","0","3","","0","","0","0","0","0","1","0","1","0","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Jay Stansfield","28","eng ENG","AM","22-257","82","1","0","0","0","3","1","0","0","19","2","1","1","0.7","0.7","0.1","2","0","4","7","57.1","1","8","1","0","0","/en/players/b2626673/Jay-Stansfield","Birmingham City","0","2","5","12","4","19","","0","","28","18","0","1","3","1","8","2","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Lyndon Dykes","17","sct SCO","FW","29-305","8","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","1","0","0","0","/en/players/cd92357a/Lyndon-Dykes","Birmingham City","1","1","1","1","0","3","","0","","1","0","0","0","0","0","1","1","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Paik Seung-ho","8","kr KOR","DM,CM","28-144","90","0","0","0","0","1","0","1","0","49","1","1","0","0.0","0.0","0.0","2","0","35","43","81.4","4","24","0","1","1","/en/players/1e1bea09/Paik-Seung-ho","Birmingham City","0","12","31","7","1","49","100.0","0","0.0","66","31","1","0","1","0","27","1","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
"Tomoki Iwata","24","jp JPN","DM,CM","28-123","90","0","0","0","0","2","0","0","0","60","0","1","2","0.1","0.1","0.2","2","0","38","52","73.1","5","28","0","0","0","/en/players/61e65971/Tomoki-Iwata","Birmingham City","1","12","35","13","1","60","","0","","91","56","1","0","1","0","30","0","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1","St Andrew's @ Knighthead Park"
