"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"7","Harvey Vale","QPR","0.01","0.00","Off Target","31","Left Foot","Volley","Rhys Norrington-Davies","Pass (Live)","Nicolas Madsen","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"10","Sondre Langås","Derby County","0.23","0.00","Off Target","5","Left Foot","","Max Johnston","Pass (Live)","Ben Brereton","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"10","Carlton Morris","Derby County","0.92","0.86","Goal","2","Right Foot","","Sondre Langås","Shot","","","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"20","Carlton Morris","Derby County","0.03","0.00","Off Target","11","Head","","Max Johnston","Pass (Live)","Bobby Clark","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"22","Ben Brereton","Derby County","0.05","0.48","Saved","13","Right Foot","","Callum Elder","Pass (Live)","Bobby Clark","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"27","Richard Kone","QPR","0.06","0.00","Blocked","16","Left Foot","","Rumarn Burrell","Pass (Live)","Rhys Norrington-Davies","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"29","Patrick Agyemang","Derby County","0.03","0.22","Saved","9","Left Foot","","Bobby Clark","Pass (Live)","","","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"39","Ben Brereton","Derby County","0.03","0.00","Blocked","22","Right Foot","","Carlton Morris","Pass (Live)","Callum Elder","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"45","Carlton Morris","Derby County","0.02","0.00","Blocked","27","Right Foot","","David Ozoh","Pass (Live)","Carlton Morris","Tackle","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"61","Richard Kone","QPR","0.25","0.00","Off Target","10","Head","","Jonathan Varane","Pass (Live)","Rumarn Burrell","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"63","Max Johnston","Derby County","0.04","0.00","Woodwork","26","Right Foot","Free kick","Callum Elder","Fouled","Jacob Widell Zetterström","Pass (Dead)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"65","Ben Brereton","Derby County","0.15","0.00","Woodwork","8","Head","","Callum Elder","Fouled","","","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"66","Sondre Langås","Derby County","0.10","0.14","Saved","10","Head","","Ben Brereton","Pass (Live)","Max Johnston","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"68","Patrick Agyemang","Derby County","0.03","0.00","Blocked","24","Right Foot","","","","","","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"81","Karamoko Dembélé","QPR","0.01","0.00","Blocked","35","Left Foot","","Jonathan Varane","Pass (Live)","Amadou Mbengue","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
"82","Jonathan Varane","QPR","0.01","0.00","Off Target","29","Right Foot","Volley","Amadou Mbengue","Pass (Live)","Paul Smyth","Pass (Live)","Championship","2025-2026","Saturday October 25, 2025, 15:00 (venue time)","Derby County","Queens Park Rangers","https://fbref.com/en/matches/c5619b30/Derby-County-Queens-Park-Rangers-October-25-2025-Championship","12"
