"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Robert Glatzel","9","de GER","FW","31-326","32","5","0","0","3","2","2","5","0","0","","0","","3","11","0","0","0","0","1","0","5","2","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Ransford Königsdörffer","11","gh GHA","FW","24-078","54","19","1","2","13","4","3","19","1","0","0.0","1","100.0","9","42","9","0","0","0","2","1","10","0","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Guilherme Ramos","13","pt POR","FW","28-111","4","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Alexander Røssing-Lelesiit","38","no NOR","LW,RW","18-314","80","24","1","6","11","7","2","24","3","1","33.3","1","33.3","16","140","93","4","2","2","0","4","14","3","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Rayan Philippe","14","fr FRA","RW","25-038","67","17","0","2","9","6","1","17","2","0","0.0","2","100.0","12","93","21","1","1","1","3","0","12","2","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Fabio Baldé","45","pt POR","LW","20-133","23","9","0","2","2","6","1","9","2","1","50.0","1","50.0","6","44","15","1","0","0","2","1","7","1","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Miro Muheim","28","ch SUI","LM","27-251","90","53","6","22","16","15","1","53","1","1","100.0","0","0.0","20","82","34","1","2","0","0","0","18","2","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Nicolai Remberg","21","de GER","CM","25-164","90","42","4","21","19","2","0","42","0","0","","0","","17","66","15","0","0","0","0","0","20","1","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Albert Sambi Lokonga","6","be BEL","CM","26-039","66","25","3","15","7","3","0","25","0","0","","0","","13","44","28","0","0","0","0","0","11","0","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
"Fabio Vieira","20","pt POR","CM","25-184","24","13","0","3","6","4","1","13","1","0","0.0","1","100.0","8","83","12","0","1","1","0","0","8","0","Hamburger SV","Bundesliga","2025-2026","Sunday November 30, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Stuttgart","https://fbref.com/en/matches/ed319a92/Hamburger-SV-Stuttgart-November-30-2025-Bundesliga","12"
