"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Harry Kane","9","eng ENG","FW","32-025","85","40","0","3","19","18","7","40","4","2","50.0","1","25.0","31","138","62","2","1","2","1","1","34","5","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Jonah Kusi-Asare","41","se SWE","FW","18-049","5","2","1","1","0","1","0","2","0","0","","0","","0","0","0","0","0","0","1","0","0","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Luis Díaz","14","co COL","LW","28-221","90","63","1","6","24","34","6","63","6","4","66.7","2","33.3","47","288","94","3","2","1","3","2","54","11","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Michael Olise","17","fr FRA","RW,AM","23-253","90","72","2","6","29","38","9","72","6","3","50.0","3","50.0","52","369","198","5","2","4","1","2","54","9","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Serge Gnabry","7","de GER","AM","30-039","68","43","1","2","22","20","2","43","4","2","50.0","2","50.0","32","160","82","4","5","2","0","0","37","4","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Lennart Karl","42","de GER","RW","17-181","22","23","0","2","9","12","1","23","1","0","0.0","0","0.0","18","88","52","2","1","1","0","0","20","4","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Leon Goretzka","8","de GER","DM","30-197","67","53","5","9","31","14","1","53","1","1","100.0","0","0.0","29","135","62","1","2","0","1","0","31","4","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Aleksandar Pavlovic","45","de GER","DM","21-111","23","31","0","5","19","7","0","31","0","0","","0","","27","124","83","1","2","0","0","0","29","1","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Joshua Kimmich","6","de GER","DM","30-195","90","108","1","28","66","15","0","108","1","0","0.0","0","0.0","89","453","242","2","0","0","0","1","94","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Josip Stanišić","44","hr CRO","LB","25-142","90","62","4","10","34","18","1","62","0","0","","0","","42","210","133","3","2","0","3","0","46","5","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Jonathan Tah","4","de GER","CB","29-192","67","64","6","22","41","1","0","64","0","0","","0","","45","164","67","0","0","0","2","0","41","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Kim Min-jae","3","kr KOR","CB","28-280","23","23","3","14","9","1","1","23","0","0","","0","","18","113","84","1","1","1","1","0","18","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Dayot Upamecano","2","fr FRA","CB","26-299","90","102","6","47","54","2","1","102","2","1","50.0","1","50.0","79","344","191","2","0","1","1","1","81","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Konrad Laimer","27","at AUT","RB","28-087","68","47","3","8","28","12","3","47","1","0","0.0","1","100.0","27","127","69","3","0","1","1","0","32","7","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Sacha Boey","23","fr FRA","RB","24-343","22","27","0","4","15","8","0","27","2","1","50.0","1","50.0","19","83","39","1","2","0","1","0","20","1","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Manuel Neuer","1","de GER","GK","39-148","90","43","27","42","1","0","0","43","0","0","","0","","30","101","69","0","0","0","0","0","26","0","Bayern Munich","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Loïs Openda","11","be BEL","FW","25-187","45","19","0","2","10","7","2","19","1","0","0.0","1","100.0","6","23","15","0","0","0","3","0","8","3","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Rômulo","40","br BRA","FW","23-195","45","19","0","0","15","4","1","19","1","1","100.0","0","0.0","8","32","5","0","0","0","1","1","13","1","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Yan Diomandé","49","ci CIV","LW","18-281","45","16","2","7","5","4","2","16","2","2","100.0","0","0.0","10","82","48","2","1","0","1","1","11","3","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Antonio Nusa","7","no NOR","LW","20-127","45","20","1","5","6","11","3","20","5","1","20.0","4","80.0","15","159","74","3","1","3","0","0","15","3","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Johan Bakayoko","9","be BEL","RW","22-124","68","32","1","7","13","12","7","32","1","0","0.0","1","100.0","25","120","59","2","1","0","2","1","26","10","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Christoph Baumgartner","14","at AUT","RW","26-021","22","7","0","1","2","4","1","7","1","1","100.0","0","0.0","3","13","6","0","0","0","0","0","4","2","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Xavi Simons","10","nl NED","LM","22-123","90","49","3","18","22","11","1","49","4","2","50.0","2","50.0","31","196","98","3","0","0","3","0","33","3","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Nicolas Seiwald","13","at AUT","CM","24-110","87","41","1","15","23","3","1","41","1","1","100.0","0","0.0","23","85","45","0","0","0","0","0","27","1","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Assan Ouedraogo","20","de GER","CM","19-105","3","1","0","0","0","1","1","1","1","1","100.0","0","0.0","2","7","1","0","0","0","0","0","1","0","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Xaver Schlager","24","at AUT","RM","27-328","68","34","2","8","17","9","1","34","1","1","100.0","0","0.0","20","130","62","3","1","0","1","0","22","1","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Ezechiel Banzuzi","6","nl NED","RM","20-187","22","7","2","3","3","1","0","7","0","0","","0","","3","26","4","0","0","0","0","0","4","0","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"David Raum","22","de GER","LB","27-122","90","61","4","26","19","17","1","61","2","1","50.0","1","50.0","23","158","107","4","1","0","2","0","29","1","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Castello Lukeba","23","fr FRA","CB","22-248","90","72","22","47","22","3","0","72","3","2","66.7","1","33.3","50","305","160","2","0","0","0","0","51","0","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Willi Orban","4","hu HUN","CB","32-292","90","37","8","24","13","0","0","37","0","0","","0","","21","137","72","0","0","0","0","0","23","0","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Ridle Baku","17","de GER","RB","27-136","90","57","4","32","19","7","3","57","0","0","","0","","29","162","107","3","1","0","2","0","28","3","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Péter Gulácsi","1","hu HUN","GK","35-108","90","48","43","48","0","0","0","48","0","0","","0","","34","128","66","0","0","0","0","0","34","0","RB Leipzig","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1"
"Patrik Schick","14","cz CZE","FW","29-211","90","18","1","4","8","7","0","18","1","1","100.0","0","0.0","11","42","1","0","0","0","3","0","13","2","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Nathan Tella","23","ng NGA","AM","26-049","83","32","0","1","15","16","2","32","2","1","50.0","1","50.0","21","73","42","1","2","1","1","0","24","7","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Christian Kofane","35","cm CMR","AM","19-028","7","5","0","0","2","3","1","5","0","0","","0","","5","23","5","0","0","0","0","1","5","3","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Ibrahim Maza","30","dz ALG","AM,CM","19-272","83","36","0","4","20","12","3","36","4","1","25.0","1","25.0","23","118","78","2","2","1","7","1","26","4","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Claudio Echeverri","9","ar ARG","AM","19-233","7","10","0","0","8","2","0","10","3","1","33.3","2","66.7","7","41","5","0","0","0","0","0","7","0","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Robert Andrich","8","de GER","CM","30-335","90","55","3","13","34","8","0","55","0","0","","0","","30","63","2","0","0","0","0","0","35","1","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Aleix García","24","es ESP","CM,WB","28-056","90","94","3","18","50","26","0","94","1","1","100.0","0","0.0","56","182","38","1","1","0","0","0","66","4","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Álex Grimaldo","20","es ESP","WB","29-337","90","83","0","6","45","32","2","83","5","1","20.0","3","60.0","55","210","87","3","2","0","1","1","60","11","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Arthur","13","br BRA","WB","22-159","45","16","1","6","3","7","0","16","0","0","","0","","8","45","29","1","1","0","0","1","7","3","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Ernest Poku","19","nl NED","AM,WB","21-207","45","25","0","1","9","15","0","25","2","0","0.0","2","100.0","22","120","56","1","1","0","1","1","23","5","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
"Piero Hincapié","3","ec ECU","CB","23-226","90","100","0","18","74","9","2","100","0","0","","0","","77","349","209","2","1","0","0","0","78","1","Bayer Leverkusen","Bundesliga","2025-2026","Saturday August 23, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Hoffenheim","https://fbref.com/en/matches/78cc44a5/Bayer-Leverkusen-Hoffenheim-August-23-2025-Bundesliga","1"
