"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Marius Wolf","Augsburg","0.03","0.10","Saved","19","Left Foot","","Jeffrey Gouweleeuw","Pass (Live)","Finn Dahmen","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"6","Andreas Hountondji","St. Pauli","0.03","0.02","Saved","28","Left Foot","","","","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"16","Fabian Rieder","Augsburg","0.44","0.68","Goal","6","Head","","Han-Noah Massengo","Pass (Live)","Han-Noah Massengo","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"28","Mert Kömür","Augsburg","0.04","0.00","Off Target","23","Right Foot","","Elvis Rexhbeçaj","Pass (Dead)","Elias Saad","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"36","Joel Fujita","St. Pauli","0.02","0.00","Blocked","22","Left Foot","","James Sands","Pass (Live)","Andreas Hountondji","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"42","Andreas Hountondji","St. Pauli","0.08","0.00","Off Target","12","Right Foot","","Mathias Pereira Lage","Pass (Dead)","Louis Oppie","Fouled","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"45","Andreas Hountondji (pen)","St. Pauli","0.79","0.77","Saved","13","Right Foot","","","Fouled","Andreas Hountondji","Shot","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"45","Andreas Hountondji","St. Pauli","0.76","0.74","Goal","5","Right Foot","","Andreas Hountondji","Shot","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"45+2","Mathias Pereira Lage","St. Pauli","0.05","0.00","Blocked","18","Left Foot","","","","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"","","","","","","","","","","","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"47","Mathias Pereira Lage","St. Pauli","0.09","0.27","Saved","11","Left Foot","","Joel Fujita","Pass (Live)","Mathias Pereira Lage","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"47","Manolis Saliakas","St. Pauli","0.04","0.00","Off Target","18","Right Foot","Volley","Mathias Pereira Lage","Shot","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"48","Elias Saad","Augsburg","0.03","0.00","Off Target","31","Right Foot","","Elias Saad","Take-On","Mert Kömür","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"56","Cedric Zesiger","Augsburg","0.04","0.00","Off Target","10","Head","","Fabian Rieder","Pass (Dead)","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"62","Robin Fellhauer","Augsburg","0.04","0.15","Saved","17","Right Foot","Deflected","Robin Fellhauer","Pass (Live)","Fabian Rieder","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"63","Robin Fellhauer","Augsburg","0.02","0.00","Off Target","15","Head","","Chrislain Matsima","Pass (Live)","Mert Kömür","Pass (Dead)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"65","Martijn Kaars","St. Pauli","0.04","0.00","Off Target","16","Right Foot","","Danel Sinani","Pass (Live)","Manolis Saliakas","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"68","Elias Saad","Augsburg","0.06","0.12","Saved","22","Right Foot","","Elias Saad","Take-On","Han-Noah Massengo","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"71","Mathias Pereira Lage","St. Pauli","0.50","0.30","Saved","10","Left Foot","","Danel Sinani","Pass (Live)","Mathias Pereira Lage","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"72","Phillip Tietz","Augsburg","0.04","0.06","Saved","17","Left Foot","","Finn Dahmen","Pass (Live)","Jeffrey Gouweleeuw","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"74","Fabian Rieder","Augsburg","0.04","0.00","Blocked","23","Left Foot","","Phillip Tietz","Pass (Live)","Robin Fellhauer","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"77","Danel Sinani","St. Pauli","0.04","0.14","Goal","23","Left Foot","Free kick, Deflected","Manolis Saliakas","Fouled","Eric Smith","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"82","Danel Sinani","St. Pauli","0.05","0.00","Blocked","21","Left Foot","","Joel Fujita","Pass (Live)","Hauke Wahl","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"90+4","Connor Metcalfe","St. Pauli","0.01","0.13","Saved","49","Right Foot","","","","","","Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Augsburg","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","3"
"5","Kevin Diks","Gladbach","0.11","0.00","Blocked","16","Left Foot","","Kevin Diks","Take-On","Philipp Sander","Pass (Live)","Bundesliga","2025-2026","Sunday September 14, 2025, 17:30 (venue time) 16:30 (local time)","Mönchengladbach","Werder Bremen","https://fbref.com/en/matches/3b5873a4/Monchengladbach-Werder-Bremen-September-14-2025-Bundesliga","3"
"7","Gio Reyna","Gladbach","0.04","0.00","Blocked","21","Right Foot","","Robin Hack","Pass (Live)","","","Bundesliga","2025-2026","Sunday September 14, 2025, 17:30 (venue time) 16:30 (local time)","Mönchengladbach","Werder Bremen","https://fbref.com/en/matches/3b5873a4/Monchengladbach-Werder-Bremen-September-14-2025-Bundesliga","3"
