"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"1","Andrea Cambiaso","Juventus","0.02","0.00","Off Target","30","Left Foot","","Manuel Locatelli","Pass (Live)","Kenan Yıldız","Pass (Dead)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"14","Weston McKennie","Juventus","0.08","0.23","Saved","4","Left Foot","","Lloyd Kelly","Pass (Live)","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"18","Khéphren Thuram","Juventus","0.06","0.00","Blocked","21","Right Foot","","Andrea Cambiaso","Pass (Live)","Teun Koopmeiners","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"18","Kenan Yıldız","Juventus","0.05","0.00","Off Target","16","Right Foot","","Khéphren Thuram","Shot","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"19","İsak Vural","Pisa","0.05","0.00","Off Target","25","Left Foot","","Stefano Moreo","Pass (Live)","Mehdi Léris","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"21","Loïs Openda","Juventus","0.11","0.06","Saved","16","Right Foot","","Weston McKennie","Pass (Live)","Loïs Openda","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"22","Teun Koopmeiners","Juventus","0.07","0.00","Blocked","14","Right Foot","","","","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"33","Idrissa Touré","Pisa","0.01","0.00","Off Target","13","Head","","Arturo Calabresi","Pass (Dead)","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"45","Stefano Moreo","Pisa","0.05","0.00","Woodwork","12","Head","","Michel Aebischer","Pass (Live)","Mattéo Tramoni","Pass (Dead)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"45+1","Stefano Moreo","Pisa","0.10","0.00","Blocked","16","Left Foot","","Mattéo Tramoni","Pass (Live)","Mehdi Léris","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"","","","","","","","","","","","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"49","Samuele Angori","Pisa","0.09","0.00","Blocked","23","Left Foot","Free kick","Mattéo Tramoni","Pass (Dead)","İsak Vural","Fouled","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"55","Khéphren Thuram","Juventus","0.03","0.00","Off Target","23","Right Foot","","Loïs Openda","Pass (Live)","Manuel Locatelli","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"58","Manuel Locatelli","Juventus","0.03","0.01","Saved","28","Left Foot","","Loïs Openda","Pass (Live)","Manuel Locatelli","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"60","Mattéo Tramoni","Pisa","0.10","0.00","Woodwork","12","Head","","Mehdi Léris","Pass (Live)","Idrissa Touré","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"63","Kenan Yıldız","Juventus","0.06","0.00","Blocked","15","Right Foot","","Andrea Cambiaso","Pass (Live)","Andrea Cambiaso","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"65","Lloyd Kelly","Juventus","0.04","0.00","Woodwork","16","Left Foot","","Khéphren Thuram","Pass (Live)","Lloyd Kelly","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"68","Edon Zhegrova","Juventus","0.03","0.00","Blocked","22","Left Foot","","Kenan Yıldız","Pass (Live)","Andrea Cambiaso","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"73","Pierre Kalulu","Juventus","0.32","0.71","Goal","4","Right Foot","Deflected","","","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"77","Edon Zhegrova","Juventus","0.05","0.02","Saved","24","Left Foot","Free kick","Kenan Yıldız","Fouled","Edon Zhegrova","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"81","Marius Marin","Pisa","0.04","0.00","Off Target","15","Left Foot","","","","","","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"82","Edon Zhegrova","Juventus","0.02","0.13","Saved","28","Left Foot","","Khéphren Thuram","Pass (Live)","Andrea Cambiaso","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"85","Stefano Moreo","Pisa","0.12","0.00","Off Target","9","Head","","Mattéo Tramoni","Pass (Live)","Giovanni Bonfanti","Pass (Live)","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"90+2","Kenan Yıldız","Juventus","0.78","0.99","Goal","5","Right Foot","","Fabio Miretti","Pass (Live)","Fabio Miretti","Take-On","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
