"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"10","Harrison Armstrong","Preston","0.12","0.00","Off Target","10","Head","","Pol Valentín","Pass (Live)","Ben Whiteman","Pass (Live)","Preston","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"11","Greg Leigh","Oxford United","0.02","0.00","Blocked","13","Right Foot","Volley","Hidde ter Avest","Pass (Live)","Ole Romeny","Pass (Live)","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"12","Greg Leigh","Oxford United","0.06","0.03","Saved","11","Head","","Brian De Keersmaecker","Pass (Dead)","Greg Leigh","Shot","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"14","Ole Romeny","Oxford United","0.04","0.00","Off Target","29","Right Foot","","Will Vaulks","Pass (Live)","Brian De Keersmaecker","Pass (Dead)","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"18","Ben Davies","Oxford United","0.02","0.00","Off Target","13","Head","","Will Vaulks","Pass (Live)","Brian De Keersmaecker","Pass (Live)","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"19","Brian De Keersmaecker","Oxford United","0.02","0.00","Blocked","30","Right Foot","","Hidde ter Avest","Pass (Live)","Brian De Keersmaecker","Pass (Live)","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"21","Alfie Devine","Preston","0.03","0.00","Off Target","25","Right Foot","","Harrison Armstrong","Pass (Live)","Alfie Devine","Pass (Live)","Preston","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"26","Jordan Storey","Preston","0.14","0.49","Goal","3","Head","Deflected","Thierry Small","Pass (Live)","Alfie Devine","Pass (Live)","Preston","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"30","Daniel Jebbison","Preston","0.09","0.00","Off Target","13","Left Foot","","Thierry Small","Pass (Live)","Alfie Devine","Pass (Live)","Preston","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"31","Will Vaulks","Oxford United","0.02","0.04","Saved","33","Right Foot","","Greg Leigh","Pass (Live)","Brian De Keersmaecker","Pass (Live)","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"34","Alfie Devine","Preston","0.08","0.00","Blocked","13","Right Foot","","Ben Whiteman","Pass (Dead)","Harrison Armstrong","Pass (Live)","Preston","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"38","Ole Romeny","Oxford United","0.04","0.00","Blocked","21","Right Foot","Volley","Ben Davies","Tackle","","","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
"38","Michał Helik","Oxford United","0.06","0.00","Blocked","17","Right Foot","","Ole Romeny","Shot","","","Oxford United","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21"
