"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Mohamed Amoura","9","dz ALG","FW,LW,LM","25-177","90","32","0","1","6","25","6","32","2","1","50.0","1","50.0","26","125","57","6","1","3","5","2","28","6","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Mattias Svanberg","32","se SWE","LW","26-301","59","27","0","6","13","8","2","27","0","0","","0","","12","47","11","1","1","0","5","1","15","2","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Lovro Majer","10","hr CRO","AM,RW,CM","27-289","31","35","0","3","15","18","0","35","0","0","","0","","28","140","77","2","1","0","3","0","30","5","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Adam Daghim","11","dk DEN","RW,LW,RM","20-035","90","36","1","7","11","18","3","36","3","0","0.0","3","100.0","24","247","167","7","5","2","1","3","25","8","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Christian Eriksen","24","dk DEN","AM","33-261","74","32","1","3","18","14","1","32","1","1","100.0","0","0.0","18","60","20","1","3","0","3","0","21","4","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Jonas Wind","23","dk DEN","FW","26-268","16","7","0","0","1","6","1","7","0","0","","0","","8","33","10","0","0","0","0","0","8","0","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Vinicius Souza","5","br BRA","DM,LB","26-138","90","57","8","20","30","7","0","57","0","0","","0","","33","151","72","1","0","0","1","1","31","1","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Maximilian Arnold","27","de GER","DM,CM","31-159","90","53","4","12","33","8","1","53","0","0","","0","","28","103","47","0","0","0","1","0","35","0","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Aaron Zehnter","25","de GER","LB","21-002","89","65","3","22","28","15","1","65","1","1","100.0","0","0.0","38","177","127","4","2","1","1","0","35","5","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Dženan Pejčinović","17","de GER","FW","20-260","1","1","0","0","0","1","1","1","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Konstantinos Koulierakis","4","gr GRE","CB","21-339","90","71","15","34","32","5","1","71","1","0","0.0","1","100.0","46","198","83","1","0","0","0","0","41","0","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
"Jenson Seelt","14","nl NED","CB","22-163","90","70","14","34","35","1","1","70","2","2","100.0","0","0.0","47","174","56","0","0","0","0","1","46","0","Wolfsburg","Bundesliga","2025-2026","Sunday November 2, 2025, 17:30 (venue time) 16:30 (local time)","Wolfsburg","Hoffenheim","https://fbref.com/en/matches/69d3f972/Wolfsburg-Hoffenheim-November-2-2025-Bundesliga","9"
