"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Budu Zivzivadze","11","ge GEO","FW","31-236","69","30","2","9","10","11","1","30","2","1","50.0","1","50.0","10","39","22","1","1","0","3","0","19","2","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Niklas Dorsch","30","de GER","CM,FW","27-290","21","7","1","2","4","1","0","7","0","0","","0","","2","12","0","0","0","0","0","0","2","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Stefan Schimmer","9","de GER","FW","31-187","69","21","3","5","11","5","0","21","1","0","0.0","1","100.0","8","40","12","1","0","0","1","0","9","1","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Marvin Pieringer","18","de GER","FW","26-028","21","14","0","1","7","7","1","14","1","0","0.0","1","100.0","4","54","15","0","0","0","2","3","8","3","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Mathias Honsak","17","at AUT","LM","28-316","62","25","2","14","7","5","2","25","1","0","0.0","0","0.0","7","36","19","1","1","0","2","0","10","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Omar Traoré","23","de GER","RM,RB","27-270","28","9","0","3","2","4","0","9","1","1","100.0","0","0.0","6","44","42","0","1","0","0","0","5","1","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Jan Schöppner","3","de GER","CM","26-142","90","32","6","14","7","12","1","32","0","0","","0","","7","45","13","1","1","0","0","0","11","5","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Julian Niehues","16","de GER","CM","24-198","69","32","2","9","13","10","0","32","1","0","0.0","1","100.0","13","50","20","0","0","0","0","2","16","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Adrian Beck","21","de GER","FW,RM,CM","28-145","21","11","0","0","7","4","0","11","0","0","","0","","9","41","4","0","0","0","1","0","7","4","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Arijon Ibrahimović","22","de GER","RM,LM","19-325","90","58","0","16","20","25","6","58","4","1","25.0","3","75.0","28","204","131","6","2","3","3","1","31","11","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Jonas Föhrenbach","19","de GER","LB","29-279","90","41","5","21","14","6","0","41","0","0","","0","","14","31","12","0","0","0","0","0","18","1","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Tim Siersleben","4","de GER","CB","25-237","90","38","13","25","13","1","0","38","0","0","","0","","10","74","54","2","0","0","1","1","11","1","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Patrick Mainka","6","de GER","CB","30-360","90","45","11","27","17","2","1","45","0","0","","0","","7","73","49","0","0","0","1","0","13","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Marnon Busch","2","de GER","RB","30-328","89","36","7","15","13","8","0","36","3","0","0.0","3","100.0","15","55","28","0","0","0","0","0","17","2","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Adam Kölle","28","de GER","CB","19-187","1","2","1","1","1","0","0","2","0","0","","0","","1","3","1","0","0","0","0","0","1","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Diant Ramaj","41","de GER","GK","24-043","90","49","33","46","3","0","0","49","0","0","","0","","22","165","111","0","0","0","0","0","18","0","Heidenheim","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Ansgar Knauff","7","de GER","FW,WB","23-295","75","46","0","7","12","28","2","46","1","1","100.0","0","0.0","30","167","71","4","1","0","4","0","36","12","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Jean Mattéo Bahoya","19","fr FRA","WB","20-178","15","18","0","2","6","10","1","18","0","0","","0","","6","41","28","0","0","0","1","0","11","2","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Elye Wahi","17","fr FRA","FW","22-303","75","25","0","0","13","12","3","25","2","0","0.0","2","100.0","13","51","25","1","1","0","1","2","22","9","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Michy Batshuayi","30","be BEL","FW","32-030","15","6","0","0","2","4","2","6","1","0","0.0","1","100.0","5","13","0","0","0","1","2","0","5","3","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Can Uzun","42","tr TUR","AM","19-355","25","21","1","2","13","6","0","21","0","0","","0","","10","42","13","0","2","0","0","0","15","1","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
"Mario Götze","27","de GER","AM","33-151","65","53","1","8","20","25","3","53","2","2","100.0","0","0.0","30","72","42","0","1","0","2","0","35","7","Eintracht Frankfurt","Bundesliga","2025-2026","Saturday November 1, 2025, 15:30 (venue time) 14:30 (local time)","Heidenheim","Eintracht Frankfurt","https://fbref.com/en/matches/334ac0b2/Heidenheim-Eintracht-Frankfurt-November-1-2025-Bundesliga","9"
