"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Coba da Costa","Getafe","0.17","0.00","Off Target","7","Head","","Iglesias","Pass (Live)","Mauro Arambarri","Pass (Live)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"12","Luis Milla","Getafe","0.03","0.04","Saved","24","Right Foot","","","","","","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"21","Joel Roca","Girona","0.09","0.32","Saved","24","Right Foot","","Vladyslav Vanat","Pass (Live)","Azzedine Ounahi","Pass (Live)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"22","Azzedine Ounahi","Girona","0.04","0.00","Blocked","23","Right Foot","","Joel Roca","Pass (Live)","Viktor Tsyhankov","Pass (Dead)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"29","Viktor Tsyhankov","Girona","0.07","0.02","Saved","29","Left Foot","Free kick","Azzedine Ounahi","Fouled","Arnau Martinez","Pass (Live)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"37","Axel Witsel","Girona","0.11","0.00","Off Target","15","Right Foot","Volley","Viktor Tsyhankov","Pass (Dead)","Axel Witsel","Fouled","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"43","Mauro Arambarri","Getafe","0.03","0.00","Off Target","22","Right Foot","Volley","Luis Milla","Interception","Kiko Femenía","Pass (Live)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"","","","","","","","","","","","","","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"47","Mauro Arambarri","Getafe","0.03","0.55","Saved","19","Left Foot","Deflected, Volley","Iglesias","Pass (Dead)","Abdel Abqar","Fouled","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"50","Diego Rico","Getafe","0.06","0.00","Off Target","18","Right Foot","Volley","Luis Milla","Pass (Live)","Álex Sancris","Pass (Live)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"50","Álex Sancris","Getafe","0.02","0.00","Blocked","33","Right Foot","","Diego Rico","Shot","","","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"51","Abdel Abqar","Getafe","0.03","0.00","Off Target","15","Right Foot","Volley","Adrián Liso","Pass (Live)","Luis Milla","Pass (Dead)","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
"56","Abdel Abqar","Getafe","0.06","0.00","Off Target","9","Head","","Diego Rico","Pass (Dead)","Mario Martín","Fouled","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11"
