"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"6","Javier Muñoz","Getafe","0.03","0.02","Saved","28","Left Foot","","","","","","Getafe","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"7","Luiz Felipe","Rayo Vallecano","0.31","0.00","Off Target","7","Left Foot","Volley","Isaac Palazón Camacho","Pass (Dead)","","","Rayo Vallecano","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"15","Iglesias","Getafe","0.03","0.00","Blocked","30","Right Foot","","Luis Milla","Pass (Live)","Javier Muñoz","Pass (Live)","Getafe","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"16","Mauro Arambarri","Getafe","0.12","0.00","Off Target","8","Right Foot","Volley","Kiko Femenía","Pass (Live)","Javier Muñoz","Pass (Live)","Getafe","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"18","Sergio Camello","Rayo Vallecano","0.07","0.00","Off Target","23","Right Foot","","Andrei Ratiu","Pass (Live)","Unai López","Pass (Live)","Rayo Vallecano","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"21","Jorge de Frutos","Rayo Vallecano","0.10","0.00","Blocked","8","Head","","Álvaro García","Pass (Live)","Sergio Camello","Pass (Live)","Rayo Vallecano","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"22","Florian Lejeune","Rayo Vallecano","0.04","0.01","Saved","31","Right Foot","Free kick","Pep Chavarría","Fouled","Pep Chavarría","Pass (Live)","Rayo Vallecano","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"24","Iglesias","Getafe","0.06","0.00","Off Target","13","Head","","Diego Rico","Pass (Live)","Luis Milla","Pass (Live)","Getafe","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"25","Álvaro García","Rayo Vallecano","0.17","0.00","Blocked","8","Left Foot","","Jorge de Frutos","Pass (Live)","Isaac Palazón Camacho","Pass (Live)","Rayo Vallecano","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
"31","Adrián Liso","Getafe","0.04","0.20","Saved","16","Left Foot","","Javier Muñoz","Pass (Live)","Mario Martín","Pass (Live)","Getafe","La-Liga","2025-2026","Friday January 2, 2026, 21:00 (venue time) 20:00 (local time)","Rayo Vallecano","Getafe","https://fbref.com/en/matches/e679147a/Rayo-Vallecano-Getafe-January-2-2026-La-Liga","18"
