"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Haji Wright","11","us USA","FW","27-277","78","0","0","0","0","1","1","0","0","14","0","1","1","0.0","0.0","0.0","0","0","6","8","75.0","0","7","1","1","0","/en/players/91cd37b7/Haji-Wright","Coventry City","0","1","5","8","0","14","0.0","1","100.0","27","11","0","0","3","0","9","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Ellis Simms","9","eng ENG","FW","24-358","12","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","/en/players/26d3b5be/Ellis-Simms","Coventry City","0","0","2","1","1","3","","0","","3","0","0","0","1","0","2","1","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Ephron Mason-Clark","10","eng ENG","LW","26-126","90","0","0","0","0","2","1","0","0","16","1","0","2","0.1","0.1","0.1","2","0","3","8","37.5","2","11","1","2","1","/en/players/0d5a541f/Ephron-Mason-Clark","Coventry City","0","1","7","9","3","16","50.0","1","50.0","74","31","1","1","2","0","12","4","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Tatsuhiro Sakamoto","7","jp JPN","RW","29-068","90","0","0","0","0","1","1","0","0","20","2","0","0","0.1","0.1","0.0","0","0","4","10","40.0","1","8","2","1","0","/en/players/5e67ea3a/Tatsuhiro-Sakamoto","Coventry City","3","4","10","6","1","20","0.0","1","100.0","67","33","2","0","1","0","10","3","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Jack Rudoni","5","eng ENG","AM","25-217","75","0","0","0","0","1","0","0","0","29","1","1","1","0.1","0.1","0.1","1","0","14","19","73.7","2","20","1","2","2","/en/players/4d395e2b/Jack-Rudoni","Coventry City","2","4","15","10","2","29","100.0","0","0.0","160","54","1","0","3","2","22","3","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Josh Eccles","28","eng ENG","AM","25-267","15","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","/en/players/9722d36c/Josh-Eccles","Coventry City","0","0","2","0","0","2","","0","","0","0","0","0","0","0","1","1","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Matt Grimes","6","eng ENG","DM","30-167","90","0","0","0","0","1","0","0","0","61","3","1","2","0.0","0.0","0.1","3","0","34","50","68.0","3","21","2","0","0","/en/players/81a487b9/Matt-Grimes","Coventry City","6","20","30","12","0","61","","0","","117","52","1","0","1","0","23","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Victor Torp","29","dk DEN","DM","26-152","74","0","0","0","0","1","0","0","0","27","1","2","0","0.1","0.1","0.0","0","0","12","19","63.2","0","5","0","0","0","/en/players/e8cc2cbb/Victor-Torp","Coventry City","1","6","14","7","1","27","","0","","22","6","0","0","0","0","6","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Jamie Allen","8","eng ENG","DM","30-334","16","0","0","0","0","0","0","0","0","6","1","0","0","0.0","0.0","0.0","0","0","3","4","75.0","0","3","0","1","0","/en/players/2c183a79/Jamie-Allen","Coventry City","0","2","3","1","0","6","0.0","1","100.0","29","22","0","0","0","0","3","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Brau","33","es ESP","LB","24-002","90","0","0","0","0","2","0","0","0","44","2","0","1","0.2","0.2","0.0","1","0","20","35","57.1","1","17","0","1","0","/en/players/3e707ad4/Brau","Coventry City","2","11","25","8","2","44","0.0","1","100.0","80","26","1","0","1","2","19","2","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Liam Kitching","15","eng ENG","CB","26-089","90","0","0","0","0","1","0","1","0","42","0","0","1","0.0","0.0","0.0","2","0","24","34","70.6","4","22","0","0","0","/en/players/23aa33e2/Liam-Kitching","Coventry City","8","21","16","5","4","42","","0","","132","71","0","0","0","0","31","1","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Luke Woolfenden","26","eng ENG","CB","27-069","90","0","0","0","0","0","0","0","0","36","4","1","2","0.0","0.0","0.1","3","0","20","25","80.0","1","15","0","0","0","/en/players/e28e9bec/Luke-Woolfenden","Coventry City","6","17","17","3","2","36","","0","","127","59","0","0","1","0","14","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Milan van Ewijk","27","nl NED","RB","25-112","90","0","0","0","0","0","0","0","0","48","3","1","1","0.0","0.0","0.1","3","0","25","38","65.8","3","18","3","0","0","/en/players/58448fbb/Milan-van-Ewijk","Coventry City","3","17","19","12","0","48","","0","","123","81","1","0","2","0","18","2","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Carl Rushworth","19","eng ENG","GK","24-180","90","0","0","0","0","0","0","0","0","48","0","0","0","0.0","0.0","0.0","0","0","25","46","54.3","0","29","0","0","0","/en/players/810912d5/Carl-Rushworth","Coventry City","34","48","0","0","0","48","","0","","168","81","0","0","0","0","21","0","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Ivan Azón","31","es ESP","FW","23-005","77","0","0","0","0","3","3","0","0","29","0","0","2","0.2","0.2","0.0","1","0","11","16","68.8","1","14","1","2","0","/en/players/9b2779f5/Ivan-Azon","Ipswich Town","0","1","19","10","6","29","0.0","2","100.0","68","22","0","1","2","2","21","6","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Chuba Akpom","29","eng ENG","FW","30-081","13","0","0","0","0","0","0","0","0","6","0","0","0","0.0","0.0","0.0","1","0","3","5","60.0","1","3","2","0","0","/en/players/e2b384d2/Chuba-Akpom","Ipswich Town","1","1","3","2","0","6","","0","","50","44","1","0","1","0","5","1","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Jack Clarke","47","eng ENG","LW","25-036","86","1","0","0","0","3","1","0","0","40","0","0","0","0.2","0.2","0.3","6","1","23","32","71.9","4","23","5","4","2","/en/players/e16932d8/Jack-Clarke","Ipswich Town","0","2","19","21","8","40","50.0","2","50.0","217","173","2","4","2","0","32","6","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
"Jaden Philogene Bidace","11","eng ENG","LW","23-324","4","0","0","0","0","0","0","0","0","3","0","1","0","0.0","0.0","0.0","1","0","1","3","33.3","0","1","0","0","0","/en/players/19f4d211/Jaden-Philogene-Bidace","Ipswich Town","0","2","1","1","1","3","","0","","2","2","0","0","0","0","2","1","Championship","2025-2026","Monday December 29, 2025, 18:00 (venue time)","Coventry City","Ipswich Town","https://fbref.com/en/matches/a079fba0/Coventry-City-Ipswich-Town-December-29-2025-Championship","24","Coventry Building Society Arena"
