"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Luis Rioja","Valencia","0.02","0.00","Blocked","25","Left Foot","","Lucas Beltrán","Pass (Live)","Hugo Duro","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"7","José Luis Gayà","Valencia","0.05","0.00","Off Target","14","Left Foot","","Luis Rioja","Pass (Live)","Filip Ugrinic","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"9","Vedat Muriqi","Mallorca","0.07","0.00","Blocked","11","Left Foot","","Antonio Sánchez","Pass (Dead)","Mateo Joseph","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"14","Jan Virgili","Mallorca","0.03","0.07","Saved","22","Right Foot","","Samu Costa","Pass (Live)","Manu Morlanes","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"23","Samu Costa","Mallorca","0.07","0.14","Goal","18","Left Foot","","Antonio Raillo","Pass (Live)","Antonio Sánchez","Pass (Dead)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"25","Luis Rioja","Valencia","0.03","0.00","Blocked","27","Left Foot","Deflected","Domingos André Ribeiro Almeida","Pass (Live)","Lucas Beltrán","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"37","Filip Ugrinic","Valencia","0.01","0.00","Blocked","31","Left Foot","","Hugo Duro","Pass (Live)","Domingos André Ribeiro Almeida","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"38","Lucas Beltrán","Valencia","0.07","0.00","Blocked","22","Right Foot","","José Luis García Vayá","Pass (Live)","Domingos André Ribeiro Almeida","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"39","Lucas Beltrán","Valencia","0.04","0.00","Blocked","17","Right Foot","Volley","Luis Rioja","Pass (Live)","Thierry Correia","Pass (Live)","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
"43","Domingos André Ribeiro Almeida","Valencia","0.06","0.00","Blocked","28","Right Foot","Free kick","Lucas Beltrán","Fouled","","","La-Liga","2025-2026","Friday December 19, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Mallorca","https://fbref.com/en/matches/0c24b268/Valencia-Mallorca-December-19-2025-La-Liga","17"
