"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Mathias Pereira Lage","28","pt POR","FW","28-301","80","38","0","2","13","23","2","38","1","0","0.0","1","100.0","20","98","50","3","1","0","5","2","23","8","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Oladapo Afolayan","17","eng ENG","FW","27-227","10","5","1","2","1","2","0","5","0","0","","0","","4","81","45","1","0","0","0","1","5","1","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Andreas Hountondji","27","bj BEN","FW","23-078","67","16","0","1","6","9","2","16","2","0","0.0","2","100.0","9","31","14","1","0","0","3","0","10","4","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Martijn Kaars","19","nl NED","FW","26-206","23","4","0","0","0","4","1","4","0","0","","0","","3","34","10","1","0","0","0","1","5","3","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Danel Sinani","10","lu LUX","AM","28-175","90","61","0","4","23","34","1","61","0","0","","0","","25","144","80","3","1","1","0","0","36","6","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Joel Fujita","16","jp JPN","CM","23-223","79","50","1","12","25","14","1","50","3","2","66.7","1","33.3","23","87","42","1","2","0","0","2","38","2","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Connor Metcalfe","24","au AUS","CM","25-326","11","6","0","0","2","5","1","6","1","1","100.0","0","0.0","4","15","13","0","1","0","0","0","5","2","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"James Sands","6","us USA","CM","25-083","90","54","1","9","35","11","1","54","0","0","","0","","14","78","22","0","0","0","0","1","35","3","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Louis Oppie","23","de GER","WB","23-133","90","46","1","10","25","11","2","46","1","0","0.0","1","100.0","13","108","51","0","0","0","1","1","20","5","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Manolis Saliakas","2","gr GRE","WB","29-015","86","67","1","11","25","31","3","67","0","0","","0","","24","75","41","0","0","0","2","0","42","5","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Abdoulie Ceesay","9","gm GAM","WB","21-265","4","4","0","0","0","4","1","4","0","0","","0","","3","40","3","0","0","0","1","1","5","1","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Lars Ritzka","21","de GER","CB","27-143","67","46","5","22","24","0","0","46","0","0","","0","","24","149","79","1","0","0","0","0","35","0","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Adam Dźwigała","25","pl POL","CB","30-002","23","21","1","8","8","5","0","21","1","1","100.0","0","0.0","6","48","36","1","1","0","0","0","10","0","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Eric Smith","8","se SWE","CB","28-262","90","68","7","33","29","6","1","68","2","2","100.0","0","0.0","32","171","82","0","0","0","1","0","50","0","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Hauke Wahl","5","de GER","CB","31-165","90","68","4","27","32","9","3","68","0","0","","0","","30","125","76","1","0","1","0","0","49","0","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Nikola Vasilj","22","ba BIH","GK","29-299","90","44","28","43","1","0","0","44","0","0","","0","","29","153","83","0","0","0","0","0","30","0","St. Pauli","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Patrik Schick","14","cz CZE","FW","29-246","88","25","2","3","15","7","0","25","1","0","0.0","1","100.0","10","41","30","1","1","0","4","0","19","3","Bayer Leverkusen","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Christian Kofane","35","cm CMR","FW","19-063","2","1","0","0","0","1","0","1","0","0","","0","","1","11","10","1","0","0","0","0","1","0","Bayer Leverkusen","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Eliesse Ben Seghir","17","ma MAR","AM","20-223","55","25","0","2","11","12","1","25","3","2","66.7","1","33.3","18","104","44","0","1","0","2","1","23","6","Bayer Leverkusen","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Ernest Poku","19","nl NED","AM","21-242","35","8","0","2","4","2","1","8","0","0","","0","","6","21","17","1","0","0","0","0","6","1","Bayer Leverkusen","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
"Malik Tillman","10","us USA","AM","23-122","74","40","6","13","19","8","2","40","2","0","0.0","2","100.0","16","64","31","2","1","1","4","1","18","2","Bayer Leverkusen","Bundesliga","2025-2026","Saturday September 27, 2025, 15:30 (venue time) 14:30 (local time)","St. Pauli","Bayer Leverkusen","https://fbref.com/en/matches/a35c04e4/St-Pauli-Bayer-Leverkusen-September-27-2025-Bundesliga","5"
