"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Jonas Wind","23","dk DEN","FW,AM","26-253","90","39","1","1","25","13","2","39","1","0","0.0","1","100.0","15","12","4","0","0","0","2","0","30","5","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Joakim Mæhle","21","dk DEN","LW","28-151","67","28","2","10","14","5","1","28","2","0","0.0","2","100.0","14","68","34","0","0","0","1","1","14","2","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Andreas Skov Olsen","7","dk DEN","FW,RW,LW","25-293","23","12","0","1","4","7","2","12","0","0","","0","","6","36","21","0","2","0","0","0","11","2","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Adam Daghim","11","dk DEN","RW,LW","20-020","90","41","1","6","11","24","7","41","4","0","0.0","4","100.0","18","100","60","2","1","2","3","0","24","7","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Christian Eriksen","24","dk DEN","AM,DM","33-246","77","37","0","8","18","11","2","37","1","1","100.0","0","0.0","14","71","23","1","0","0","0","3","18","4","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Mohamed Amoura","9","dz ALG","LW","25-162","13","7","0","2","2","4","2","7","0","0","","0","","2","48","43","1","1","0","0","0","5","0","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Mattias Svanberg","32","se SWE","DM","26-286","68","31","1","12","13","6","2","31","0","0","","0","","7","36","15","1","0","1","0","0","16","1","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Lovro Majer","10","hr CRO","DM,AM","27-274","22","21","1","4","10","8","0","21","2","1","50.0","1","50.0","12","80","64","1","1","0","1","0","12","1","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Vinicius Souza","5","br BRA","DM","26-123","90","56","6","25","29","2","0","56","0","0","","0","","18","109","46","0","1","0","0","0","25","0","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
"Aaron Zehnter","25","de GER","LB","20-352","90","56","3","27","19","10","0","56","0","0","","0","","17","100","51","1","0","0","1","0","33","1","Wolfsburg","Bundesliga","2025-2026","Saturday October 18, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Stuttgart","https://fbref.com/en/matches/b835211e/Wolfsburg-Stuttgart-October-18-2025-Bundesliga","7"
