"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"8","Mateo Pellegrino","Parma","0.14","0.06","Saved","21","Left Foot","","Mateo Pellegrino","Tackle","","","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"8","Patrick Cutrone","Parma","0.28","0.16","Saved","16","Right Foot","","Mateo Pellegrino","Shot","","","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"9","Abdoulaye Niakhate Ndiaye","Parma","0.20","0.00","Off Target","3","Head","","Emanuele Valeri","Pass (Dead)","Patrick Cutrone","Shot","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"12","Adrian Bernabe","Parma","0.03","0.00","Blocked","30","Left Foot","Free kick","Mathias Løvik","Fouled","Adrian Bernabe","Pass (Live)","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"15","Sebastiano Esposito","Cagliari","0.02","0.00","Blocked","20","Right Foot","Volley","Gianluca Gaetano","Pass (Dead)","Gianluca Gaetano","Pass (Live)","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"16","Michael Folorunsho","Cagliari","0.01","0.00","Off Target","24","Right Foot","","Sebastiano Esposito","Pass (Live)","Gianluca Gaetano","Pass (Live)","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"25","Matteo Prati","Cagliari","0.02","0.00","Blocked","27","Right Foot","","Sebastiano Esposito","Pass (Live)","Adam Obert","Pass (Live)","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"29","Patrick Cutrone","Parma","0.34","0.22","Saved","9","Right Foot","","Adrian Bernabe","Pass (Live)","Adrian Bernabe","Take-On","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"33","Gianluca Gaetano","Cagliari","0.02","0.00","Blocked","26","Right Foot","","Sebastiano Esposito","Pass (Live)","Matteo Prati","Pass (Live)","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
"33","Andrea Belotti","Cagliari","0.19","0.20","Saved","4","Head","","Adam Obert","Pass (Live)","Gianluca Gaetano","Shot","Serie-A","2025-2026","Saturday September 13, 2025, 15:00 (venue time) 14:00 (local time)","Cagliari","Parma","https://fbref.com/en/matches/5fc86d3a/Cagliari-Parma-September-13-2025-Serie-A","3"
