"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Will Lankshear","27","eng ENG","FW","20-237","76","0","0","0","0","1","0","0","0","30","2","0","0","0.2","0.2","0.1","1","0","14","20","70.0","0","14","1","0","0","/en/players/92df535b/Will-Lankshear","Oxford United","0","5","9","16","7","30","","0","","48","16","1","1","3","0","22","5","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Tom Bradshaw","20","wls WAL","FW","33-139","14","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","1","0","1","3","33.3","1","3","0","0","0","/en/players/a9d071f8/Tom-Bradshaw","Oxford United","0","0","4","1","0","4","","0","","14","3","1","0","1","1","5","1","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Nik Prelec","16","si SVN","FW","24-186","76","0","1","0","0","1","0","0","0","20","0","0","1","0.0","0.0","0.1","1","1","7","13","53.8","1","10","0","0","0","/en/players/3fecdc45/Nik-Prelec","Oxford United","0","1","10","9","5","20","","0","","36","9","0","0","1","2","13","2","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Mark Harris","9","wls WAL","FW","26-349","14","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.1","1","0","1","1","100.0","0","0","0","0","0","/en/players/fcc02804/Mark-Harris","Oxford United","0","0","0","1","1","1","","0","","0","0","0","0","0","0","0","0","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Ole Romeny","11","id IDN","AM","25-176","63","0","0","0","0","3","1","0","0","26","0","0","1","0.1","0.1","0.0","2","0","15","17","88.2","2","11","2","0","0","/en/players/3e17193f/Ole-Romeny","Oxford United","1","4","13","9","1","26","","0","","88","62","1","0","1","0","17","2","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Tyler Goodhram","19","eng ENG","AM","22-128","27","0","0","0","0","1","0","0","0","14","0","0","0","0.1","0.1","0.0","1","0","6","11","54.5","2","5","0","0","0","/en/players/99b1d596/Tyler-Goodhram","Oxford United","1","1","10","4","1","14","","0","","10","0","0","0","2","0","7","0","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Brian De Keersmaecker","14","be BEL","CM","25-221","90","1","0","0","0","3","1","0","0","64","1","2","3","0.1","0.1","0.2","10","1","40","52","76.9","4","30","2","3","2","/en/players/40d2f0cb/Brian-De-Keersmaecker","Oxford United","1","11","32","22","1","64","66.7","1","33.3","192","104","1","0","2","0","33","5","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Will Vaulks","4","wls WAL","CM","32-091","90","0","0","0","0","2","2","1","0","85","0","1","2","0.1","0.1","0.2","7","0","46","79","58.2","6","20","1","2","1","/en/players/7760b885/Will-Vaulks","Oxford United","2","14","37","36","0","85","50.0","1","50.0","80","35","1","0","0","0","42","0","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Greg Leigh","22","jm JAM","WB","31-074","88","0","0","0","0","3","1","0","0","35","0","2","3","0.1","0.1","0.0","3","0","10","19","52.6","1","11","1","0","0","/en/players/9684b64f/Greg-Leigh","Oxford United","1","8","16","11","4","35","","0","","68","24","1","0","2","0","18","3","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Jack Currie","26","eng ENG","WB","23-049","2","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","/en/players/486bce4c/Jack-Currie","Oxford United","0","0","2","0","0","2","","0","","10","0","0","0","0","0","1","0","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
"Hidde ter Avest","24","nl NED","WB","28-207","45","0","0","0","0","0","0","0","0","22","1","1","2","0.0","0.0","0.0","3","0","13","16","81.3","2","6","1","0","0","/en/players/18f9dbd0/Hidde-ter-Avest","Oxford United","1","7","10","5","0","22","","0","","31","22","0","0","0","0","9","0","Championship","2025-2026","Saturday December 13, 2025, 12:30 (venue time)","Oxford United","Preston North End","https://fbref.com/en/matches/3cff1a49/Oxford-United-Preston-North-End-December-13-2025-Championship","21","The Kassam Stadium"
