"league","season","match_date","gameweek","home_team","away_team","team","player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","match_url","venue"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Rômulo","40","br BRA","FW","23-203","84","1","0","0","0","4","2","0","0","31","0","0","0","0.6","0.6","0.0","3","0","16","20","80.0","3","19","0","0","0","/en/players/03dd053e/Romulo","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Loïs Openda","11","be BEL","FW","25-195","6","0","0","0","0","2","0","0","0","8","0","0","1","0.1","0.1","0.0","4","0","3","4","75.0","0","5","0","2","1","/en/players/8652a85c/Lois-Openda","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Antonio Nusa","7","no NOR","LW","20-135","90","0","0","0","0","2","0","0","0","64","2","2","0","0.1","0.1","0.0","3","0","34","44","77.3","3","41","7","6","2","/en/players/4ab12002/Antonio-Nusa","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Johan Bakayoko","9","be BEL","RW","22-132","66","0","0","0","0","0","0","0","0","32","1","0","0","0.0","0.0","0.0","1","0","22","26","84.6","2","17","3","5","2","/en/players/0caa2fd4/Johan-Bakayoko","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Yan Diomandé","49","ci CIV","RW","18-289","24","0","0","0","0","1","0","0","0","22","1","0","1","0.3","0.3","0.0","1","1","12","16","75.0","2","14","5","6","4","/en/players/919f5f54/Yan-Diomande","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Christoph Baumgartner","14","at AUT","AM","26-029","84","1","0","0","0","5","1","0","0","41","2","0","1","0.7","0.7","0.1","2","0","16","27","59.3","3","24","1","1","1","/en/players/437f2b00/Christoph-Baumgartner","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Assan Ouedraogo","20","de GER","AM","19-113","6","0","0","0","0","1","0","0","0","8","0","0","0","0.0","0.0","0.0","1","0","5","6","83.3","2","5","0","0","0","/en/players/75e6fc2f/Assan-Ouedraogo","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Xaver Schlager","24","at AUT","DM","27-336","90","0","0","0","0","0","0","0","0","70","2","1","0","0.0","0.0","0.2","2","0","62","64","96.9","7","49","5","2","2","/en/players/8f056768/Xaver-Schlager","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Ezechiel Banzuzi","6","nl NED","DM","20-195","66","0","0","0","0","2","1","1","0","42","0","0","0","0.1","0.1","0.0","1","0","27","34","79.4","1","28","0","1","1","/en/players/e9764fe5/Ezechiel-Banzuzi","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Nicolas Seiwald","13","at AUT","DM","24-118","24","0","0","0","0","0","0","0","0","18","1","0","0","0.0","0.0","0.0","0","0","15","17","88.2","1","12","0","0","0","/en/players/28c6e925/Nicolas-Seiwald","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","David Raum","22","de GER","LB","27-130","90","0","1","0","0","0","0","1","0","81","0","2","1","0.0","0.0","0.5","7","1","57","73","78.1","7","39","3","1","1","/en/players/7d450ed3/David-Raum","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Castello Lukeba","23","fr FRA","CB","22-256","90","0","0","0","0","1","0","0","0","100","1","1","1","0.2","0.2","0.0","2","1","79","88","89.8","10","71","1","2","2","/en/players/5b9512c5/Castello-Lukeba","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Willi Orban","4","hu HUN","CB","32-300","90","0","0","0","0","0","0","0","0","81","1","1","2","0.0","0.0","0.1","1","0","60","64","93.8","4","54","1","0","0","/en/players/20030c06/Willi-Orban","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Ridle Baku","17","de GER","RB","27-144","89","0","1","0","0","1","1","0","0","80","0","1","3","0.1","0.1","0.6","3","1","63","70","90.0","8","47","6","4","3","/en/players/442b56fa/Ridle-Baku","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Kosta Nedeljković","19","rs SRB","RB","19-257","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","0","0","0","0","0","/en/players/c70be9cf/Kosta-Nedeljkovic","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","RB Leipzig","Péter Gulácsi","1","hu HUN","GK","35-116","90","0","0","0","0","0","0","0","0","32","0","0","0","0.0","0.0","0.0","0","0","24","29","82.8","0","24","0","0","0","/en/players/bcb2ccd8/Peter-Gulacsi","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Mikkel Kaufmann","29","dk DEN","FW","24-239","56","0","0","0","0","0","0","1","0","14","1","0","0","0.0","0.0","0.0","0","0","3","10","30.0","1","7","0","0","0","/en/players/6e269dd3/Mikkel-Kaufmann","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Budu Zivzivadze","11","ge GEO","FW","31-173","34","0","0","0","0","0","0","0","0","7","0","0","0","0.0","0.0","0.0","1","0","4","6","66.7","1","4","0","0","0","/en/players/e3a72b89/Budu-Zivzivadze","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Mathias Honsak","17","at AUT","LW,RW,AM","28-253","76","0","0","0","0","2","2","0","0","21","2","2","0","0.3","0.3","0.0","1","0","4","10","40.0","0","6","0","0","0","/en/players/3dbdbb6a/Mathias-Honsak","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Omar Traoré","23","de GER","RB","27-207","14","0","0","0","0","0","0","0","0","6","0","0","0","0.0","0.0","0.0","0","0","2","3","66.7","1","4","1","0","0","/en/players/f44e8a73/Omar-Traore","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Arijon Ibrahimović","22","de GER","RW,LW","19-262","57","0","0","0","0","1","0","0","0","21","2","0","2","0.5","0.5","0.0","0","0","5","10","50.0","1","8","1","1","0","/en/players/f5c4fd91/Arijon-Ibrahimovic","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Sirlord Conteh","31","de GER","RW,LW","29-052","33","0","0","0","0","1","1","1","0","5","0","1","0","0.2","0.2","0.0","0","0","2","3","66.7","0","3","1","0","0","/en/players/34e09d5f/Sirlord-Conteh","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
"Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","2","RB Leipzig","Heidenheim","Heidenheim","Léo Scienza","8","br BRA","AM,LW","26-351","90","0","0","0","0","1","0","0","0","37","1","0","2","0.0","0.0","0.6","3","0","12","25","48.0","3","25","5","8","2","/en/players/79064bc9/Leo-Scienza","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","Red Bull Arena"
