"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Dženan Pejčinović","17","de GER","FW","20-197","69","22","1","3","10","9","3","22","1","1","100.0","0","0.0","10","35","17","1","0","1","3","0","12","2","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Mohamed Amoura","9","dz ALG","FW","25-114","21","8","0","0","5","3","0","8","0","0","","0","","4","20","12","0","0","0","1","1","4","0","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Patrick Wimmer","39","at AUT","LW","24-093","90","39","5","12","18","9","1","39","4","1","25.0","2","50.0","17","46","22","1","1","1","4","4","21","4","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Andreas Skov Olsen","7","dk DEN","RW","25-245","45","16","2","3","9","4","0","16","0","0","","0","","6","19","5","0","0","0","1","0","9","2","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Václav Černý","18","cz CZE","RW","27-318","45","15","2","4","7","4","2","15","2","1","50.0","1","50.0","11","83","57","2","1","1","0","0","9","2","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Lovro Majer","10","hr CRO","AM","27-226","69","30","3","11","14","6","1","30","1","0","0.0","1","100.0","15","85","40","2","0","0","2","1","15","2","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Mattias Svanberg","32","se SWE","AM","26-238","20","6","2","2","3","1","0","6","0","0","","0","","3","5","0","0","0","0","0","0","4","2","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Vinicius Souza","5","br BRA","DM","26-075","89","41","10","20","16","5","0","41","0","0","","0","","13","47","30","0","1","0","1","0","17","0","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Jonas Wind","23","dk DEN","DM","26-205","1","2","0","0","0","2","1","2","0","0","","0","","1","4","0","0","0","0","0","0","2","0","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
"Maximilian Arnold","27","de GER","DM","31-096","90","47","9","21","18","8","0","47","0","0","","0","","22","97","27","0","0","0","0","0","22","0","Wolfsburg","Bundesliga","2025-2026","Sunday August 31, 2025, 15:30 (venue time) 14:30 (local time)","Wolfsburg","Mainz 05","https://fbref.com/en/matches/e8d01789/Wolfsburg-Mainz-05-August-31-2025-Bundesliga","2"
