"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Adrián Liso","23","es ESP","LM,FW","20-212","89","0","0","0","0","2","0","0","0","31","2","0","1","0.1","0.1","0.0","3","0","10","16","62.5","1","18","5","3","0","/en/players/26615dea/Adrian-Liso","Getafe","0","1","6","24","1","31","0.0","3","100.0","128","52","0","1","5","0","21","9","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Yvan Neyou","4","cm CMR","CM","28-301","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","1","0","0","0","/en/players/0ad37003/Yvan-Neyou","Getafe","0","0","1","0","0","1","","0","","2","0","0","0","0","0","1","0","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Borja Mayoral","9","es ESP","FW","28-209","90","1","0","0","0","1","1","0","0","31","0","0","2","0.2","0.2","0.0","0","0","17","23","73.9","2","16","0","0","0","/en/players/64e8ed6d/Borja-Mayoral","Getafe","2","2","16","13","2","31","","0","","50","15","0","0","3","4","23","4","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Coba da Costa","20","es ESP","LM","23-097","45","0","0","0","0","1","0","0","0","19","1","0","0","0.2","0.2","0.0","0","0","9","13","69.2","1","9","0","2","1","/en/players/0b3358f0/Coba-da-Costa","Getafe","0","0","9","11","2","19","50.0","1","50.0","43","14","0","0","4","1","15","3","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Álex Sancris","18","es ESP","RM,LM","28-286","45","0","1","0","0","1","0","0","0","22","1","0","3","0.0","0.0","0.2","2","1","10","14","71.4","1","13","2","1","0","/en/players/640b4170/Alex-Sancris","Getafe","0","3","8","11","0","22","0.0","1","100.0","88","29","0","0","0","1","12","1","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Mauro Arambarri","8","uy URU","CM","30-031","90","0","0","0","0","2","1","0","0","37","2","1","1","0.1","0.1","0.1","2","0","20","25","80.0","3","13","0","2","2","/en/players/58afe001/Mauro-Arambarri","Getafe","1","2","25","10","2","37","100.0","0","0.0","70","38","2","0","2","0","18","2","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Luis Milla","5","es ESP","CM","31-024","89","0","1","0","0","1","1","0","0","60","1","2","2","0.0","0.0","0.1","5","2","21","46","45.7","1","23","1","3","2","/en/players/19c36442/Luis-Milla","Getafe","1","4","25","32","0","60","66.7","1","33.3","138","52","2","0","4","1","26","4","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Abu Kamara","11","eng ENG","RM,CM","22-102","1","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","1","0","0","0","0","/en/players/a6fbfa77/Abu-Kamara","Getafe","0","0","1","2","0","3","","0","","0","0","0","0","1","0","1","0","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Iglesias","21","es ESP","RB,RM","27-120","90","0","0","0","0","0","0","1","0","49","3","0","2","0.0","0.0","0.2","3","1","19","37","51.4","3","13","2","4","2","/en/players/974322dc/Iglesias","Getafe","2","9","23","18","0","49","50.0","2","50.0","66","36","1","0","2","0","16","1","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
"Diego Rico","16","es ESP","LB","32-250","90","0","0","0","0","1","0","0","0","54","1","2","2","0.1","0.1","0.1","2","0","29","43","67.4","8","21","0","0","0","/en/players/d9ba39fc/Diego-Rico","Getafe","0","6","33","16","1","54","","0","","51","22","0","0","2","1","21","0","La-Liga","2025-2026","Friday October 31, 2025, 21:00 (venue time) 20:00 (local time)","Getafe","Girona","https://fbref.com/en/matches/5fd9bc05/Getafe-Girona-October-31-2025-La-Liga","11","Coliseum Alfonso Pérez"
