"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Oliver Burke","7","sct SCO","FW","28-236","60","23","0","1","6","16","4","23","2","0","0.0","2","100.0","10","44","11","1","0","1","2","0","16","5","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Andrej Ilic","23","rs SRB","FW","25-240","30","7","0","0","4","3","0","7","1","0","0.0","1","100.0","1","3","0","0","0","0","0","0","5","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Ilyas Ansah","10","de GER","AM,FW","21-021","90","27","0","2","12","15","5","27","3","1","33.3","2","66.7","23","128","71","3","3","1","3","1","23","6","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Jeong Woo-yeong","11","kr KOR","AM","26-070","72","21","1","3","9","9","1","21","0","0","","0","","10","60","43","1","0","1","0","0","10","5","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Alex Král","33","cz CZE","AM,CM","27-194","18","7","0","4","1","2","0","7","1","1","100.0","0","0.0","4","20","9","0","0","0","1","0","3","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Aljoscha Kemlein","6","de GER","CM","21-119","78","45","2","10","30","5","1","45","1","0","0.0","1","100.0","25","103","36","0","1","0","1","2","27","2","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"András Schäfer","13","hu HUN","CM","26-230","12","10","0","8","2","0","0","10","0","0","","0","","6","23","10","0","0","0","0","0","2","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Rani Khedira","8","de GER","CM","31-306","90","35","1","5","19","11","3","35","1","0","0.0","1","100.0","16","99","69","2","2","1","1","2","18","3","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Derrick Köhn","39","gh GHA","WB","26-298","72","42","1","8","19","16","2","42","1","1","100.0","0","0.0","23","88","34","1","1","0","2","1","24","5","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Tom Rothe","15","de GER","WB,LB","21-031","18","17","2","12","3","2","1","17","0","0","","0","","9","29","7","0","0","0","1","3","8","1","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Christopher Trimmel","28","at AUT","WB","38-278","78","59","2","12","26","21","0","59","0","0","","0","","16","38","14","0","0","0","2","0","23","2","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Janik Haberer","19","de GER","RB,WB","31-241","12","8","0","6","1","1","0","8","0","0","","0","","5","35","16","1","0","0","0","0","4","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Diogo Leite","4","pt POR","CB","26-310","90","67","6","28","39","3","2","67","2","1","50.0","1","50.0","34","122","84","1","0","1","0","0","33","1","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Leopold Querfeld","14","at AUT","CB","21-344","90","40","2","12","26","2","1","40","1","0","0.0","1","100.0","29","208","118","1","1","0","0","0","28","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Danilho Doekhi","5","nl NED","CB","27-152","90","43","7","21","19","4","2","43","0","0","","0","","19","82","65","1","0","0","0","0","23","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Frederik Rønnow","1","dk DEN","GK","33-117","90","33","23","32","1","0","0","33","0","0","","0","","12","68","57","0","0","0","0","0","8","0","Union Berlin","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
"Marvin Pieringer","18","de GER","FW,AM","26-056","90","34","1","4","19","11","3","34","2","2","100.0","0","0.0","16","102","70","2","0","0","4","1","25","3","Heidenheim","Bundesliga","2025-2026","Saturday November 29, 2025, 15:30 (venue time) 14:30 (local time)","Union Berlin","Heidenheim","https://fbref.com/en/matches/725f87d9/Union-Berlin-Heidenheim-November-29-2025-Bundesliga","12"
