"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Serhou Guirassy","9","gn GUI","FW","29-193","90","26","0","3","13","10","4","26","1","0","0.0","1","100.0","19","118","37","2","0","1","3","1","22","5","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Maximilian Beier","14","de GER","AM","22-339","64","19","1","2","5","13","8","19","2","2","100.0","0","0.0","12","88","71","1","1","1","1","1","16","4","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Carney Chukwuemeka","17","eng ENG","AM","21-336","26","13","0","0","6","7","0","13","4","2","50.0","2","50.0","9","87","63","2","1","0","1","0","8","3","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Karim Adeyemi","27","de GER","AM","23-246","76","40","1","3","10","27","4","40","4","2","50.0","2","50.0","26","168","79","1","1","1","4","0","31","10","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Julian Brandt","10","de GER","AM","29-142","14","16","1","1","6","9","2","16","0","0","","0","","10","52","20","2","0","2","1","4","16","5","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Felix Nmecha","8","de GER","CM","24-346","76","42","1","4","25","13","2","42","1","1","100.0","0","0.0","31","156","79","1","1","0","2","1","36","0","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Jobe Bellingham","7","eng ENG","CM","19-363","14","7","0","0","4","3","0","7","0","0","","0","","4","10","4","0","0","0","0","0","5","0","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Marcel Sabitzer","20","at AUT","CM","31-188","89","62","0","6","31","25","1","62","0","0","","0","","22","54","21","0","0","0","0","0","34","0","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Salih Özcan","6","tr TUR","CM","27-253","1","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
"Daniel Svensson","24","se SWE","WB","23-221","90","66","2","11","20","35","6","66","1","1","100.0","0","0.0","27","171","110","4","4","0","1","0","38","16","Dortmund","Bundesliga","2025-2026","Sunday September 21, 2025, 19:30 (venue time) 18:30 (local time)","Dortmund","Wolfsburg","https://fbref.com/en/matches/d3e98705/Dortmund-Wolfsburg-September-21-2025-Bundesliga","4"
