"league","season","match_date","gameweek","home_team","away_team","team","player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","match_url","venue"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Patrik Schick","14","cz CZE","FW","29-288","55","2","0","0","0","4","2","0","0","17","0","0","0","1.4","1.4","0.0","1","0","11","12","91.7","0","3","0","0","0","/en/players/5d4f7d61/Patrik-Schick","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Alejo Sarco","18","ar ARG","FW","19-306","35","0","0","0","0","1","0","0","0","12","0","0","1","0.1","0.1","0.0","2","0","7","10","70.0","0","5","0","1","1","/en/players/ec756d03/Alejo-Sarco","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Ernest Poku","19","nl NED","AM","21-284","45","1","1","0","0","1","1","0","0","24","1","0","0","0.1","0.1","0.3","2","1","15","16","93.8","1","11","1","4","1","/en/players/ddc31375/Ernest-Poku","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Martin Terrier","11","fr FRA","AM","28-249","45","0","0","0","0","1","0","0","0","27","2","0","0","0.0","0.0","0.2","2","0","20","23","87.0","0","8","1","1","0","/en/players/5148dcc5/Martin-Terrier","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Jonas Hofmann","7","de GER","WB,AM","33-117","90","1","0","0","0","5","3","0","0","73","0","0","0","0.3","0.3","0.1","4","1","59","67","88.1","3","37","2","0","0","/en/players/2903a856/Jonas-Hofmann","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Aleix García","24","es ESP","CM","28-133","74","0","1","0","0","3","0","0","0","175","1","1","2","0.1","0.1","0.3","5","1","161","167","96.4","13","92","2","0","0","/en/players/a10361d2/Aleix-Garcia","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Eliesse Ben Seghir","17","ma MAR","AM","20-265","16","0","0","0","0","0","0","0","0","14","1","0","0","0.0","0.0","0.0","1","0","11","12","91.7","0","5","0","1","0","/en/players/3bd65247/Eliesse-Ben-Seghir","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Ibrahim Maza","30","dz ALG","CM","19-349","90","2","0","0","0","4","2","0","0","110","2","1","1","0.7","0.7","0.1","6","2","89","98","90.8","7","58","4","4","4","/en/players/89b3bc5e/Ibrahim-Maza","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Álex Grimaldo","20","es ESP","WB","30-049","90","0","0","0","0","3","1","0","0","117","0","0","0","0.6","0.6","0.2","12","1","103","111","92.8","12","59","5","1","1","/en/players/b1f4086c/Alex-Grimaldo","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Arthur","13","br BRA","WB","22-236","45","0","1","0","0","0","0","0","0","20","2","0","0","0.0","0.0","0.1","1","1","15","18","83.3","1","8","1","0","0","/en/players/8a958856/Arthur","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Malik Tillman","10","us USA","AM,CM","23-164","45","0","0","0","0","1","0","0","0","60","1","2","0","0.0","0.0","0.0","2","0","42","50","84.0","2","28","1","1","0","/en/players/a5420709/Malik-Tillman","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
"Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","10","Bayer Leverkusen","Heidenheim","Bayer Leverkusen","Edmond Tapsoba","12","bf BFA","CB","26-279","55","0","2","0","0","0","0","0","0","90","0","0","0","0.0","0.0","0.3","3","3","87","90","96.7","5","65","0","0","0","/en/players/a73c8f95/Edmond-Tapsoba","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","BayArena"
