"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"22","Kyogo Furuhashi","Birmingham City","0.15","0.00","Off Target","13","Left Foot","","Jay Stansfield","Pass (Live)","Alex Cochrane","Pass (Live)","Birmingham City","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"24","Sammie Szmodics","Ipswich Town","0.03","0.00","Blocked","29","Right Foot","Volley","Jack Taylor","Pass (Live)","","","Ipswich Town","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"25","Sammie Szmodics","Ipswich Town","0.11","0.00","Off Target","17","Right Foot","","Sammie Szmodics","Interception","","","Ipswich Town","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"32","Jay Stansfield","Birmingham City","0.08","0.00","Off Target","16","Right Foot","","Tomoki Iwata","Pass (Live)","Paik Seung-ho","Pass (Live)","Birmingham City","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"33","Leif Davis","Ipswich Town","0.07","0.00","Off Target","10","Left Foot","Volley","Dara O'Shea","Pass (Live)","Jacob Greaves","Pass (Dead)","Ipswich Town","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"39","Keshi Anderson","Birmingham City","0.02","0.11","Saved","30","Left Foot","Deflected","Paik Seung-ho","Pass (Live)","","","Birmingham City","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"40","Jay Stansfield","Birmingham City","0.09","0.00","Off Target","21","Right Foot","","","","","","Birmingham City","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"45","Demarai Gray","Birmingham City","0.03","0.03","Saved","34","Right Foot","Free kick","Keshi Anderson","Fouled","Jay Stansfield","Interception","Birmingham City","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"45+2","Jack Taylor","Ipswich Town","0.09","0.00","Off Target","12","Head","","Ben Johnson","Pass (Live)","Chiedozie Ogbene","Pass (Live)","Ipswich Town","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
"","","","","","","","","","","","","","","Championship","2025-2026","Friday August 8, 2025, 20:00 (venue time)","Birmingham City","Ipswich Town","https://fbref.com/en/matches/62ec73bf/Birmingham-City-Ipswich-Town-August-8-2025-Championship","1"
