"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Patrik Schick","14","cz CZE","FW","29-288","55","17","0","0","4","13","6","17","0","0","","0","","3","9","1","0","0","0","1","1","13","4","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Alejo Sarco","18","ar ARG","FW","19-306","35","12","0","0","2","11","2","12","1","1","100.0","0","0.0","5","24","7","0","0","0","0","1","12","2","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Ernest Poku","19","nl NED","AM","21-284","45","24","0","3","13","9","2","24","4","1","25.0","2","50.0","11","78","43","1","2","1","1","0","19","3","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Martin Terrier","11","fr FRA","AM","28-249","45","27","0","0","11","16","3","27","1","0","0.0","1","100.0","8","21","8","1","0","1","0","0","23","5","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Jonas Hofmann","7","de GER","WB,AM","33-117","90","73","0","4","31","38","2","73","0","0","","0","","37","186","85","2","2","0","0","0","63","11","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Aleix García","24","es ESP","CM","28-133","74","175","2","18","114","43","0","175","0","0","","0","","92","445","256","2","4","0","0","1","156","2","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Eliesse Ben Seghir","17","ma MAR","AM","20-265","16","14","0","0","7","7","1","14","1","0","0.0","1","100.0","5","32","17","0","2","0","0","0","11","3","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Ibrahim Maza","30","dz ALG","CM","19-349","90","110","0","8","58","45","4","110","4","4","100.0","0","0.0","58","238","114","4","2","2","2","1","97","9","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Álex Grimaldo","20","es ESP","WB","30-049","90","117","3","8","49","60","2","117","1","1","100.0","0","0.0","59","379","221","5","4","0","0","1","98","9","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Arthur","13","br BRA","WB","22-236","45","20","1","5","7","8","1","20","0","0","","0","","8","50","18","1","0","1","1","1","14","5","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Malik Tillman","10","us USA","AM,CM","23-164","45","60","0","2","20","38","4","60","1","0","0.0","1","100.0","28","100","43","1","0","1","3","1","48","5","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Edmond Tapsoba","12","bf BFA","CB","26-279","55","90","4","12","62","16","0","90","0","0","","0","","65","357","217","0","3","0","0","0","79","1","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Jeanuël Belocian","44","fr FRA","CB","20-264","35","50","0","3","33","14","0","50","0","0","","0","","29","174","131","2","3","0","0","0","43","0","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Loïc Bade","5","fr FRA","CB","25-211","90","129","9","28","93","10","1","129","0","0","","0","","80","298","198","0","2","0","1","1","107","0","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Robert Andrich","8","de GER","CB","31-047","90","101","2","15","50","36","1","101","0","0","","0","","47","287","209","6","3","1","0","0","83","5","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Mark Flekken","1","nl NED","GK","32-148","90","21","16","21","0","0","0","21","0","0","","0","","13","48","15","0","0","0","0","0","17","0","Bayer Leverkusen","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Budu Zivzivadze","11","ge GEO","FW","31-243","32","8","0","1","4","3","2","8","0","0","","0","","5","28","0","0","0","0","1","0","5","1","Heidenheim","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
"Benedikt Gimber","5","de GER","CM,CB","28-262","58","20","0","5","15","0","0","20","0","0","","0","","11","34","2","0","0","0","0","0","16","0","Heidenheim","Bundesliga","2025-2026","Saturday November 8, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Heidenheim","https://fbref.com/en/matches/8e4a9eea/Bayer-Leverkusen-Heidenheim-November-8-2025-Bundesliga","10"
