"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Evan Ferguson","11","ie IRL","FW","21-071","84","1","1","0","0","3","2","0","0","34","0","0","2","0.5","0.5","0.2","3","1","17","19","89.5","0","21","4","1","0","/en/players/4596da74/Evan-Ferguson","Roma","1","1","12","22","7","34","0.0","1","100.0","138","65","2","2","4","5","27","9","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Artem Dovbyk","9","ua UKR","FW","28-191","6","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","2","4","50.0","0","3","1","0","0","/en/players/5b847bb0/Artem-Dovbyk","Roma","0","0","3","1","1","4","","0","","6","4","0","1","0","0","3","1","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Paulo Dybala","21","ar ARG","AM","32-044","90","0","0","0","0","2","1","0","0","82","1","0","1","0.1","0.1","0.2","2","0","58","74","78.4","8","55","3","0","0","/en/players/e0921a4f/Paulo-Dybala","Roma","0","6","41","35","3","82","","0","","321","131","4","0","1","3","67","4","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Matìas Soulé","18","ar ARG","AM","22-258","56","1","0","0","0","2","2","0","0","42","1","2","1","0.2","0.2","0.0","3","1","25","32","78.1","1","23","1","1","0","/en/players/c13ddd3e/Matias-Soule","Roma","0","9","12","21","3","42","0.0","1","100.0","91","17","0","1","2","2","35","6","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Stephan El Shaarawy","92","it ITA","AM","33-063","34","0","0","0","0","3","1","0","0","29","0","0","0","0.1","0.1","0.0","0","0","20","25","80.0","4","21","0","0","0","/en/players/d3aaad90/Stephan-El-Shaarawy","Roma","0","2","12","16","3","29","","0","","119","61","0","0","0","2","24","5","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Manu Koné","17","fr FRA","CM","24-226","90","1","0","0","0","2","1","0","0","68","1","0","0","0.4","0.4","0.0","2","0","57","62","91.9","6","33","1","2","2","/en/players/86574238/Manu-Kone","Roma","0","12","36","20","5","68","100.0","0","0.0","127","25","2","0","2","1","56","5","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Bryan Cristante","4","it ITA","CM","30-301","73","0","0","0","0","1","1","0","0","70","3","2","0","0.0","0.0","0.0","2","0","50","60","83.3","8","40","2","0","0","/en/players/16657b95/Bryan-Cristante","Roma","1","20","36","14","1","70","","0","","146","68","2","0","2","0","52","1","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Niccolò Pisilli","61","it ITA","CM","21-097","17","0","0","0","0","0","0","0","0","19","0","1","0","0.0","0.0","0.0","1","0","15","18","83.3","2","12","0","0","0","/en/players/c84dcc88/Niccolo-Pisilli","Roma","0","4","12","3","0","19","","0","","34","16","0","0","0","0","14","0","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Wesley","43","br BRA","WB","22-114","84","0","0","0","0","0","0","0","0","59","3","0","0","0.0","0.0","0.1","2","0","39","51","76.5","7","29","1","1","0","/en/players/f2c49c79/Wesley","Roma","3","15","24","20","4","59","0.0","1","100.0","98","59","0","1","1","1","41","8","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
"Devyne Rensch","2","nl NED","WB","22-345","6","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","3","3","100.0","0","1","0","1","0","/en/players/c5cbbcff/Devyne-Rensch","Roma","1","1","2","1","0","4","0.0","0","0.0","9","0","0","0","0","0","2","0","Serie-A","2025-2026","Monday December 29, 2025, 20:45 (venue time) 19:45 (local time)","Roma","Genoa","https://fbref.com/en/matches/20344285/Roma-Genoa-December-29-2025-Serie-A","17","Stadio Olimpico"
