"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"1","Andrea Cambiaso","Juventus","0.02","0.00","Off Target","30","Left Foot","","Manuel Locatelli","Pass (Live)","Kenan Yıldız","Pass (Dead)","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"14","Weston McKennie","Juventus","0.08","0.23","Saved","4","Left Foot","","Lloyd Kelly","Pass (Live)","","","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"18","Khéphren Thuram","Juventus","0.06","0.00","Blocked","21","Right Foot","","Andrea Cambiaso","Pass (Live)","Teun Koopmeiners","Pass (Live)","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"18","Kenan Yıldız","Juventus","0.05","0.00","Off Target","16","Right Foot","","Khéphren Thuram","Shot","","","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"19","İsak Vural","Pisa","0.05","0.00","Off Target","25","Left Foot","","Stefano Moreo","Pass (Live)","Mehdi Léris","Pass (Live)","Pisa","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"21","Loïs Openda","Juventus","0.11","0.06","Saved","16","Right Foot","","Weston McKennie","Pass (Live)","Loïs Openda","Pass (Live)","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"22","Teun Koopmeiners","Juventus","0.07","0.00","Blocked","14","Right Foot","","","","","","Juventus","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"33","Idrissa Touré","Pisa","0.01","0.00","Off Target","13","Head","","Arturo Calabresi","Pass (Dead)","","","Pisa","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"45","Stefano Moreo","Pisa","0.05","0.00","Woodwork","12","Head","","Michel Aebischer","Pass (Live)","Mattéo Tramoni","Pass (Dead)","Pisa","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
"45+1","Stefano Moreo","Pisa","0.10","0.00","Blocked","16","Left Foot","","Mattéo Tramoni","Pass (Live)","Mehdi Léris","Pass (Live)","Pisa","Serie-A","2025-2026","Saturday December 27, 2025, 20:45 (venue time) 19:45 (local time)","Pisa","Juventus","https://fbref.com/en/matches/606743fc/Pisa-Juventus-December-27-2025-Serie-A","17"
