"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Harry Kane","9","eng ENG","FW","32-025","85","3","0","0","0","5","3","0","0","40","0","1","0","0.7","0.7","0.1","6","2","24","31","77.4","3","31","2","4","2","/en/players/21a66f6a/Harry-Kane","Bayern Munich","0","3","19","18","7","40","50.0","1","25.0","138","62","1","2","1","1","34","5","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Jonah Kusi-Asare","41","se SWE","FW","18-049","5","0","0","0","0","0","0","0","0","2","0","0","1","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/c7c26e61/Jonah-Kusi-Asare","Bayern Munich","1","1","0","1","0","2","","0","","0","0","0","0","1","0","0","0","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Luis Díaz","14","co COL","LW","28-221","90","1","2","0","0","1","1","0","0","63","0","0","1","0.2","0.2","0.3","5","2","46","53","86.8","2","47","3","6","4","/en/players/4a1a9578/Luis-Diaz","Bayern Munich","1","6","24","34","6","63","66.7","2","33.3","288","94","2","1","3","2","54","11","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Michael Olise","17","fr FRA","RW,AM","23-253","90","2","0","0","0","5","2","1","0","72","2","1","0","0.4","0.4","0.0","5","0","45","56","80.4","4","52","5","6","3","/en/players/c4486bac/Michael-Olise","Bayern Munich","2","6","29","38","9","72","50.0","3","50.0","369","198","2","4","1","2","54","9","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Serge Gnabry","7","de GER","AM","30-039","68","0","2","0","0","2","0","0","0","43","1","0","0","0.1","0.1","0.4","5","3","32","37","86.5","6","32","4","4","2","/en/players/88e357ef/Serge-Gnabry","Bayern Munich","1","2","22","20","2","43","50.0","2","50.0","160","82","5","2","0","0","37","4","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Lennart Karl","42","de GER","RW","17-181","22","0","0","0","0","3","2","0","0","23","2","0","1","0.1","0.1","0.0","2","0","17","18","94.4","0","18","2","1","0","/en/players/a0deb1e9/Lennart-Karl","Bayern Munich","0","2","9","12","1","23","0.0","0","0.0","88","52","1","1","0","0","20","4","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Leon Goretzka","8","de GER","DM","30-197","67","0","0","0","0","1","0","0","0","53","0","1","3","0.0","0.0","0.0","1","1","38","43","88.4","5","29","1","1","1","/en/players/cc86b9a3/Leon-Goretzka","Bayern Munich","5","9","31","14","1","53","100.0","0","0.0","135","62","2","0","1","0","31","4","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Aleksandar Pavlovic","45","de GER","DM","21-111","23","0","0","0","0","0","0","0","0","31","0","0","0","0.0","0.0","0.0","2","1","31","31","100.0","3","27","1","0","0","/en/players/2658c82f/Aleksandar-Pavlovic","Bayern Munich","0","5","19","7","0","31","","0","","124","83","2","0","0","0","29","1","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Joshua Kimmich","6","de GER","DM","30-195","90","0","0","0","0","1","0","1","0","108","1","1","0","0.0","0.0","0.2","4","1","97","103","94.2","10","89","2","1","0","/en/players/49296448/Joshua-Kimmich","Bayern Munich","1","28","66","15","0","108","0.0","0","0.0","453","242","0","0","0","1","94","0","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
"Josip Stanišić","44","hr CRO","LB","25-142","90","0","0","0","0","0","0","0","0","62","1","1","1","0.0","0.0","0.0","0","0","50","54","92.6","4","42","3","0","0","/en/players/7ed08d5c/Josip-Stanisic","Bayern Munich","4","10","34","18","1","62","","0","","210","133","2","0","3","0","46","5","Bundesliga","2025-2026","Friday August 22, 2025, 20:30 (venue time) 19:30 (local time)","Bayern Munich","RB Leipzig","https://fbref.com/en/matches/8eb0f477/Bayern-Munich-RB-Leipzig-August-22-2025-Bundesliga","1","Allianz Arena"
