"league","season","match_date","gameweek","home_team","away_team","team","player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","match_url","venue"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Said El Mala","13","de GER","FW,LW","19-102","81","1","0","0","0","2","2","0","0","24","1","0","1","1.0","1.0","0.0","1","0","7","13","53.8","0","17","2","2","0","/en/players/9db21d7f/Said-El-Mala","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Linton Maina","37","de GER","LW","26-166","9","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","2","3","66.7","0","4","0","0","0","/en/players/e5d85da8/Linton-Maina","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Marius Bülter","30","de GER","LW,FW","32-252","72","0","0","0","0","1","0","0","0","30","0","0","1","0.0","0.0","0.6","1","0","14","20","70.0","2","23","3","0","0","/en/players/ab5b7dc1/Marius-Bulter","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Ragnar Ache","9","de GER","FW","27-131","18","0","0","0","0","1","1","0","0","14","1","0","0","0.3","0.3","0.2","4","0","6","8","75.0","1","9","1","3","2","/en/players/dc38e3bc/Ragnar-Ache","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Luca Waldschmidt","7","de GER","RW","29-201","87","0","1","0","0","2","1","0","0","37","1","0","0","0.5","0.5","0.4","4","0","22","31","71.0","2","22","2","2","1","/en/players/e5a35ae9/Luca-Waldschmidt","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Kristoffer Lund","32","us USA","CB","23-206","3","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","1","1","100.0","1","0","0","0","0","/en/players/9e3e5d05/Kristoffer-Lund","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Jakub Kamiński","16","pl POL","LM","23-184","90","0","0","0","0","1","0","0","0","79","0","0","0","0.0","0.0","0.0","1","0","58","75","77.3","8","46","4","1","0","/en/players/202b3b68/Jakub-Kaminski","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Denis Huseinbasic","8","ba BIH","CM","24-156","72","0","0","0","0","1","0","0","0","62","0","0","0","0.0","0.0","0.0","1","0","51","58","87.9","6","50","3","1","1","/en/players/b116c6e3/Denis-Huseinbasic","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Ísak Jóhannesson","18","is ISL","CM","22-258","18","0","0","0","0","0","0","0","0","21","1","0","0","0.0","0.0","0.0","0","0","13","17","76.5","0","13","3","1","0","/en/players/c16c4e3b/Isak-Johannesson","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
"Bundesliga","2025-2026","Saturday December 6, 2025, 15:30 (venue time) 14:30 (local time)","13","Köln","St. Pauli","Köln","Tom Krauß","5","de GER","CM","24-167","81","0","0","0","0","1","1","0","0","59","1","1","0","0.1","0.1","0.0","2","0","50","52","96.2","5","41","1","0","0","/en/players/9f77012e/Tom-Krauss","https://fbref.com/en/matches/bd6f505b/Koln-St-Pauli-December-6-2025-Bundesliga","RheinEnergieSTADION"
