"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Christian Kofane","35","cm CMR","FW","19-092","76","27","6","7","7","13","5","27","3","2","66.7","1","33.3","11","40","11","2","1","2","1","0","17","2","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Patrik Schick","14","cz CZE","FW","29-275","14","18","1","1","1","16","2","18","0","0","","0","","4","17","7","1","0","1","1","1","15","1","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Ernest Poku","19","nl NED","AM","21-271","84","41","1","5","15","22","2","41","0","0","","0","","21","121","87","5","3","1","2","1","36","8","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Eliesse Ben Seghir","17","ma MAR","AM","20-252","6","8","0","0","3","5","0","8","0","0","","0","","4","25","15","0","0","0","0","0","6","2","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Jonas Hofmann","7","de GER","AM","33-104","66","45","1","6","24","15","2","45","1","0","0.0","1","100.0","25","124","67","3","1","0","1","0","34","2","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Ibrahim Maza","30","dz ALG","AM","19-336","24","26","0","3","7","17","2","26","2","0","0.0","1","50.0","14","83","37","1","2","0","0","0","25","5","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Ezequiél Fernández","6","ar ARG","CM","23-093","66","63","2","13","42","8","1","63","1","0","0.0","1","100.0","36","132","42","0","1","0","1","0","52","1","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Robert Andrich","8","de GER","CM","31-034","24","26","0","1","8","17","0","26","0","0","","0","","11","68","35","1","1","0","1","0","21","0","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Aleix García","24","es ESP","CM","28-120","90","128","1","28","72","28","1","128","0","0","","0","","60","239","130","2","2","0","1","0","113","4","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Álex Grimaldo","20","es ESP","WB","30-036","90","116","3","21","44","51","1","116","5","0","0.0","5","100.0","50","219","136","3","4","0","4","1","85","5","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Arthur","13","br BRA","WB","22-223","90","65","2","6","21","38","4","65","3","0","0.0","3","100.0","28","165","62","0","0","1","1","2","43","12","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Edmond Tapsoba","12","bf BFA","CB","26-266","90","122","3","42","64","16","2","122","0","0","","0","","88","415","260","0","4","0","0","0","106","2","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Loïc Bade","5","fr FRA","CB","25-198","90","106","13","50","52","4","0","106","1","0","0.0","1","100.0","57","230","87","0","2","0","0","1","86","0","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Jarell Quansah","4","eng ENG","CB","22-270","76","70","3","21","37","13","0","70","1","1","100.0","0","0.0","33","192","149","2","2","0","0","2","54","1","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Jeanuël Belocian","44","fr FRA","CB","20-251","14","23","0","2","18","3","0","23","0","0","","0","","14","89","70","1","0","0","0","1","21","0","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Mark Flekken","1","nl NED","GK","32-135","90","25","23","25","0","0","0","25","0","0","","0","","16","85","49","0","0","0","0","0","15","0","Bayer Leverkusen","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Junior Adamu","20","at AUT","FW","24-142","45","17","0","3","2","12","3","17","3","0","0.0","3","100.0","9","52","8","0","0","0","1","0","12","4","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Yuito Suzuki","14","jp JPN","AM,CM","24-001","45","9","1","4","3","2","0","9","0","0","","0","","5","38","11","1","1","0","0","0","5","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Derry Scherhant","7","de GER","LW","22-350","76","29","0","3","10","17","5","29","5","3","60.0","2","40.0","16","138","74","2","2","2","0","1","14","6","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Christian Günter","30","de GER","LB,LW","32-240","14","6","1","4","1","1","0","6","0","0","","0","","4","10","2","0","0","0","0","0","4","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Philipp Treu","29","de GER","RW,RB","24-327","90","34","1","11","16","7","0","34","0","0","","0","","17","69","24","0","1","0","1","0","20","1","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Lucas Höler","9","de GER","AM,FW","31-108","84","26","2","6","12","8","0","26","1","0","0.0","1","100.0","14","52","21","0","3","0","1","0","18","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Vincenzo Grifo","32","it ITA","CM","32-202","6","5","0","0","3","2","0","5","0","0","","0","","2","15","1","0","0","0","0","0","3","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Johan Manzambi","44","ch SUI","DM","20-012","66","40","2","10","23","8","2","40","1","0","0.0","1","100.0","24","111","46","1","1","0","1","1","24","2","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Igor Matanovic","31","hr CRO","DM,FW","22-209","24","10","1","3","6","2","0","10","1","1","100.0","0","0.0","4","22","18","0","0","0","2","0","3","1","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Maximilian Eggestein","8","de GER","DM,CM","28-322","90","48","3","14","24","10","1","48","2","2","100.0","0","0.0","23","115","48","0","0","0","0","0","25","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Jordy Makengo","33","fr FRA","LB,CB","24-084","90","40","5","19","19","2","0","40","1","0","0.0","1","100.0","22","150","71","3","0","0","1","1","24","1","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Philipp Lienhart","3","at AUT","CB","29-107","73","55","7","21","27","8","1","55","0","0","","0","","28","225","100","0","0","0","0","0","30","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Matthias Ginter","28","de GER","CB","31-280","90","52","6","25","23","4","3","52","0","0","","0","","34","167","42","0","0","0","0","0","38","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Lukas Kübler","17","de GER","RB","33-057","66","33","3","8","18","7","3","33","0","0","","0","","17","84","37","1","0","0","0","0","22","1","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Max Rosenfelder","37","de GER","RB,CB","22-258","24","4","1","4","0","0","0","4","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Noah Atubolu","1","de GER","GK","23-154","90","50","36","49","1","0","0","50","0","0","","0","","23","111","45","0","0","0","0","0","28","0","Freiburg","Bundesliga","2025-2026","Sunday October 26, 2025, 15:30 (venue time) 14:30 (local time)","Bayer Leverkusen","Freiburg","https://fbref.com/en/matches/f42e0743/Bayer-Leverkusen-Freiburg-October-26-2025-Bundesliga","8"
"Deniz Undav","26","de GER","FW","29-099","90","31","0","0","15","17","4","31","0","0","","0","","25","96","52","1","0","1","0","0","26","2","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Chris Führich","10","de GER","AM","27-290","71","33","0","4","5","24","5","33","1","0","0.0","1","100.0","20","105","42","2","1","2","2","0","22","4","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Bilal El Khannouss","11","ma MAR","AM","21-169","19","10","0","1","5","4","0","10","0","0","","0","","6","59","35","2","2","0","0","0","9","0","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Jamie Leweling","18","de GER","AM","24-242","71","19","0","1","7","11","5","19","1","0","0.0","1","100.0","14","58","19","1","1","1","1","0","18","5","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Tiago Tomás","8","pt POR","AM","23-132","19","12","1","4","5","3","1","12","1","1","100.0","0","0.0","7","28","3","0","0","0","0","0","7","2","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Nikolas Nartey","28","dk DEN","CM","25-246","61","47","3","10","25","13","2","47","1","0","0.0","1","100.0","27","97","16","0","0","0","2","0","27","1","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Angelo Stiller","6","de GER","CM","24-205","29","27","1","5","14","9","1","27","2","1","50.0","1","50.0","16","74","25","1","0","1","0","0","14","0","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Chema","30","es ESP","CM","20-184","90","61","6","15","37","9","0","61","0","0","","0","","31","166","95","2","0","0","2","0","30","1","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Josha Vagnoman","4","de GER","WB","24-319","90","50","4","14","20","17","0","50","2","1","50.0","1","50.0","27","134","76","1","3","0","0","2","28","7","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Pascal Stenzel","15","de GER","WB","29-220","61","51","1","11","23","18","2","51","0","0","","0","","31","120","53","0","2","0","0","0","31","7","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Lorenz Assignon","22","tg TOG","WB","25-126","29","13","1","5","2","6","0","13","0","0","","0","","5","69","37","2","1","0","0","1","4","1","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Ameen Al-Dakhil","2","be BEL","CB","23-234","90","82","1","24","54","5","1","82","1","1","100.0","0","0.0","61","305","164","3","0","0","0","0","61","1","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Dan-Axel Zagadou","23","fr FRA","CB","26-145","74","86","7","40","44","4","2","86","0","0","","0","","63","306","166","0","0","0","0","0","61","0","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Julian Chabot","24","de GER","CB","27-256","16","10","2","6","4","0","0","10","0","0","","0","","4","13","2","0","0","0","0","0","5","0","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
"Finn Jeltsch","29","de GER","CB","19-101","90","67","6","24","31","12","1","67","2","1","50.0","1","50.0","45","264","131","2","3","0","1","1","49","3","Stuttgart","Bundesliga","2025-2026","Sunday October 26, 2025, 17:30 (venue time) 16:30 (local time)","Stuttgart","Mainz 05","https://fbref.com/en/matches/b3cf49e5/Stuttgart-Mainz-05-October-26-2025-Bundesliga","8"
