"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Rômulo","40","br BRA","FW","23-203","84","31","1","1","11","19","6","31","0","0","","0","","19","49","10","0","0","0","4","1","26","7","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Loïs Openda","11","be BEL","FW","25-195","6","8","0","0","4","5","1","8","2","1","50.0","1","50.0","5","19","4","0","0","0","0","0","4","3","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Antonio Nusa","7","no NOR","LW","20-135","90","64","0","3","30","31","4","64","6","2","33.3","3","50.0","41","281","137","7","3","3","4","1","42","7","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Johan Bakayoko","9","be BEL","RW","22-132","66","32","0","0","17","15","2","32","5","2","40.0","3","60.0","17","118","73","3","0","1","1","0","23","7","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Yan Diomandé","49","ci CIV","RW","18-289","24","22","1","1","9","13","4","22","6","4","66.7","2","33.3","14","128","76","5","2","2","0","0","16","1","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Christoph Baumgartner","14","at AUT","AM","26-029","84","41","1","3","18","21","5","41","1","1","100.0","0","0.0","24","137","73","1","3","0","2","1","32","9","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Assan Ouedraogo","20","de GER","AM","19-113","6","8","0","1","4","3","0","8","0","0","","0","","5","26","2","0","0","0","0","0","6","2","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Xaver Schlager","24","at AUT","DM","27-336","90","70","1","3","52","17","1","70","2","2","100.0","0","0.0","49","324","196","5","4","0","2","1","54","3","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Ezechiel Banzuzi","6","nl NED","DM","20-195","66","42","2","3","28","11","2","42","1","1","100.0","0","0.0","28","126","47","0","2","1","1","1","31","2","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
"Nicolas Seiwald","13","at AUT","DM","24-118","24","18","0","1","9","8","3","18","0","0","","0","","12","58","20","0","1","0","0","1","14","0","RB Leipzig","Bundesliga","2025-2026","Saturday August 30, 2025, 15:30 (venue time) 14:30 (local time)","RB Leipzig","Heidenheim","https://fbref.com/en/matches/81523ca0/RB-Leipzig-Heidenheim-August-30-2025-Bundesliga","2"
