"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Ransford Königsdörffer","11","gh GHA","FW","24-042","63","21","0","0","9","12","5","20","1","1","100.0","0","0.0","12","78","42","1","1","1","0","0","17","1","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Yussuf Poulsen","15","dk DEN","FW","31-132","27","15","0","0","2","14","5","15","0","0","","0","","4","39","32","1","1","0","0","0","9","2","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Jean-Luc Dompé","7","fr FRA","LW","30-074","90","47","0","2","8","37","4","47","1","1","100.0","0","0.0","32","257","161","10","6","2","4","1","36","19","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Rayan Philippe","14","fr FRA","RW","25-002","90","33","0","1","10","23","6","33","4","1","25.0","3","75.0","16","79","18","0","1","0","2","1","18","5","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Miro Muheim","28","ch SUI","LM,CB","27-215","90","89","0","23","42","26","5","89","1","1","100.0","0","0.0","43","189","108","1","0","1","0","0","46","3","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Nicolai Remberg","21","de GER","CM","25-128","90","56","1","15","38","3","2","56","0","0","","0","","38","177","59","1","0","0","0","1","44","0","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Albert Sambi Lokonga","6","be BEL","CM","26-003","63","35","2","3","18","14","8","35","3","2","66.7","1","33.3","23","109","51","1","0","1","1","2","25","8","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Fabio Vieira","20","pt POR","CM","25-148","27","18","0","1","12","5","0","18","2","1","50.0","1","50.0","12","83","49","0","0","0","0","0","11","1","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"William Mikelbrencis","2","fr FRA","RM","21-242","76","56","0","3","28","25","0","56","0","0","","0","","32","212","109","5","2","0","1","0","35","13","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Fabio Baldé","45","pt POR","RM","20-097","14","10","0","3","3","5","0","10","0","0","","0","","2","18","0","0","0","0","0","0","3","2","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Daniel Elfadli","8","ly LBY","CB","28-202","87","59","1","20","36","4","0","59","1","0","0.0","1","100.0","40","225","127","1","1","0","0","0","46","1","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Immanuel Pherai","10","sr SUR","LM","24-183","3","8","0","1","4","3","0","8","2","1","50.0","1","50.0","6","34","10","0","0","0","0","0","5","0","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
"Luka Vušković","44","hr CRO","CB","18-243","90","87","9","41","41","5","3","87","1","1","100.0","0","0.0","48","303","183","1","0","0","0","2","51","2","Hamburger SV","Bundesliga","2025-2026","Saturday October 25, 2025, 15:30 (venue time) 14:30 (local time)","Hamburger SV","Wolfsburg","https://fbref.com/en/matches/e3020e39/Hamburger-SV-Wolfsburg-October-25-2025-Bundesliga","8"
