"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue"
"Milutin Osmajić","28","me MNE","FW","26-022","90","1","0","0","0","3","2","1","0","24","2","0","1","1.5","1.5","0.0","2","1","5","10","50.0","2","11","1","2","0","/en/players/375ed9d7/Milutin-Osmajic","Preston North End","0","2","12","11","3","24","0.0","1","50.0","59","23","0","0","4","0","14","1","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Michael Smith","24","eng ENG","FW","33-303","90","0","0","0","0","4","1","0","0","34","0","1","0","0.3","0.3","0.1","2","0","12","22","54.5","2","15","0","1","1","/en/players/b93da142/Michael-Smith","Preston North End","1","4","13","17","7","34","100.0","0","0.0","21","4","0","0","3","2","28","4","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Alfie Devine","21","eng ENG","CM","21-015","72","1","0","0","0","1","1","0","0","38","2","0","1","0.4","0.4","0.0","1","0","23","32","71.9","0","16","2","1","0","/en/players/ba08056d/Alfie-Devine","Preston North End","0","10","17","13","2","38","0.0","1","100.0","127","84","1","1","2","0","16","3","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Stefán Þórðarson","22","is ISL","CM","26-304","18","0","0","0","0","0","0","0","0","15","0","0","0","0.0","0.0","0.2","3","0","9","10","90.0","0","1","0","1","1","/en/players/ed9daa96/Stefan-Thordarson","Preston North End","1","4","4","7","0","15","100.0","0","0.0","10","0","0","0","1","1","3","0","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Ben Whiteman","4","eng ENG","CM","29-060","90","0","0","0","0","2","0","0","0","42","3","0","2","0.1","0.1","0.1","3","0","24","32","75.0","5","12","0","1","1","/en/players/7b69e7cc/Ben-Whiteman","Preston North End","3","11","19","12","0","42","100.0","0","0.0","59","33","0","0","1","0","26","2","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Alistair McCann","8","nir NIR","CM","25-255","90","0","0","0","0","2","0","0","0","48","6","0","2","0.1","0.1","0.0","5","0","26","35","74.3","3","19","0","0","0","/en/players/0a14d8a7/Alistair-McCann","Preston North End","4","12","22","14","3","48","","0","","59","28","1","0","1","2","20","3","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Thierry Small","26","eng ENG","LB","21-015","85","0","1","0","0","2","0","0","0","47","2","0","1","0.1","0.1","1.3","3","1","15","27","55.6","0","18","2","3","0","/en/players/6f487e5d/Thierry-Small","Preston North End","3","16","13","19","4","47","0.0","3","100.0","111","57","2","0","3","0","21","6","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Andrija Vukčević","3","me MNE","LB","28-309","5","0","0","0","0","0","0","0","0","2","1","0","0","0.0","0.0","0.0","1","0","1","1","100.0","0","1","1","0","0","/en/players/eb4fd509/Andrija-Vukcevic","Preston North End","0","1","0","1","0","2","","0","","22","11","1","0","0","0","1","0","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Andrew Hughes","16","wls WAL","CB","33-072","90","0","0","0","0","0","0","0","0","52","3","2","3","0.0","0.0","0.0","1","0","25","35","71.4","4","17","1","0","0","/en/players/18a6749d/Andrew-Hughes","Preston North End","7","25","22","5","1","52","","0","","84","41","0","0","2","0","22","0","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
"Lewis Gibson","19","eng ENG","CB","25-028","90","0","0","0","0","0","0","0","0","38","1","2","1","0.0","0.0","0.0","1","0","25","28","89.3","3","19","0","0","0","/en/players/cdf0f2db/Lewis-Gibson","Preston North End","7","21","17","0","0","38","","0","","83","35","0","0","0","1","22","0","Championship","2025-2026","Saturday August 16, 2025, 15:00 (venue time)","Preston North End","Leicester City","https://fbref.com/en/matches/c6c5e2ab/Preston-North-End-Leicester-City-August-16-2025-Championship","2","Deepdale Stadium"
