"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Lucas Höler","9","de GER","FW","31-065","77","20","0","1","11","8","4","20","1","0","0.0","1","100.0","11","21","4","0","0","0","0","1","14","4","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Igor Matanovic","31","hr CRO","FW","22-166","13","3","0","0","1","2","2","2","0","0","","0","","1","8","5","0","0","0","0","0","2","1","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Vincenzo Grifo","32","it ITA","LW","32-159","62","33","2","7","11","15","0","33","0","0","","0","","17","62","27","0","0","0","0","0","19","3","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Derry Scherhant","7","de GER","LW","22-307","28","14","1","1","3","10","2","14","1","0","0.0","1","100.0","7","71","36","1","2","0","0","0","9","3","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Jan-Niklas Beste","19","de GER","RW","26-252","85","33","0","4","13","16","1","33","1","1","100.0","0","0.0","14","101","18","0","0","0","2","0","14","4","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Eren Dinkçi","18","de GER","RW","23-274","5","3","0","2","1","0","0","3","0","0","","0","","1","2","2","0","0","0","0","0","1","0","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Johan Manzambi","44","ch SUI","AM","19-334","89","39","0","1","12","28","7","39","6","3","50.0","3","50.0","19","142","56","2","2","2","5","0","20","7","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Patrick Osterhage","6","de GER","DM","25-224","84","41","0","6","17","18","2","41","0","0","","0","","20","71","46","0","1","0","2","1","23","5","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Nicolas Höfler","27","de GER","DM","35-188","6","1","0","0","1","0","0","1","0","0","","0","","0","0","0","0","0","0","0","0","0","0","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Maximilian Eggestein","8","de GER","DM","28-279","90","33","1","9","16","8","0","33","0","0","","0","","13","50","12","0","0","0","1","1","16","0","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Jordy Makengo","33","fr FRA","LB","24-041","90","59","4","17","23","19","0","59","0","0","","0","","35","153","64","3","2","0","1","0","34","5","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Philipp Lienhart","3","at AUT","CB","29-064","90","77","4","30","31","18","0","77","2","1","50.0","1","50.0","47","375","200","2","2","0","0","0","45","0","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Matthias Ginter","28","de GER","CB","31-237","90","70","7","25","36","10","2","70","0","0","","0","","38","209","102","1","1","0","1","0","39","1","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Lukas Kübler","17","de GER","RB","33-014","90","47","2","16","13","18","4","47","1","0","0.0","1","100.0","20","84","18","0","0","0","1","0","21","4","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Noah Atubolu","1","de GER","GK","23-111","90","46","24","41","5","0","0","46","0","0","","0","","26","176","96","0","0","0","0","0","25","0","Freiburg","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Ermedin Demirović","9","ba BIH","FW","27-172","75","20","2","3","7","10","3","20","0","0","","0","","8","30","7","0","0","0","0","0","17","1","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Chema","30","es ESP","FW","20-141","15","8","1","1","4","3","0","8","0","0","","0","","3","17","0","0","0","0","0","0","4","0","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Jamie Leweling","18","de GER","LW","24-199","90","42","4","12","8","22","1","42","3","1","33.3","2","66.7","19","145","68","2","2","1","4","1","28","12","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Badredine Bouanani","27","dz ALG","RW","20-279","62","28","0","3","12","13","2","28","1","0","0.0","1","100.0","15","92","34","3","3","1","1","1","23","5","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Tiago Tomás","8","pt POR","RW","23-089","28","15","0","1","3","11","1","15","3","0","0.0","3","100.0","5","28","5","0","0","0","1","0","9","1","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Bilal El Khannouss","11","ma MAR","AM","21-126","90","46","0","8","28","10","0","46","3","1","33.3","2","66.7","28","129","77","3","2","0","3","0","34","4","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Angelo Stiller","6","de GER","DM","24-162","90","64","6","18","32","15","2","64","0","0","","0","","23","97","56","2","0","1","0","0","46","2","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Atakan Karazor","16","tr TUR","DM","28-335","88","71","13","26","35","10","0","71","1","0","0.0","1","100.0","22","54","10","0","0","0","1","0","36","1","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Chris Führich","10","de GER","DM","27-247","2","3","0","0","0","3","0","3","0","0","","0","","2","17","3","0","0","0","0","0","3","2","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Maximilian Mittelstädt","7","de GER","LB","28-179","75","64","7","31","24","9","0","64","3","2","66.7","1","33.3","20","69","17","0","0","0","0","0","33","0","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Ramon Hendriks","3","nl NED","LB","24-057","15","22","1","4","9","9","2","22","0","0","","0","","8","75","38","1","1","0","0","0","10","2","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Julian Chabot","24","de GER","CB","27-213","90","82","20","54","27","1","0","82","0","0","","0","","36","123","62","0","0","0","0","0","48","1","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Finn Jeltsch","29","de GER","CB","19-058","90","71","6","32","33","6","1","71","0","0","","0","","37","221","122","2","1","0","0","0","49","0","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Josha Vagnoman","4","de GER","RB","24-276","88","44","6","18","13","13","3","44","0","0","","0","","17","65","22","1","1","1","1","0","22","6","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Lorenz Assignon","22","tg TOG","RB","25-083","2","1","0","0","1","0","0","1","0","0","","0","","0","0","0","0","0","0","0","0","1","0","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Alexander Nübel","33","de GER","GK","28-348","90","52","44","52","0","0","0","52","0","0","","0","","26","119","59","0","0","0","0","0","28","0","Stuttgart","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Freiburg","Stuttgart","https://fbref.com/en/matches/47deb66f/Freiburg-Stuttgart-September-13-2025-Bundesliga","3"
"Nelson Weiper","44","de GER","FW","20-180","90","33","0","1","12","20","3","33","2","1","50.0","1","50.0","11","77","14","1","0","1","4","2","26","10","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"William Bøving","14","dk DEN","AM","22-196","64","30","0","1","7","22","3","30","0","0","","0","","17","94","50","3","1","1","4","1","21","9","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Armindo Sieb","11","de GER","AM","22-208","26","12","0","1","2","9","3","12","1","1","100.0","0","0.0","6","31","6","0","0","1","2","3","7","2","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Arnaud Nordin","9","fr FRA","AM","27-088","74","37","0","1","19","18","6","37","0","0","","0","","21","148","79","4","1","3","3","1","28","8","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Sota Kawasaki","24","jp JPN","AM","24-045","16","9","0","1","4","4","0","9","1","0","0.0","1","100.0","3","48","7","0","1","0","0","0","5","1","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Nadiem Amiri","10","de GER","CM","28-321","90","70","2","8","29","34","5","70","5","3","60.0","2","40.0","31","212","117","1","3","0","2","2","40","5","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Kaishu Sano","6","jp JPN","CM","24-257","90","65","4","13","38","14","1","65","0","0","","0","","18","119","53","1","2","0","3","2","21","4","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Phillipp Mwene","2","at AUT","WB","31-227","74","46","1","9","17","20","4","46","0","0","","0","","19","90","49","2","0","0","0","1","28","4","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Nikolas Veratschnig","22","at AUT","WB","22-232","16","11","1","1","2","8","0","11","0","0","","0","","4","21","13","1","0","0","0","0","7","4","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Anthony Caci","19","fr FRA","WB","28-074","74","69","2","11","42","16","0","69","2","2","100.0","0","0.0","26","127","75","1","2","0","0","0","43","6","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Silvan Widmer","30","ch SUI","WB","32-192","16","15","0","1","4","10","3","15","0","0","","0","","5","37","15","2","1","1","1","0","10","3","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Dominik Kohr","31","de GER","CB","31-225","90","67","4","15","41","11","5","67","1","1","100.0","0","0.0","31","164","48","0","0","0","1","0","38","3","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Stefan Bell","16","de GER","CB","34-020","14","11","0","3","8","0","0","11","0","0","","0","","3","17","7","0","0","0","0","0","3","0","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Andreas Hanche-Olsen","25","no NOR","CB","28-239","76","44","5","21","23","0","0","44","0","0","","0","","15","81","15","0","0","0","0","0","20","0","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Danny da Costa","21","de GER","CB","32-062","90","68","4","26","38","7","0","68","0","0","","0","","36","219","112","0","1","0","3","0","39","1","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Robin Zentner","27","de GER","GK","30-320","90","45","30","44","1","0","0","45","0","0","","0","","25","159","70","0","0","0","0","0","22","0","Mainz 05","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Rômulo","40","br BRA","FW","23-217","89","37","0","2","26","9","3","37","1","1","100.0","0","0.0","26","113","35","2","2","1","5","3","31","8","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Assan Ouedraogo","20","de GER","LW","19-127","1","2","0","2","1","0","0","2","0","0","","0","","1","35","35","1","0","0","0","0","0","0","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Antonio Nusa","7","no NOR","LW","20-149","65","28","1","2","13","14","5","28","6","2","33.3","4","66.7","16","155","80","2","2","2","5","0","17","3","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Yan Diomandé","49","ci CIV","RW","18-303","25","21","2","7","8","7","2","21","1","0","0.0","1","100.0","12","94","71","2","1","0","1","1","9","1","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Johan Bakayoko","9","be BEL","RW","22-146","65","18","1","3","10","5","2","18","1","1","100.0","0","0.0","12","58","29","1","1","2","1","1","13","3","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Conrad Harder","11","dk DEN","LW,FW","20-159","25","16","0","2","5","9","3","16","1","0","0.0","1","100.0","9","106","31","3","1","2","4","1","13","3","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
"Christoph Baumgartner","14","at AUT","AM","26-043","89","58","4","17","29","13","3","58","1","0","0.0","0","0.0","25","139","84","3","1","1","4","1","31","5","RB Leipzig","Bundesliga","2025-2026","Saturday September 13, 2025, 15:30 (venue time) 14:30 (local time)","Mainz 05","RB Leipzig","https://fbref.com/en/matches/f99e3c2d/Mainz-05-RB-Leipzig-September-13-2025-Bundesliga","3"
