"minute","player","team","xg","psxg","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","squad","league","season","match_date","home_team","away_team","match_url","gameweek"
"8","Richard Kone","QPR","0.07","0.26","Saved","21","Right Foot","","Kwame Poku","Pass (Live)","Rumarn Burrell","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"9","Rumarn Burrell","QPR","0.51","0.00","Off Target","8","Right Foot","","Richard Kone","Shot","","","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"14","Rumarn Burrell","QPR","0.36","0.46","Goal","14","Right Foot","","Nicolas Madsen","Pass (Live)","Koki Saito","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"18","Rumarn Burrell","QPR","0.11","0.41","Saved","6","Head","Deflected","Rhys Norrington-Davies","Pass (Live)","Koki Saito","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"22","Kwame Poku","QPR","0.05","0.00","Blocked","18","Left Foot","","Koki Saito","Pass (Live)","Rayan Kolli","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"29","Nicolas Madsen","QPR","0.06","0.10","Saved","28","Right Foot","Free kick","Nicolas Madsen","Fouled","Rhys Norrington-Davies","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"","","","","","","","","","","","","","","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"59","Richard Kone","QPR","0.03","0.00","Saved off Target","15","Head","","Nicolas Madsen","Pass (Dead)","","","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"60","Rayan Kolli","QPR","0.02","0.00","Off Target","15","Right Foot","","Richard Kone","Shot","","","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"65","Harry Amass","Sheffield Weds","0.03","0.00","Off Target","24","Left Foot","","Charlie McNeill","Pass (Live)","Nathan Redmond","Pass (Live)","Sheffield Weds","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"66","Charlie McNeill","Sheffield Weds","0.02","0.04","Saved","29","Right Foot","","Barry Bannan","Pass (Live)","Harry Amass","Pass (Live)","Sheffield Weds","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"68","Karamoko Dembélé","QPR","0.08","0.05","Saved","11","Right Foot","","Richard Kone","Pass (Live)","Richard Kone","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"77","Barry Bannan","Sheffield Weds","0.05","0.14","Saved","28","Left Foot","","Sean Fusire","Pass (Live)","Charlie McNeill","Pass (Live)","Sheffield Weds","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"78","Rayan Kolli","QPR","0.04","0.00","Off Target","19","Right Foot","","Richard Kone","Pass (Live)","Karamoko Dembélé","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
"81","Rayan Kolli","QPR","0.04","0.31","Goal","21","Right Foot","","Richard Kone","Pass (Live)","Rayan Kolli","Pass (Live)","QPR","Championship","2025-2026","Sunday January 4, 2026, 12:00 (venue time)","Queens Park Rangers","Sheffield Wednesday","https://fbref.com/en/matches/9b919cbd/Queens-Park-Rangers-Sheffield-Wednesday-January-4-2026-Championship","26"
