"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","José Luis Gayà","Valencia","0.05","0.00","Off Target","22","Left Foot","","Lucas Beltrán","Pass (Live)","Diego López","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"6","Thierry Correia","Valencia","0.03","0.00","Blocked","17","Right Foot","","","","","","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"8","Oriol Rey","Levante","0.21","0.00","Off Target","15","Left Foot","","Jeremy Toljan","Pass (Live)","Carlos Álvarez","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"12","Lucas Beltrán","Valencia","0.08","0.14","Saved","14","Right Foot","","Thierry Correia","Pass (Live)","Diego López","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"12","Arnaut Danjuma","Valencia","0.17","0.00","Off Target","9","Right Foot","","Lucas Beltrán","Shot","","","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"15","Diego López","Valencia","0.05","0.00","Blocked","22","Left Foot","","Lucas Beltrán","Pass (Live)","Javier Guerra","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"20","Oriol Rey","Levante","0.08","0.00","Off Target","19","Right Foot","","Karl Etta Eyong","Pass (Live)","Carlos Álvarez","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"28","Karl Etta Eyong","Levante","0.01","0.00","Off Target","11","Head","","Unai Vencedor Paris","Pass (Live)","Carlos Álvarez","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"31","Carlos Álvarez","Levante","0.05","0.00","Blocked","29","Left Foot","Free kick","Karl Etta Eyong","Fouled","Unai Vencedor Paris","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"32","Javier Guerra","Valencia","0.34","0.00","Blocked","11","Left Foot","","Lucas Beltrán","Pass (Live)","Thierry Correia","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"40","José Luis Gayà","Valencia","0.01","0.00","Blocked","36","Left Foot","","Domingos André Ribeiro Almeida","Pass (Dead)","Domingos André Ribeiro Almeida","Pass (Dead)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"40","Lucas Beltrán","Valencia","0.05","0.00","Off Target","10","Head","","Domingos André Ribeiro Almeida","Pass (Live)","Javier Guerra","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"43","Javier Guerra","Valencia","0.05","0.00","Blocked","21","Left Foot","","Thierry Correia","Pass (Live)","César Tárrega","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"","","","","","","","","","","","","","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"47","José Luis Gayà","Valencia","0.02","0.00","Off Target","13","Head","","Domingos André Ribeiro Almeida","Pass (Live)","Domingos André Ribeiro Almeida","Interception","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"68","José Luis García Vayá","Valencia","0.08","0.00","Off Target","9","Right Foot","Volley","Diego López","Pass (Live)","Thierry Correia","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"71","Hugo Duro","Valencia","0.07","0.04","Saved","12","Head","","Domingos André Ribeiro Almeida","Pass (Dead)","Thierry Correia","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"78","Luis Rioja","Valencia","0.18","0.00","Blocked","16","Left Foot","","Javier Guerra","Pass (Live)","Diego López","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"79","Hugo Duro","Valencia","0.32","0.73","Goal","10","Left Foot","Volley","José Luis Gayà","Pass (Live)","Hugo Duro","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"83","Goduine Koyalipou","Levante","0.07","0.00","Off Target","10","Head","","Brugui","Pass (Live)","Manu Sánchez","Pass (Live)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"89","José Luis Morales","Levante","0.24","0.00","Off Target","26","Right Foot","","","","","","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"90+9","Carlos Álvarez","Levante","0.04","0.00","Off Target","17","Right Foot","Volley","Adrián de la Fuente","Pass (Live)","Jeremy Toljan","Pass (Dead)","La-Liga","2025-2026","Friday November 21, 2025, 21:00 (venue time) 20:00 (local time)","Valencia","Levante","https://fbref.com/en/matches/108224dc/Valencia-Levante-November-21-2025-La-Liga","13"
"23","Ilaix Moriba","Celta Vigo","0.03","0.00","Off Target","27","Right Foot","","Iago Aspas","Pass (Dead)","Javi Rodríguez","Fouled","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"33","Toni Martínez","Alavés","0.14","0.00","Off Target","13","Right Foot","","Denis Suárez","Pass (Live)","Toni Martínez","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"","","","","","","","","","","","","","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"47","Ilaix Moriba","Celta Vigo","0.02","0.02","Saved","33","Right Foot","","Sergio Carreira","Pass (Live)","Bryan Zaragoza","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"51","Pablo Durán","Celta Vigo","0.42","0.33","Saved","11","Right Foot","","Bryan Zaragoza","Pass (Live)","Sergio Carreira","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"55","Iago Aspas (pen)","Celta Vigo","0.79","0.92","Goal","13","Left Foot","","Iago Aspas","Fouled","Pablo Durán","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"57","Carles Aleñá","Alavés","0.08","0.05","Saved","15","Left Foot","","Carlos Vicente","Pass (Live)","","","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"75","Nahuel Tenaglia","Alavés","0.10","0.00","Off Target","10","Head","","Denis Suárez","Pass (Dead)","Denis Suárez","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"80","Lucas Boyé","Alavés","0.06","0.00","Off Target","6","Head","","Denis Suárez","Pass (Live)","Pablo Ibáñez","Pass (Dead)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"90+2","Miguel Román","Celta Vigo","0.08","0.00","Off Target","10","Right Foot","","Borja Iglesias","Tackle","Borja Iglesias","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"90+3","Mariano","Alavés","0.02","0.02","Saved","29","Right Foot","Volley","Youssef Lekhedim","Pass (Live)","","","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"90+4","Jones El-Abdellaoui","Celta Vigo","0.01","0.00","Blocked","25","Right Foot","","Borja Iglesias","Pass (Live)","Ionuț Radu","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"90+6","Jones El-Abdellaoui","Celta Vigo","0.02","0.07","Saved","15","Left Foot","","Borja Iglesias","Pass (Live)","Óscar Mingueza","Tackle","La-Liga","2025-2026","Saturday November 22, 2025, 14:00 (venue time) 13:00 (local time)","Alavés","Celta Vigo","https://fbref.com/en/matches/6cfad186/Alaves-Celta-Vigo-November-22-2025-La-Liga","13"
"2","Robert Lewandowski","Barcelona","0.04","0.00","Blocked","15","Left Foot","","Alejandro Balde","Pass (Live)","Gerard Martín","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"4","Robert Lewandowski","Barcelona","0.06","0.10","Goal","16","Left Foot","","Robert Lewandowski","Take-On","","","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"8","Dani Olmo","Barcelona","0.04","0.00","Blocked","22","Right Foot","","Pau Cubarsí","Pass (Live)","Eric García","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"8","Lamine Yamal","Barcelona","0.04","0.07","Saved","13","Right Foot","","Fermin López","Pass (Live)","Dani Olmo","Shot","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"9","Unai Gómez","Athletic Club","0.06","0.00","Blocked","17","Left Foot","","Oihan Sancet","Pass (Live)","Nico Williams","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"12","Nico Williams","Athletic Club","0.04","0.00","Off Target","16","Right Foot","","Oihan Sancet","Pass (Live)","Mikel Jauregizar","Interception","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"14","Unai Gómez","Athletic Club","0.01","0.00","Blocked","10","Head","","Álex Berenguer","Pass (Dead)","Nico Williams","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"14","Aymeric Laporte","Athletic Club","0.09","0.00","Off Target","8","Head","","Álex Berenguer","Pass (Live)","Iñigo Ruiz de Galarreta","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"20","Fermin López","Barcelona","0.18","0.20","Saved","12","Left Foot","","Alejandro Balde","Pass (Live)","Gerard Martín","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"20","Dani Olmo","Barcelona","0.08","0.00","Off Target","20","Right Foot","","Fermin López","Shot","","","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"32","Ferrán Torres","Barcelona","0.05","0.00","Off Target","21","Right Foot","","Dani Olmo","Pass (Live)","Lamine Yamal","Take-On","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"36","Unai Gómez","Athletic Club","0.16","0.50","Saved","11","Right Foot","Volley","Nico Williams","Pass (Live)","Oihan Sancet","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"39","Unai Gómez","Athletic Club","0.05","0.00","Off Target","16","Left Foot","","Oihan Sancet","Pass (Live)","Mikel Jauregizar","Tackle","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"41","Nico Williams","Athletic Club","0.08","0.00","Off Target","10","Left Foot","","Yuri Berchiche","Pass (Live)","Álex Berenguer","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"42","Nico Williams","Athletic Club","0.07","0.00","Off Target","16","Left Foot","Volley","Unai Gómez","Pass (Live)","Andoni Gorosabel","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"45+3","Ferrán Torres","Barcelona","0.19","0.14","Goal","17","Left Foot","","Lamine Yamal","Pass (Live)","Fermin López","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"","","","","","","","","","","","","","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"48","Robert Lewandowski","Barcelona","0.13","0.00","Blocked","12","Left Foot","","Ferrán Torres","Take-On","Eric García","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"48","Fermin López","Barcelona","0.40","0.58","Goal","12","Right Foot","","Fermin López","Pass (Live)","Ferrán Torres","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"61","Dani Olmo","Barcelona","0.06","0.00","Blocked","12","Right Foot","","Lamine Yamal","Pass (Live)","Jules Koundé","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"63","Gorka Guruzeta","Athletic Club","0.08","0.00","Blocked","13","Right Foot","","Andoni Gorosabel","Pass (Live)","Álex Berenguer","Pass (Live)","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
"63","Daniel Vivian","Athletic Club","0.09","0.00","Off Target","10","Right Foot","","Gorka Guruzeta","Shot","","","La-Liga","2025-2026","Saturday November 22, 2025, 16:15 (venue time) 15:15 (local time)","Barcelona","Athletic Club","https://fbref.com/en/matches/4dfa8af6/Barcelona-Athletic-Club-November-22-2025-La-Liga","13"
