"league","season","match_date","gameweek","home_team","away_team","team","player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","match_url","venue"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Mathias Pereira Lage","28","pt POR","FW","28-288","87","0","0","0","0","3","2","0","0","42","2","1","1","0.6","0.6","0.1","4","0","17","27","63.0","1","21","3","3","1","/en/players/8846a40f/Mathias-Pereira-Lage","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Oladapo Afolayan","17","eng ENG","FW","27-214","3","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/5054c359/Oladapo-Afolayan","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Andreas Hountondji","27","bj BEN","FW","23-065","45","1","0","0","1","3","2","0","0","27","1","0","1","1.0","0.1","0.0","3","1","7","14","50.0","0","9","0","2","0","/en/players/02953b59/Andreas-Hountondji","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Martijn Kaars","19","nl NED","FW","26-193","45","0","0","0","0","1","0","0","0","20","0","0","0","0.0","0.0","0.0","0","0","13","17","76.5","1","7","1","0","0","/en/players/8aee2731/Martijn-Kaars","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Danel Sinani","10","lu LUX","AM","28-162","89","1","0","0","0","2","1","0","0","64","1","0","0","0.1","0.1","0.5","2","0","36","54","66.7","7","24","3","1","0","/en/players/96ddfa79/Danel-Sinani","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Connor Metcalfe","24","au AUS","AM","25-313","1","0","0","0","0","1","1","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","1","0","0","0","/en/players/73ce4d7d/Connor-Metcalfe","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Joel Fujita","16","jp JPN","CM","23-210","90","0","0","0","0","1","0","0","0","74","2","1","0","0.0","0.0","0.1","2","0","49","63","77.8","9","33","2","1","0","/en/players/e57ebd24/Joel-Fujita","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","James Sands","6","us USA","CM","25-070","90","0","0","0","0","0","0","0","0","53","5","0","0","0.0","0.0","0.0","1","0","35","45","77.8","7","16","1","1","0","/en/players/dccd127f/James-Sands","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Louis Oppie","23","de GER","WB","23-120","90","0","0","0","0","0","0","0","0","52","1","0","2","0.0","0.0","0.0","1","0","36","45","80.0","2","23","2","0","0","/en/players/e3a26cb2/Louis-Oppie","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
"Bundesliga","2025-2026","Sunday September 14, 2025, 15:30 (venue time) 14:30 (local time)","3","St. Pauli","Augsburg","St. Pauli","Arkadiusz Pyrka","11","pl POL","WB","22-359","45","0","0","0","0","0","0","1","0","33","0","1","0","0.0","0.0","0.0","0","0","23","29","79.3","2","12","1","2","1","/en/players/8ae54a69/Arkadiusz-Pyrka","https://fbref.com/en/matches/940c2e4e/St-Pauli-Augsburg-September-14-2025-Bundesliga","Millerntor-Stadion"
