"minute","player","team","xg_shot","psxg_shot","outcome","distance","body_part","notes","sca_1_player","sca_1_type","sca_2_player","sca_2_type","league","season","match_date","home_team","away_team","match_url","gameweek"
"2","Tomas Rigo","Stoke City","0.08","0.00","Off Target","8","Right Foot","","Junior Tchamadeu","Pass (Live)","Lamine Cissé","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"3","Róbert Boženík","Stoke City","0.06","0.00","Off Target","26","Right Foot","","Sorba Thomas","Pass (Live)","Viktor Johansson","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"4","Casper de Norre","Millwall","0.07","0.17","Saved","20","Right Foot","Volley","Max Crocombe","Pass (Dead)","","","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"4","Thierno Ballo","Millwall","0.24","0.31","Saved","5","Left Foot","","Casper de Norre","Shot","","","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"5","Thierno Ballo","Millwall","0.01","0.04","Saved","31","Right Foot","Volley","Thierno Ballo","Shot","","","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"9","Róbert Boženík","Stoke City","0.06","0.13","Saved","11","Head","","Tomas Rigo","Pass (Live)","Eric Bocat","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"10","Femi Azeez","Millwall","0.29","0.93","Goal","4","Head","","Thierno Ballo","Pass (Live)","Thierno Ballo","Take-On","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"21","Tristan Crama","Millwall","0.10","0.41","Goal","11","Left Foot","","Thierno Ballo","Pass (Live)","Tristan Crama","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"23","William Smallbone","Millwall","0.13","0.00","Blocked","13","Right Foot","","Thierno Ballo","Pass (Live)","Mihailo Ivanović","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"23","Mihailo Ivanović","Millwall","0.03","0.00","Off Target","28","Right Foot","","William Smallbone","Shot","","","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"29","Femi Azeez","Millwall","0.05","0.00","Off Target","11","Left Foot","","Luke Cundle","Pass (Live)","Mihailo Ivanović","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"45+8","Mihailo Ivanović","Millwall","0.09","0.00","Blocked","9","Left Foot","","Thierno Ballo","Pass (Live)","Ryan Leonard","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"49","Luke Cundle","Millwall","0.12","0.22","Saved","21","Right Foot","","Luke Cundle","Take-On","Femi Azeez","Take-On","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"49","Sorba Thomas","Stoke City","0.03","0.00","Blocked","22","Right Foot","","Tomas Rigo","Pass (Live)","Million Manhoef","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"51","Million Manhoef","Stoke City","0.02","0.00","Off Target","20","Left Foot","","Junior Tchamadeu","Pass (Live)","Lewis Baker","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"52","Tomas Rigo","Stoke City","0.09","0.00","Off Target","11","Right Foot","Volley","Junior Tchamadeu","Pass (Live)","Million Manhoef","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"62","Thierno Ballo","Millwall","0.10","0.00","Off Target","15","Right Foot","","Mihailo Ivanović","Pass (Live)","","","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"64","Tomas Rigo","Stoke City","0.01","0.01","Saved","34","Right Foot","","Lewis Baker","Pass (Live)","Tomas Rigo","Interception","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"65","Casper de Norre","Millwall","0.06","0.00","Blocked","14","Right Foot","","Thierno Ballo","Pass (Live)","Mihailo Ivanović","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"68","Mihailo Ivanović","Millwall","0.05","0.07","Saved","14","Right Foot","","Mihailo Ivanović","Take-On","Femi Azeez","Pass (Live)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"72","Jake Cooper","Millwall","0.06","0.00","Blocked","10","Head","","Thierno Ballo","Pass (Live)","Ryan Leonard","Pass (Dead)","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
"73","Million Manhoef","Stoke City","0.05","0.00","Blocked","16","Left Foot","","Sorba Thomas","Pass (Live)","Sorba Thomas","Take-On","Championship","2025-2026","Tuesday October 21, 2025, 19:45 (venue time)","Millwall","Stoke City","https://fbref.com/en/matches/99cbe1e9/Millwall-Stoke-City-October-21-2025-Championship","11"
