"player","shirtnumber","nationality","position","age","minutes","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons","take_ons_won","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries","carries_distance","carries_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","team","league","season","match_date","home_team","away_team","match_url","gameweek"
"Alexis Claude-Maurice","20","fr FRA","AM,FW,CM","27-106","90","49","1","4","23","22","3","49","0","0","","0","","23","153","104","2","2","0","4","1","38","5","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Elias Saad","26","tn TUN","AM","25-267","45","21","0","1","12","9","2","21","1","0","0.0","0","0.0","12","53","14","0","0","1","3","2","16","4","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Samuel Essende","9","cd COD","FW","27-240","45","18","1","2","7","10","7","18","0","0","","0","","9","69","53","1","1","0","2","0","11","3","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Fabian Rieder","32","ch SUI","AM","23-216","90","46","0","1","18","27","1","46","4","2","50.0","2","50.0","23","89","24","1","1","1","3","2","30","7","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Han-Noah Massengo","4","fr FRA","CM,CB","24-075","90","80","3","12","51","17","0","80","0","0","","0","","40","220","145","3","2","0","4","0","55","4","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Mert Kömür","36","de GER","WB,CM","20-065","90","59","4","9","27","24","1","59","2","1","50.0","1","50.0","35","247","112","4","2","1","0","2","43","2","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Elvis Rexhbeçaj","8","xk KVX","WB","27-323","45","27","0","6","10","11","2","27","0","0","","0","","4","13","8","0","0","0","0","0","10","3","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Robin Fellhauer","19","de GER","WB","27-242","45","40","1","11","7","23","2","40","1","1","100.0","0","0.0","11","37","18","0","1","0","1","0","18","9","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Marius Wolf","27","de GER","WB","30-116","45","23","1","3","10","10","0","23","1","0","0.0","1","100.0","8","14","5","0","0","0","0","0","15","3","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
"Kristijan Jakić","17","hr CRO","CM","28-129","45","44","1","5","28","11","0","44","0","0","","0","","14","83","53","1","0","0","0","0","31","0","Augsburg","Bundesliga","2025-2026","Saturday September 20, 2025, 15:30 (venue time) 14:30 (local time)","Augsburg","Mainz 05","https://fbref.com/en/matches/a959bbb1/Augsburg-Mainz-05-September-20-2025-Bundesliga","4"
