position,theo_cs,theo_gf,emp_cs,emp_gf,r_squared,n,cs_diff,gf_diff
GK,0.85,0.15,0.32083743430022466,0.6791625656997754,0.045892226754244245,382,-0.5291625656997754,0.5291625656997754
DEF,0.55,0.45,0.3890279689836945,0.6109720310163055,0.05481908871450049,1956,-0.16097203101630553,0.16097203101630547
MID,0.25,0.75,0.2372259140094518,0.7627740859905483,0.026837889006079172,2754,-0.01277408599054819,0.0127740859905483
FWD,0.1,0.9,0.44625780841317564,0.5537421915868245,0.037930519927680956,697,0.34625780841317566,-0.34625780841317555
